county_name,fips,total_births,morbidity_births,morbidity_rate,state
"Bonneville County, ID",16019,1910,21.0,0.01099476439790576,ID
"Canyon County, ID",16027,3129,45.0,0.014381591562799617,ID
"Kootenai County, ID",16055,1754,21.0,0.011972633979475485,ID
"Unidentified Counties, ID",16999,10644,187.0,0.01756858323938369,ID
"Champaign County, IL",17019,2395,45.0,0.018789144050104383,IL
"Cook County, IL",17031,66779,1193.0,0.017864897647464024,IL
"DeKalb County, IL",17037,1093,24.0,0.021957913998170174,IL
"DuPage County, IL",17043,10832,158.0,0.014586410635155096,IL
"Kane County, IL",17089,6710,64.0,0.009538002980625931,IL
"Kankakee County, IL",17091,1354,16.0,0.011816838995568686,IL
"Kendall County, IL",17093,1595,14.0,0.00877742946708464,IL
"Lake County, IL",17097,7660,107.0,0.013968668407310704,IL
"LaSalle County, IL",17099,1262,16.0,0.012678288431061807,IL
"McHenry County, IL",17111,3090,18.0,0.005825242718446602,IL
"McLean County, IL",17113,2020,28.0,0.013861386138613862,IL
"Macon County, IL",17115,1327,24.0,0.01808590806330068,IL
"Madison County, IL",17119,3051,51.0,0.01671583087512291,IL
"Peoria County, IL",17143,2536,60.0,0.02365930599369085,IL
"Rock Island County, IL",17161,1776,26.0,0.01463963963963964,IL
"St. Clair County, IL",17163,3228,40.0,0.012391573729863693,IL
"Sangamon County, IL",17167,2245,49.0,0.02182628062360802,IL
"Tazewell County, IL",17179,1496,29.0,0.019385026737967916,IL
"Will County, IL",17197,7804,158.0,0.020246027678113787,IL
"Winnebago County, IL",17201,3711,64.0,0.017246025330099703,IL
"Unidentified Counties, IL",17999,22481,424.0,0.018860370979938614,IL
"Allen County, IN",18003,5151,68.0,0.013201320132013201,IN
"Clark County, IN",18019,1448,15.0,0.010359116022099447,IN
"Delaware County, IN",18035,1174,16.0,0.013628620102214651,IN
"Elkhart County, IN",18039,3126,48.0,0.015355086372360844,IN
"Hamilton County, IN",18057,3798,49.0,0.012901527119536599,IN
"Hendricks County, IN",18063,1760,27.0,0.01534090909090909,IN
"Johnson County, IN",18081,1871,25.0,0.013361838588989846,IN
"Lake County, IN",18089,5657,65.0,0.011490189146190561,IN
"La Porte County, IN",18091,1305,15.0,0.011494252873563218,IN
"Madison County, IN",18095,1506,14.0,0.009296148738379814,IN
"Marion County, IN",18097,14294,200.0,0.013991884706870015,IN
"Monroe County, IN",18105,1301,0.0,0.0,IN
"Porter County, IN",18127,1750,19.0,0.010857142857142857,IN
"St. Joseph County, IN",18141,3577,36.0,0.010064299692479732,IN
"Tippecanoe County, IN",18157,2359,30.0,0.01271725307333616,IN
"Vanderburgh County, IN",18163,2269,25.0,0.011018069634200088,IN
"Vigo County, IN",18167,1288,0.0,0.0,IN
"Unidentified Counties, IN",18999,29457,396.0,0.013443324167430493,IN
"Black Hawk County, IA",19013,1671,23.0,0.01376421304608019,IA
"Johnson County, IA",19103,1857,42.0,0.022617124394184167,IA
"Linn County, IA",19113,2800,23.0,0.008214285714285714,IA
"Polk County, IA",19153,6921,132.0,0.01907238838318162,IA
"Scott County, IA",19163,2213,32.0,0.014460009037505649,IA
"Woodbury County, IA",19193,1549,30.0,0.019367333763718526,IA
"Unidentified Counties, IA",19999,22392,413.0,0.018444087173990712,IA
"Douglas County, KS",20045,1177,14.0,0.0118946474086661,KS
"Johnson County, KS",20091,7360,53.0,0.007201086956521739,KS
"Sedgwick County, KS",20173,7309,85.0,0.011629497879326857,KS
"Shawnee County, KS",20177,2189,11.0,0.005025125628140704,KS
"Wyandotte County, KS",20209,2695,18.0,0.006679035250463822,KS
"Unidentified Counties, KS",20999,17323,229.0,0.013219419269179702,KS
"Boone County, KY",21015,1681,33.0,0.019631171921475312,KY
"Fayette County, KY",21067,4090,44.0,0.010757946210268949,KY
"Hardin County, KY",21093,1441,0.0,0.0,KY
"Jefferson County, KY",21111,9889,90.0,0.009101021336838912,KY
"Kenton County, KY",21117,2329,56.0,0.024044654358093602,KY
"Warren County, KY",21227,1640,0.0,0.0,KY
"Unidentified Counties, KY",21999,34379,365.0,0.010616946391692602,KY
"Ascension Parish, LA",22005,1751,40.0,0.022844089091947458,LA
"Bossier Parish, LA",22015,1751,12.0,0.006853226727584237,LA
"Caddo Parish, LA",22017,3364,30.0,0.0089179548156956,LA
"Calcasieu Parish, LA",22019,3034,0.0,0.0,LA
"East Baton Rouge Parish, LA",22033,6125,117.0,0.01910204081632653,LA
"Jefferson Parish, LA",22051,5887,85.0,0.01443859351112621,LA
"Lafayette Parish, LA",22055,3369,0.0,0.0,LA
"Livingston Parish, LA",22063,1921,34.0,0.017699115044247787,LA
"Orleans Parish, LA",22071,4835,70.0,0.014477766287487074,LA
"Ouachita Parish, LA",22073,2224,0.0,0.0,LA
"Rapides Parish, LA",22079,1840,0.0,0.0,LA
"St. Tammany Parish, LA",22103,3089,20.0,0.006474587245063127,LA
"Tangipahoa Parish, LA",22105,1984,19.0,0.009576612903225807,LA
"Terrebonne Parish, LA",22109,1570,0.0,0.0,LA
