fips,n_obgyn,n_connected,n_hubs,n_isolated,mean_degree,median_degree,max_degree,mean_betweenness,mean_eigenvector,mean_weighted_degree,n_subspecialties,dominant_state,pct_connected,pct_isolated,pct_hub,county_name,total_births,morbidity_births,morbidity_rate,state,obgyn_per_10k_births,target,target_label
06073,646,52,0,594,0.23839009287925697,0.0,13,4.3501658517938616e-08,6.84835487358117e-21,3.7476780185758516,7,CA,8.0,92.0,0.0,"San Diego County, CA",42720,743.0,0.0173923220973782,CA,151.22,True,Target (High Risk + Weak Network)
06075,296,42,3,254,0.6621621621621622,0.0,24,1.7480119196420877e-05,7.462865510676371e-20,10.243243243243244,7,CA,14.2,85.8,1.0,"San Francisco County, CA",9062,119.0,0.0131317589935996,CA,326.64,False,Other
06077,84,23,1,61,0.9285714285714286,0.0,19,1.0182434471770546e-07,7.464644584979857e-20,15.571428571428571,4,CA,27.4,72.6,1.2,"San Joaquin County, CA",10268,48.0,0.0046747175691468,CA,81.81,False,Other
06079,45,17,0,28,1.0,0.0,12,1.7749071769918901e-06,1.3969596870657703e-19,13.933333333333334,6,CA,37.8,62.2,0.0,"San Luis Obispo County, CA",2581,19.0,0.0073614877954281,CA,174.35,False,Other
06081,132,27,0,105,0.6287878787878788,0.0,12,3.920800281436105e-06,4.898025714138341e-19,10.924242424242424,6,CA,20.5,79.5,0.0,"San Mateo County, CA",8960,62.0,0.0069196428571428,CA,147.32,False,Other
06083,92,16,2,76,0.9782608695652174,0.0,30,3.745239137051396e-09,1.1072775238287558e-19,15.630434782608695,7,CA,17.4,82.6,2.2,"Santa Barbara County, CA",5501,45.0,0.0081803308489365,CA,167.24,False,Other
06085,562,86,3,476,0.5604982206405694,0.0,88,7.874038743447565e-06,5.528033438798122e-19,10.692170818505337,7,CA,15.3,84.7,0.5,"Santa Clara County, CA",23042,348.0,0.015102855654891,CA,243.9,False,Other
06087,48,15,0,33,0.7916666666666666,0.0,6,3.916296202997246e-06,3.9643793016412685e-18,15.604166666666666,4,CA,31.2,68.8,0.0,"Santa Cruz County, CA",2799,21.0,0.007502679528403,CA,171.49,False,Other
06089,16,7,2,9,5.8125,0.0,52,0.001196804439812875,1.7124542863764778e-18,91.8125,2,CA,43.8,56.2,12.5,"Shasta County, CA",2048,0.0,0.0,CA,78.12,False,Other
06095,70,8,0,62,0.35714285714285715,0.0,7,1.3707197570434624e-06,2.3555547610155936e-20,6.0285714285714285,4,CA,11.4,88.6,0.0,"Solano County, CA",5259,64.0,0.012169613995056,CA,133.11,False,Other
06097,56,15,4,41,2.232142857142857,0.0,26,5.226701523939613e-05,2.9915038889934238e-18,35.785714285714285,4,CA,26.8,73.2,7.1,"Sonoma County, CA",4962,66.0,0.0133010882708585,CA,112.86,False,Other
06099,72,18,1,54,3.4444444444444446,0.0,200,5.300737313286237e-07,9.626132456987457e-16,67.43055555555556,5,CA,25.0,75.0,1.4,"Stanislaus County, CA",7862,24.0,0.0030526583566522,CA,91.58,False,Other
06107,54,16,0,38,1.0,0.0,12,2.345874187150929e-08,-2.886186343328492e-19,17.0,3,CA,29.6,70.4,0.0,"Tulare County, CA",7146,27.0,0.0037783375314861,CA,75.57,False,Other
06111,129,27,1,102,0.9767441860465116,0.0,39,1.727664980617056e-05,-6.435175458657245e-20,14.868217054263566,9,CA,20.9,79.1,0.8,"Ventura County, CA",9592,127.0,0.0132402001668056,CA,134.49,False,Other
06113,26,5,1,21,1.5384615384615385,0.0,35,0.0,-3.865354276380545e-20,26.923076923076923,2,CA,19.2,80.8,3.8,"Yolo County, CA",2423,29.0,0.0119686339248865,CA,107.3,False,Other
08001,201,20,1,181,0.38308457711442784,0.0,19,5.2536377616958595e-08,1.9744927424618856e-19,10.492537313432836,7,CO,10.0,90.0,0.5,"Adams County, CO",6672,76.0,0.0113908872901678,CO,301.26,False,Other
08005,137,7,0,130,0.24087591240875914,0.0,11,3.131485192307735e-07,4.032238274372835e-19,3.8905109489051095,5,CO,5.1,94.9,0.0,"Arapahoe County, CO",7910,121.0,0.0152970922882427,CO,173.2,False,Other
08013,93,12,0,81,0.21505376344086022,0.0,4,2.1793927932240885e-10,-4.8786156075916114e-20,3.0,3,CO,12.9,87.1,0.0,"Boulder County, CO",2729,41.0,0.0150238182484426,CO,340.78,False,Other
