fips,n_obgyn,n_connected,n_hubs,n_isolated,mean_degree,median_degree,max_degree,mean_betweenness,mean_eigenvector,mean_weighted_degree,n_subspecialties,dominant_state,pct_connected,pct_isolated,pct_hub,county_name,total_births,morbidity_births,morbidity_rate,state,obgyn_per_10k_births
27163,41,5,0,36,0.4634146341463415,0.0,13,3.115641332620532e-07,2.0675160552029313e-06,6.7317073170731705,4,MN,12.2,87.8,0.0,"Washington County, MN",2898,53.0,0.0182884748102139,MN,141.48
27123,101,1,0,100,0.06930693069306931,0.0,7,0.0,9.069217134239475e-21,0.8217821782178217,5,MN,1.0,99.0,0.0,"Ramsey County, MN",7731,141.0,0.0182382615444315,MN,130.64
17115,16,2,0,14,0.9375,0.0,8,5.700474274776758e-09,-2.5276191233391455e-19,15.3125,3,IL,12.5,87.5,0.0,"Macon County, IL",1327,24.0,0.0180859080633006,IL,120.57
41067,160,11,0,149,0.21875,0.0,6,0.0,1.7056191555400743e-20,3.59375,8,OR,6.9,93.1,0.0,"Washington County, OR",6983,126.0,0.0180438207074323,OR,229.13
36061,1154,116,8,1038,0.3968804159445407,0.0,30,7.105596872100403e-06,9.120444657141892e-16,6.740034662045061,9,NY,10.1,89.9,0.7,"New York County, NY",17587,315.0,0.0179109569568431,NY,656.17
17031,1505,203,24,1302,0.7627906976744186,0.0,55,9.999517369063514e-05,2.5243747467112207e-10,12.60265780730897,9,IL,13.5,86.5,1.6,"Cook County, IL",66779,1193.0,0.017864897647464,IL,225.37
39103,15,3,0,12,0.4666666666666667,0.0,3,1.4214871554524797e-06,-1.2097956182737398e-19,6.133333333333334,2,OH,20.0,80.0,0.0,"Medina County, OH",1816,32.0,0.0176211453744493,OH,82.6
06073,646,52,0,594,0.23839009287925697,0.0,13,4.3501658517938616e-08,6.84835487358117e-21,3.7476780185758516,7,CA,8.0,92.0,0.0,"San Diego County, CA",42720,743.0,0.0173923220973782,CA,151.22
17201,53,7,0,46,0.4528301886792453,0.0,10,0.0,-5.487181696423755e-20,5.811320754716981,5,IL,13.2,86.8,0.0,"Winnebago County, IL",3711,64.0,0.0172460253300997,IL,142.82
37135,93,5,0,88,0.13978494623655913,0.0,4,0.0,6.8208547446442e-13,2.204301075268817,6,NC,5.4,94.6,0.0,"Orange County, NC",1166,20.0,0.0171526586620926,NC,797.6
24027,85,9,1,76,0.611764705882353,0.0,30,0.00010736871463591302,1.9464497540657827e-15,8.847058823529412,4,MD,10.6,89.4,1.2,"Howard County, MD",3569,61.0,0.0170916223031661,MD,238.16
08031,223,20,1,203,1.8789237668161436,0.0,379,3.0547952625849014e-07,2.113367819803606e-09,44.152466367713004,7,CO,9.0,91.0,0.4,"Denver County, CO",10006,171.0,0.0170897461523086,CO,222.87
45015,2,0,0,2,0.0,0.0,0,0.0,0.0,0.0,1,SC,0.0,100.0,0.0,"Berkeley County, SC",2754,47.0,0.0170660856935366,SC,7.26
