revenue_source,amount
Special Parking Revenue Fund,58120769
Special Parking Revenue Transfer,56893180
Disaster Assistance Trust Fund,56850000
Special Parking Revenue Fund,56766787
Special Parking Revenue Transfer,56500000
Sewer Construction and Maintenance Fund,56372068
Allocations from Other Sources,56043109
Special Parking Revenue Fund,55892982
Special Parking Revenue Fund,55768432
Property Tax - Ex-CRA Increment,55434000
Special Parking Revenue Fund,55266148
Stormwater Pollution Abatement Fund,55005121
Property Tax - Ex-CRA Increment,54594000
Street Lighting Maintenance Assessment Fund,54102520
Street Damage Restoration Fee Fund,54075000
Citywide Recycling Fund,53421595
Street Lighting Maintenance Assessment Fund,53121977
Street Lighting Maintenance Assessment Fund,52893650
Property Tax - Ex-CRA Increment,52580000
Special Parking Revenue Fund,52577091
Citywide Recycling Fund,52312582
Street Lighting Maintenance Assessment Fund,52214330
Measure R Traffic Relief and Rail Expansion Fund,52134663
Citywide Recycling Fund,51645728
Code Enforcement Trust Fund,50810381
Proposition A Local Transit Assistance Fund,50586313
Franchise Income,49479000
Measure R Traffic Relief and Rail Expansion Fund,49165465
Street Lighting Maintenance Assessment Fund,49116144
Local Public Safety Fund,48889996
Allocations from Other Sources,48869390
Code Enforcement Trust Fund,48687800
Property Tax - Ex-CRA Increment,48600000
Franchise Income,48100000
Property Tax - Ex-CRA Increment,48023000
Franchise Income,47402000
Measure M Local Return Fund,46776991
Franchise Income,45623198
Interest,45541000
Local Public Safety Fund,45425493
Measure R Traffic Relief and Rail Expansion Fund,45400000
Measure R Traffic Relief and Rail Expansion Fund,45236142
Measure R Traffic Relief and Rail Expansion Fund,44974000
Disaster Assistance Trust Fund,44710167
Allocations from Other Sources,44304762
Allocations from Other Sources,44142315
Local Public Safety Fund,44046000
Special Parking Revenue Fund,43952113
Special Parking Revenue Fund,43850295
Local Public Safety Fund,43585631
Local Public Safety Fund,43585631
Local Public Safety Fund,43250000
Franchise Income,43153000
Franchise Income,42618000
Citywide Recycling Fund,42475857
Building and Safety Enterprise Fund,42459803
Measure R Traffic Relief and Rail Expansion Fund,42400000
Franchise Income,42180000
Special Parking Revenue Fund,41810000
Code Enforcement Trust Fund,41550000
Code Enforcement Trust Fund,41550000
Disaster Assistance Trust Fund,41000000
Local Public Safety Fund,40750000
Sewer Construction and Maintenance Fund,40417779
Code Enforcement Trust Fund,39728095
Measure M Local Return Fund,39100000
Code Enforcement Trust Fund,38905000
Special Parking Revenue Transfer,38632909
Citywide Recycling Fund,38348693
Local Public Safety Fund,38121000
Measure R Traffic Relief and Rail Expansion Fund,37820000
Stormwater Pollution Abatement Fund,37718917
Planning Case Processing Revenue Fund,37670662
Code Enforcement Trust Fund,37528986
Planning Case Processing Revenue Fund,37354893
