Health Plan Name,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2017",12/31/2017,2135218,2061054,695709255,157478668,"538,230,587.00",441.7700,4623275357,4521990142,3924288348,2237473505,18754716,90927562,4.0600,2090400625,95.1500
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2017",09/30/2017,2130419,2056720,676954539,152910485,"524,044,054.00",442.7100,5957965156,5859611197,5277523077,2208432255,46308407,88705481,4.0100,2036666461,94.0900
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2017",06/30/2017,2116991,2043532,630646132,149592413,"481,053,719.00",421.5700,4975330848,4892858205,4341092338,2504703941,26999778,83131103,3.3100,2356154635,95.7900
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2017",03/31/2017,2088383,2014612,603646354,152033338,"451,613,016.00",397.0400,4725812644,4646897409,4118559387,2222843472,58572649,91856781,4.1300,2034171730,93.3800
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2017,09/30/2017,2130419,2056720,676954539,152910485,"524,044,054.00",442.7100,5957965156,5859611197,5277523077,8934585374,153142775,343909214,3.8400,8288948140,94.5700
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2016",12/31/2016,2056926,1986581,545073705,151473135,"393,600,570.00",359.8400,4919819992,4844783987,4371116807,1998605706,21261941,80215848,4.0100,1861955317,94.8900
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2016",09/30/2016,1983145,1912069,523811764,147928990,"375,882,774.00",354.0900,4136143691,4062092091,3608653017,2010022442,-39374880,76884496,3.8200,1931994308,98.2900
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2016",06/30/2016,2048174,1976992,563186644,143023732,"420,162,912.00",393.7700,3903922549,3810772631,3337040980,2280452803,36534750,74777242,3.2700,2082429458,95.1000
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2016",03/31/2016,2001283,1930374,526651894,127071174,"399,580,720.00",414.4500,3497946738,3410205728,2967586641,2014378896,21180513,72632747,3.6000,1844749107,95.3100
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2016,09/30/2016,1983145,1912069,523811764,147928990,"375,882,774.00",354.0900,4136143691,4062092091,3608653017,8034109805,30872042,298419020,3.7100,7436930352,95.8900
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2015",12/31/2015,1894463,1823875,505471381,115592180,"389,879,201.00",437.2800,3212921004,3129151674,2703796837,1729255665,12531659,74124534,4.2800,1577757481,94.7600
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2015",09/30/2015,1841788,1768858,492939722,105496481,"387,443,241.00",467.2500,2857667560,2779450084,2361095743,1777054943,128077801,85122040,4.7900,1489695621,87.1900
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2015",06/30/2015,1787073,1706408,364861921,96282632,"268,579,289.00",378.9400,2434229889,2384969697,2065720153,1617439835,80447076,58841423,3.6300,1418319154,91.0900
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2015",03/31/2015,1689099,1612523,284414846,86067516,"198,347,330.00",330.4500,2178046646,2132513043,1889970832,1628004446,11417781,58313591,3.5800,1497560902,95.7200
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2015,09/30/2015,1841788,1768858,492939722,105496481,"387,443,241.00",467.2500,2857667560,2779450084,2361095743,6620693959,272865200,255852436,3.8600,5837706473,91.7000
