HEDIS Reporting Year,Reporting Unit,AQFS
2020,Health Net - San Diego,63.89%
2020,Health Net - San Joaquin,49.44%
2020,Health Net - Stanislaus,50.00%
2020,Health Net - Tulare,70.00%
2020,HPSJ - San Joaquin,59.44%
2020,HPSJ - Stanislaus,54.44%
2020,HPSM - San Mateo,75.56%
2020,IEHP - Riverside/San Bernardino,65.00%
2020,Kaiser - KP North,94.44%
2020,Kaiser - San Diego,93.89%
2020,Kern - Kern,37.22%
2020,LA Care - Los Angeles,72.22%
2020,Molina - Imperial,70.56%
2020,Molina - Riverside/San Bernardino,57.22%
2020,Molina - Sacramento,49.44%
2020,Molina - San Diego,76.67%
2020,Partnership - Northeast,52.78%
2020,Partnership - Northwest,55.00%
2020,Partnership - Southeast,80.56%
2020,Partnership - Southwest,75.56%
2020,SCFHP - Santa Clara,77.78%
2020,SFHP - San Francisco,87.78%
2020,United - San Diego,56.88%
2021,AAH - Alameda,62.63%
2021,Aetna - Sacramento,26.00%
2021,Aetna - San Diego,27.50%
2021,Anthem - Alameda,50.53%
2021,Anthem - Contra Costa,44.38%
2021,Anthem - Fresno,42.11%
2021,Anthem - Kings,56.25%
2021,Anthem - Madera,56.88%
2021,Anthem - Region 1,45.26%
2021,Anthem - Region 2,43.16%
2021,Anthem - Sacramento,58.95%
2021,Anthem - San Benito,41.33%
2021,Anthem - San Francisco,43.13%
2021,Anthem - Santa Clara,45.79%
2021,Anthem - Tulare,63.68%
2021,Blue Shield - San Diego,62.63%
2021,CalOptima - Orange,71.05%
2021,CalViva - Fresno,47.89%
2021,CalViva - Kings,58.13%
2021,CalViva - Madera,68.42%
2021,CCAH - Merced,56.67%
2021,CCAH - Monterey/Santa Cruz,78.75%
2021,CCHP - Contra Costa,72.63%
2021,CenCal - San Luis Obispo,75.26%
2021,CenCal - Santa Barbara,64.21%
2021,CH&W - Imperial,56.32%
2021,CH&W - Region 1,46.84%
2021,CH&W - Region 2,41.58%
2021,CHG - San Diego,70.00%
2021,GCHP - Ventura,57.33%
2021,Health Net - Kern,34.21%
2021,Health Net - Los Angeles,52.63%
2021,Health Net - Sacramento,56.84%
2021,Health Net - San Diego,55.26%
2021,Health Net - San Joaquin,45.63%
2021,Health Net - Stanislaus,47.89%
2021,Health Net - Tulare,67.89%
2021,HPSJ - San Joaquin,45.63%
2021,HPSJ - Stanislaus,41.88%
2021,HPSM - San Mateo,65.79%
2021,IEHP - Riverside/San Bernardino,63.16%
2021,Kaiser - KP North,74.21%
2021,Kaiser - San Diego,89.47%
2021,Kern - Kern,27.33%
2021,LA Care - Los Angeles,59.47%
2021,Molina - Imperial,60.00%
2021,Molina - Riverside/San Bernardino,40.00%
2021,Molina - Sacramento,50.00%
2021,Molina - San Diego,68.00%
2021,Partnership - Northeast,41.58%
2021,Partnership - Northwest,43.68%
