Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2017",09/30/2017,2130419.0,2056720.0,676954539.0,152910485.0,524044054.0,442.71,5957965156.0,5859611197.0,5277523077.0,2208432255.0,46308407.0,88705481.0,4.01,2036666461.0,94.09,2017-09-30,Quarterly,2017,3,2017 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2017",06/30/2017,2116991.0,2043532.0,630646132.0,149592413.0,481053719.0,421.57,4975330848.0,4892858205.0,4341092338.0,2504703941.0,26999778.0,83131103.0,3.31,2356154635.0,95.79,2017-06-30,Quarterly,2017,2,2017 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2017",03/31/2017,2088383.0,2014612.0,603646354.0,152033338.0,451613016.0,397.04,4725812644.0,4646897409.0,4118559387.0,2222843472.0,58572649.0,91856781.0,4.13,2034171730.0,93.38,2017-03-31,Quarterly,2017,1,2017 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2017,09/30/2017,2130419.0,2056720.0,676954539.0,152910485.0,524044054.0,442.71,5957965156.0,5859611197.0,5277523077.0,8934585374.0,153142775.0,343909214.0,3.84,8288948140.0,94.57,2017-09-30,Annual,2017,,2017 Annual
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2016",12/31/2016,2056926.0,1986581.0,545073705.0,151473135.0,393600570.0,359.84,4919819992.0,4844783987.0,4371116807.0,1998605706.0,21261941.0,80215848.0,4.01,1861955317.0,94.89,2016-12-31,Quarterly,2016,4,2016 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2016",09/30/2016,1983145.0,1912069.0,523811764.0,147928990.0,375882774.0,354.09,4136143691.0,4062092091.0,3608653017.0,2010022442.0,-39374880.0,76884496.0,3.82,1931994308.0,98.29,2016-09-30,Quarterly,2016,3,2016 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2016",06/30/2016,2048174.0,1976992.0,563186644.0,143023732.0,420162912.0,393.77,3903922549.0,3810772631.0,3337040980.0,2280452803.0,36534750.0,74777242.0,3.27,2082429458.0,95.1,2016-06-30,Quarterly,2016,2,2016 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2016",03/31/2016,2001283.0,1930374.0,526651894.0,127071174.0,399580720.0,414.45,3497946738.0,3410205728.0,2967586641.0,2014378896.0,21180513.0,72632747.0,3.6,1844749107.0,95.31,2016-03-31,Quarterly,2016,1,2016 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2016,09/30/2016,1983145.0,1912069.0,523811764.0,147928990.0,375882774.0,354.09,4136143691.0,4062092091.0,3608653017.0,8034109805.0,30872042.0,298419020.0,3.71,7436930352.0,95.89,2016-09-30,Annual,2016,,2016 Annual
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2015",12/31/2015,1894463.0,1823875.0,505471381.0,115592180.0,389879201.0,437.28,3212921004.0,3129151674.0,2703796837.0,1729255665.0,12531659.0,74124534.0,4.28,1577757481.0,94.76,2015-12-31,Quarterly,2015,4,2015 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2015",09/30/2015,1841788.0,1768858.0,492939722.0,105496481.0,387443241.0,467.25,2857667560.0,2779450084.0,2361095743.0,1777054943.0,128077801.0,85122040.0,4.79,1489695621.0,87.19,2015-09-30,Quarterly,2015,3,2015 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2015",06/30/2015,1787073.0,1706408.0,364861921.0,96282632.0,268579289.0,378.94,2434229889.0,2384969697.0,2065720153.0,1617439835.0,80447076.0,58841423.0,3.63,1418319154.0,91.09,2015-06-30,Quarterly,2015,2,2015 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2015",03/31/2015,1689099.0,1612523.0,284414846.0,86067516.0,198347330.0,330.45,2178046646.0,2132513043.0,1889970832.0,1628004446.0,11417781.0,58313591.0,3.58,1497560902.0,95.72,2015-03-31,Quarterly,2015,1,2015 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2015,09/30/2015,1841788.0,1768858.0,492939722.0,105496481.0,387443241.0,467.25,2857667560.0,2779450084.0,2361095743.0,6620693959.0,272865200.0,255852436.0,3.86,5837706473.0,91.7,2015-09-30,Annual,2015,,2015 Annual
