Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2017",12/31/2017,1879340.0,1494349.0,998986041.0,172722228.0,826263813.0,578.37,3106979380.0,2045870322.0,2072199690.0,2581596851.0,85646260.0,792334480.0,30.69,1646529756.0,86.39,2017-12-31,Quarterly,2017,4,2017 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2017",09/30/2017,1887901.0,1500874.0,914715378.0,172040454.0,742674924.0,531.68,3146954604.0,2113882147.0,2199002216.0,1916304289.0,76722511.0,180318287.0,9.4,1616888195.0,86.62,2017-09-30,Quarterly,2017,3,2017 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2017",06/30/2017,1878315.0,1483897.0,836337746.0,166177623.0,670160123.0,503.27,3071339240.0,2045144860.0,2201764484.0,1961447342.0,144170022.0,135023085.0,6.88,1603227568.0,83.95,2017-06-30,Quarterly,2017,2,2017 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2017",03/31/2017,1870500.0,1477602.0,686403165.0,170934555.0,515468610.0,401.55,3012637327.0,2026744779.0,2292977658.0,1978502902.0,126689798.0,219402747.0,11.08,1571622377.0,85.57,2017-03-31,Quarterly,2017,1,2017 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2017,12/31/2017,1879340.0,1494349.0,998986041.0,172722228.0,826263813.0,578.37,3106979380.0,2045870322.0,2072199690.0,8437851384.0,433228589.0,1327078599.0,15.72,6438267898.0,85.62,2017-12-31,Annual,2017,,2017 Annual
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2016",12/31/2016,1873457.0,1480850.0,707150355.0,169553881.0,537596474.0,417.06,3042987730.0,2103277544.0,2302961215.0,2827656548.0,272079224.0,778467992.0,27.53,1621484433.0,75.14,2016-12-31,Quarterly,2016,4,2016 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2016",09/30/2016,1849889.0,1459620.0,456885445.0,160107420.0,296778025.0,285.36,2533011965.0,2472130453.0,1840209462.0,1778022673.0,124737812.0,165300617.0,9.29,1411387668.0,82.27,2016-09-30,Quarterly,2016,3,2016 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2016",06/30/2016,1910906.0,1524529.0,528718195.0,156933613.0,371784582.0,336.9,2447677547.0,2379807452.0,1707699669.0,1939314286.0,67592816.0,173849814.0,8.96,1638627948.0,87.58,2016-06-30,Quarterly,2016,2,2016 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2016",03/31/2016,1894070.0,1515341.0,553400260.0,145139397.0,408260863.0,381.28,2365930467.0,2258679960.0,1686401214.0,1807691165.0,77506528.0,175815525.0,9.72,1490974595.0,85.74,2016-03-31,Quarterly,2016,1,2016 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2016,12/31/2016,1873457.0,1480850.0,707150355.0,169553881.0,537596474.0,417.06,3042987730.0,2103277544.0,2302961215.0,8352684672.0,541916380.0,1293433948.0,15.48,6162474644.0,82.35,2016-12-31,Annual,2016,,2016 Annual
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2015",12/31/2015,1848395.0,1480265.0,519065940.0,137752441.0,381313499.0,376.81,2321802987.0,2264001759.0,1767213947.0,1684915547.0,177541387.0,161802529.0,9.6,1214753820.0,74.9,2015-12-31,Quarterly,2015,4,2015 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2015",09/30/2015,1800934.0,1441976.0,488257594.0,129451968.0,358805626.0,377.17,2163945677.0,2125671588.0,1639463426.0,1740003665.0,149653383.0,158594426.0,9.11,1320269931.0,78.89,2015-09-30,Quarterly,2015,3,2015 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2015",06/30/2015,1739240.0,1387746.0,500252577.0,120772482.0,379480095.0,414.21,1770984018.0,1739612112.0,1234704643.0,1741437206.0,140021021.0,158797188.0,9.11,1337484711.0,79.76,2015-06-30,Quarterly,2015,2,2015 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2015",03/31/2015,1650546.0,1306218.0,407953435.0,105626126.0,302327309.0,386.22,1898056175.0,1866333598.0,1453981707.0,1546445607.0,66032095.0,143818907.0,9.29,1281913587.0,85.74,2015-03-31,Quarterly,2015,1,2015 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2015,12/31/2015,1848395.0,1480265.0,519065940.0,137752441.0,381313499.0,376.81,2321802987.0,2264001759.0,1709153112.0,6712802025.0,533247886.0,623013050.0,9.28,5154422049.0,79.7,2015-12-31,Annual,2015,,2015 Annual
