Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2021",12/31/2021,2446634.0,2344812.0,1077010894.0,153576269.0,923434625.0,701.28,4550614656.0,4405930548.0,3471430183.0,2429602874.0,35576873.0,117128650.0,4.82,2235145644.0,94.0,2021-12-31,Quarterly,2021,4,2021 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2021",09/30/2021,2467223.0,2314671.0,1049455062.0,154423468.0,895031594.0,679.59,4891876350.0,4782438730.0,3838980765.0,2376962469.0,29845621.0,140697744.0,5.91,2166724452.0,92.75,2021-09-30,Quarterly,2021,3,2021 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2021",06/30/2021,2427882.0,2279569.0,1019609441.0,155919515.0,863689926.0,653.93,4529102892.0,4417172200.0,3506973916.0,2401015903.0,13470150.0,110701416.0,4.61,2239249541.0,95.03,2021-06-30,Quarterly,2021,2,2021 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2021",03/31/2021,2379806.0,2234867.0,1006139291.0,154640936.0,851498355.0,650.62,5333272696.0,5222711156.0,4324135153.0,2369756498.0,103817982.0,106756017.0,4.5,2121130785.0,91.12,2021-03-31,Quarterly,2021,1,2021 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2021,09/30/2021,2467223.0,2314671.0,1049455062.0,154423468.0,895031594.0,679.59,4891876350.0,4782438730.0,3838980765.0,9386346905.0,132895055.0,470080019.0,5.0,8630456671.0,93.7,2021-09-30,Annual,2021,,2021 Annual
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2020",12/31/2020,2316497.0,2189176.0,902321309.0,151090512.0,751230797.0,597.2,4291430259.0,4181391732.0,3385812872.0,2238612037.0,-14238698.0,111924845.0,4.99,2103351892.0,96.02,2020-12-31,Quarterly,2020,4,2020 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2020",09/30/2020,2263843.0,2131808.0,916560007.0,148151322.0,768408685.0,618.66,5109236235.0,4998307924.0,4189201892.0,2156069687.0,-118994422.0,112531670.0,5.21,2123276031.0,100.44,2020-09-30,Quarterly,2020,3,2020 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2020",06/30/2020,2191768.0,2057198.0,1035554429.0,143392377.0,892162052.0,722.18,4319627950.0,4207487784.0,3281130468.0,2126018362.0,-64328305.0,115497198.0,5.43,2041262462.0,98.43,2020-06-30,Quarterly,2020,2,2020 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2020",03/31/2020,2117689.0,1985202.0,1099882734.0,136598909.0,963283825.0,805.19,4481290987.0,4369491279.0,3378211833.0,2094232147.0,16609683.0,112259574.0,5.36,1932285697.0,94.22,2020-03-31,Quarterly,2020,1,2020 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2020,09/30/2020,2263843.0,2131808.0,916560007.0,148151322.0,768408685.0,618.66,5109236235.0,4998307924.0,4189201892.0,8502387257.0,-137555327.0,451661140.0,5.31,8082357296.0,96.75,2020-09-30,Annual,2020,,2020 Annual
