Month,County,Plan Type,Plan Category,Plan,Plan Name Raw,Enrollees,Suppressed
2023-01-01,Stanislaus,Local Initiative (2 Plan),Medical,Health Plan of San Joaquin,Health Plan of San Joaquin,164985.0,False
2023-01-01,Stanislaus,PACE,PACE,Central PACE Stanislaus,Central PACE Stanislaus,199.0,False
2023-01-01,Stanislaus,PACE,PACE,Stockton PACE,Stockton PACE/Stanislaus,120.0,False
2023-01-01,Sutter,PACE,PACE,InnovAge PACE,InnovAge PACE/Sutter,,True
2023-01-01,Sutter,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Sutter,25391.0,False
2023-01-01,Sutter,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Sutter,14054.0,False
2023-01-01,Tehama,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Tehama,11241.0,False
2023-01-01,Tehama,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Tehama,15457.0,False
2023-01-01,Trinity,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Trinity,5806.0,False
2023-01-01,Tulare,Commercial Plan (2 Plan),Medical,Health Net Community Solutions,Health Net/Tulare,126962.0,False
2023-01-01,Tulare,Local Initiative (2 Plan),Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Tulare,127195.0,False
2023-01-01,Tulare,PACE,PACE,"IIH, Inc dba Bakersfield PACE","IIH, Inc dba Bakersfield PACE/Tulare",,True
2023-01-01,Tulare,PACE,PACE,Sequioa PACE Tulare,Sequioa PACE Tulare,14.0,False
2023-01-01,Tuolumne,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Tuolumne,7349.0,False
2023-01-01,Tuolumne,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Tuolumne,6050.0,False
2023-01-01,Ventura,County Organized Health Systems,Medical,Gold Coast Health Plan Ventura,Gold Coast Health Plan Ventura,249212.0,False
2023-01-01,Yolo,County Organized Health Systems,Medical,Partnership HealthPlan of California,Partnership HealthPlan of CA/Yolo,62650.0,False
2023-01-01,Yuba,PACE,PACE,InnovAge PACE,InnovAge PACE/Yuba,,True
2023-01-01,Yuba,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Yuba,20769.0,False
2023-01-01,Yuba,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Yuba,11964.0,False
2023-02-01,Alameda,Commercial Plan (2 Plan),Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Alameda,92398.0,False
2023-02-01,Alameda,Local Initiative (2 Plan),Medical,Alameda Alliance for Hlth,Alameda Alliance for Hlth,347094.0,False
2023-02-01,Alameda,PACE,PACE,OnLok Senior Hlth dba OnLok Lifeways,OnLok Senior Hlth dba OnLok Lifeways/Alameda,336.0,False
2023-02-01,Alameda,Special Project,Medical,Cntr Elders Indep,Cntr Elders Indep/Alameda,815.0,False
2023-02-01,Alpine,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Alpine,192.0,False
2023-02-01,Alpine,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Alpine,74.0,False
2023-02-01,Amador,Regional Model,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Amador,6911.0,False
2023-02-01,Amador,Regional Model,Medical,California Health & Wellness,California Health & Wellness/Amador,1985.0,False
2023-02-01,Amador,Regional Model,Medical,Kaiser,Kaiser/Amador,273.0,False
