2024 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
H0271 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",71%,76%,68%,46%,80%,95%,96%,39%,83%,83%,73%,63%,44%,56%,11%,85%,44%,55%,82,78,91,86,89,85,0.2,18%,Medicare shows only a Star Rating for this topic ,99%,98%,98%,98%,0.2,18%,Medicare shows only a Star Rating for this topic ,90,92,99,87%,87%,87%,87%,85%
H0292 ,Local CCP ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana ,Humana Inc. ,79%,80%,76%,49%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,43%,84%,89%,78%,53%,38%,94%,14%,90%,76%,68%,85,82,91,90,90,89,0.15,13%,Medicare shows only a Star Rating for this topic ,100%,99%,97%,100%,0.15,13%,Medicare shows only a Star Rating for this topic ,89,92,88,88%,90%,89%,81%,90%
H0294 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",81%,77%,72%,48%,79%,98%,97%,38%,76%,87%,80%,49%,47%,57%,10%,87%,49%,58%,80,80,88,84,84,84,0.18,13%,Not enough data available ,99%,98%,98%,98%,0.18,13%,Not enough data available ,85,87,99,89%,91%,90%,83%,87%
H0302 ,Local CCP ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona (AZ Blue) ,Blue Cross Blue Shield of Arizona ,72%,76%,75%,45%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,41%,71%,84%,76%,51%,47%,74%,12%,82%,70%,69%,79,76,91,85,88,83,0.06,12%,Medicare shows only a Star Rating for this topic ,98%,97%,100%,100%,0.06,12%,Medicare shows only a Star Rating for this topic ,88,91,97,88%,92%,91%,80%,84%
H0321 ,Local CCP ,"ARIZONA PHYSICIANS IPA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",67%,69%,68%,53%,78%,94%,94%,41%,82%,81%,76%,65%,47%,60%,14%,82%,42%,62%,76,77,90,86,91,81,0.16,6%,Medicare shows only a Star Rating for this topic ,95%,99%,98%,98%,0.16,6%,Medicare shows only a Star Rating for this topic ,91,88,98,85%,85%,84%,81%,86%
H0332 ,Local CCP ,"KS PLAN ADMINISTRATORS, LLC ",KelseyCare Advantage ,"UnitedHealth Group, Inc. ",81%,78%,78%,60%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,79%,87%,88%,85%,61%,49%,90%,12%,86%,84%,58%,81,79,94,90,93,89,0.09,5%,Medicare shows only a Star Rating for this topic ,100%,100%,97%,97%,0.09,5%,Medicare shows only a Star Rating for this topic ,93,94,95,89%,90%,89%,90%,89%
H0336 ,Demo ,"HUMANA HEALTH PLAN, INC. ",Humana ,Humana Inc. ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0342 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Point32Health, Inc. ",Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,98%,100%,Not enough data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,98,93%,90%,91%,Not enough data available ,85%
H0351 ,Local CCP ,"HEALTH NET OF ARIZONA, INC. ",Wellcare by Allwell ,Centene Corporation ,68%,68%,66%,44%,47%,98%,92%,70%,74%,82%,72%,51%,42%,62%,11%,82%,42%,60%,78,74,86,83,84,83,0.49,6%,Medicare shows only a Star Rating for this topic ,100%,96%,97%,100%,0.49,6%,Medicare shows only a Star Rating for this topic ,84,87,98,87%,90%,89%,76%,87%
H0354 ,Local CCP ,"CIGNA HEALTHCARE OF ARIZONA, INC. ",Cigna Healthcare ,The Cigna Group ,77%,75%,79%,52%,66%,99%,99%,33%,84%,86%,79%,58%,51%,88%,11%,87%,75%,66%,80,76,91,86,90,85,0.12,7%,Medicare shows only a Star Rating for this topic ,97%,94%,95%,94%,0.12,7%,Medicare shows only a Star Rating for this topic ,89,92,100,88%,90%,90%,92%,90%
