2024 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H1280 ,eternalHealth ,"ETERNALHEALTH,INC. ","Eternal Health of Delaware, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1290 ,Devoted Health ,"DEVOTED HEALTH PLAN OF FLORIDA, INC. ","Devoted Health, Inc. ",19%,39%,14%,Not Available ,14%
H1302 ,Blue Cross of Idaho ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ","Blue Cross of Idaho Health Service, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1304 ,Regence BlueShield Of Idaho ,"REGENCE BLUESHIELD OF IDAHO, INC. ","Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1339 ,Johns Hopkins Advantage MD ,"JOHNS HOPKINS HEALTH PLAN OF VIRGINIA, INC. ",Johns Hopkins Healthcare LLC ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1347 ,Patrius Health ,PATRIUS HEALTH INC ,BlueCross BlueShield of Alabama ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H1350 ,Blue Cross of Idaho ,"BLUE CROSS OF IDAHO CARE PLUS, INC. ","Blue Cross of Idaho Health Service, Inc. ",7%,9%,30%,10%,10%
H1352 ,Blue Medicare Advantage ,"BLUE-ADVANTAGE PLUS OF KANSAS CITY, INC. ",Blue Cross and Blue Shield of Kansas City ,18%,21%,17%,8%,11%
H1353 ,Wellcare ,"WELLCARE OF WASHINGTON, INC. ",Centene Corporation ,Not Available ,43%,23%,Not Available ,24%
H1360 ,UnitedHealthcare ,"UnitedHealthcare Benefits of Texas, Inc. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H1365 ,Martin's Point Generations Advantage ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ","Martin's Point Health Care, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
