Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Health Net,Adult,256.94,266.34,276.21
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Health Net,ACA Optional Expansion,302.01,312.69,323.89
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Health Net,SPD,849.12,876.56,905.2
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Health Net,SPD/Full-Dual,169.8,176.16,182.85
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Health Net,Maternity,9633.29,9929.33,10236.61
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Health Net,Behavioral Health Treatment 0-6,3537.32,3655.25,3777.88
1/22-12/22,2022,GMC,Sacramento,Health Net of California,Health Net,Behavioral Health Treatment 7-20,2588.16,2674.44,2764.17
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Kaiser Permanente,Child,82.21,86.09,90.21
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Kaiser Permanente,Adult,275.36,285.34,295.82
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Kaiser Permanente,ACA Optional Expansion,332.11,343.77,355.99
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Kaiser Permanente,SPD,662.91,684.36,706.76
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Kaiser Permanente,SPD/Full-Dual,144.56,149.96,155.66
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Kaiser Permanente,Maternity,9633.29,9929.33,10236.61
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Kaiser Permanente,Behavioral Health Treatment 0-6,4898.28,5061.57,5231.38
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Kaiser Permanente,Behavioral Health Treatment 7-20,2372.51,2451.6,2533.85
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Child,75.05,78.7,82.57
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Adult,233.71,242.35,251.42
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Molina Healthcare,ACA Optional Expansion,299.04,309.64,320.76
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Molina Healthcare,SPD,825.95,852.66,880.54
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Molina Healthcare,SPD/Full-Dual,127.41,132.66,138.2
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Maternity,9633.29,9929.33,10236.61
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 0-6,3347.71,3459.31,3575.37
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 7-20,2344.9,2423.07,2504.36
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Child,71.28,74.81,78.56
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Adult,228.52,236.97,245.84
