Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
01/2021-6/2021,2021,PACE,San Diego,San Diego PACE,San Diego PACE,Full-Dual,4341.52,4616.31,4922.45,5409.63
01/2021-6/2021,2021,PACE,San Diego,San Diego PACE,San Diego PACE,Non-Dual,6458.62,6875.02,7339.02,8914.41
01/2021-6/2021,2021,PACE,Fresno,Sequoia,Sequoia,Full-Dual,4607.95,4895.65,5216.15,5348.65
01/2021-6/2021,2021,PACE,Fresno,Sequoia,Sequoia,Non-Dual,6973.96,7418.4,7913.61,8779.3
01/2021-6/2021,2021,PACE,Kings,Sequoia,Sequoia,Full-Dual,4607.95,4895.65,5216.15,5348.65
01/2021-6/2021,2021,PACE,Kings,Sequoia,Sequoia,Non-Dual,6973.96,7418.4,7913.61,8779.3
01/2021-6/2021,2021,PACE,Madera,Sequoia,Sequoia,Full-Dual,4607.95,4895.65,5216.15,5348.65
01/2021-6/2021,2021,PACE,Madera,Sequoia,Sequoia,Non-Dual,6973.96,7418.4,7913.61,8779.3
01/2021-6/2021,2021,PACE,Tulare,Sequoia,Sequoia,Full-Dual,4607.95,4895.65,5216.15,5348.65
01/2021-6/2021,2021,PACE,Tulare,Sequoia,Sequoia,Non-Dual,6973.96,7418.4,7913.61,8779.3
01/2021-6/2021,2021,PACE,San Diego,St. Paul's PACE,St. Paul's PACE,Full-Dual,3769.25,4011.84,4282.16,5409.63
01/2021-6/2021,2021,PACE,San Diego,St. Paul's PACE,St. Paul's PACE,Non-Dual,5544.3,5907.14,6311.5,8914.41
01/2021-6/2021,2021,PACE,San Joaquin,Stockton PACE,Stockton PACE,Full-Dual,5276.14,5607.37,5976.38,5772.77
01/2021-6/2021,2021,PACE,San Joaquin,Stockton PACE,Stockton PACE,Non-Dual,8083.37,8600.74,9177.21,9506.62
01/2021-6/2021,2021,PACE,Stanislaus,Stockton PACE,Stockton PACE,Full-Dual,5276.14,5607.37,5976.38,5772.77
01/2021-6/2021,2021,PACE,Stanislaus,Stockton PACE,Stockton PACE,Non-Dual,8083.37,8600.74,9177.21,9506.62
01/2021-6/2021,2021,PACE,Sacramento,Sutter Senior Care,Sutter Senior Care,Full-Dual,5199.43,5526.25,5890.34,6143.16
01/2021-6/2021,2021,PACE,Sacramento,Sutter Senior Care,Sutter Senior Care,Non-Dual,7940.49,8449.18,9015.99,9766.62
07/2021-12/2021,2021,PACE,Los Angeles,AltaMed Senior Care,AltaMed Senior Care,Full-Dual,4024.7,4276.74,4557.53,5642.46
07/2021-12/2021,2021,PACE,Los Angeles,AltaMed Senior Care,AltaMed Senior Care,Non-Dual,5967.92,6348.96,6773.52,8573.35
07/2021-12/2021,2021,PACE,Orange,AltaMed Senior Care,AltaMed Senior Care,Full-Dual,4052.43,4309.35,4595.58,5347.24
07/2021-12/2021,2021,PACE,Orange,AltaMed Senior Care,AltaMed Senior Care,Non-Dual,6760.63,7197.81,7684.97,9373.33
07/2021-12/2021,2021,PACE,Kern,Bakersfield,Bakersfield,Full-Dual,4649.56,4940.29,5264.16,5237.67
07/2021-12/2021,2021,PACE,Kern,Bakersfield,Bakersfield,Non-Dual,7050.98,7500.85,8002.1,9696.95
07/2021-12/2021,2021,PACE,Tulare,Bakersfield,Bakersfield,Full-Dual,4649.56,4940.29,5264.16,5237.67
07/2021-12/2021,2021,PACE,Tulare,Bakersfield,Bakersfield,Non-Dual,7050.98,7500.85,8002.1,9696.95
07/2021-12/2021,2021,PACE,Los Angeles,Brandman Centers For Senior Care,Brandman Centers For Senior Care,Full-Dual,4154.83,4419.4,4714.16,5642.46
07/2021-12/2021,2021,PACE,Los Angeles,Brandman Centers For Senior Care,Brandman Centers For Senior Care,Non-Dual,6652.72,7084.69,7566.06,8573.35
07/2021-12/2021,2021,PACE,Orange,CalOptima,CalOptima,Full-Dual,3749.0,3989.85,4258.22,5347.24
07/2021-12/2021,2021,PACE,Orange,CalOptima,CalOptima,Non-Dual,7018.81,7477.65,7989.0,9373.33
07/2021-12/2021,2021,PACE,Alameda,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Full-Dual,5746.96,6121.52,6538.9,6378.61
07/2021-12/2021,2021,PACE,Alameda,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Non-Dual,7959.14,8481.4,9063.43,10461.37
07/2021-12/2021,2021,PACE,Contra Costa,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Full-Dual,5746.96,6121.52,6538.9,5983.03
07/2021-12/2021,2021,PACE,Contra Costa,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Non-Dual,7959.14,8481.4,9063.43,9688.46
07/2021-12/2021,2021,PACE,San Joaquin,Central Valley,Central Valley,Full-Dual,5394.85,5733.54,6110.85,5766.3
07/2021-12/2021,2021,PACE,San Joaquin,Central Valley,Central Valley,Non-Dual,8265.16,8794.17,9383.61,9480.44
07/2021-12/2021,2021,PACE,Stanislaus,Central Valley,Central Valley,Full-Dual,5394.85,5733.54,6110.85,5766.3
07/2021-12/2021,2021,PACE,Stanislaus,Central Valley,Central Valley,Non-Dual,8265.16,8794.17,9383.61,9480.44
07/2021-12/2021,2021,PACE,San Diego,Family Health Center,Family Health Center,Full-Dual,4602.12,4893.4,5217.93,5398.44
07/2021-12/2021,2021,PACE,San Diego,Family Health Center,Family Health Center,Non-Dual,6838.64,7279.56,7770.88,8882.85
07/2021-12/2021,2021,PACE,San Diego,Gary & Mary West,Gary & Mary West,Full-Dual,4804.22,5108.29,5447.07,5398.44
07/2021-12/2021,2021,PACE,San Diego,Gary & Mary West,Gary & Mary West,Non-Dual,6936.64,7383.88,7882.24,8882.85
07/2021-12/2021,2021,PACE,El Dorado,InnovAge,InnovAge,Full-Dual,4974.66,5292.0,5645.57,5826.06
07/2021-12/2021,2021,PACE,El Dorado,InnovAge,InnovAge,Non-Dual,7853.65,8362.23,8928.95,9601.43
07/2021-12/2021,2021,PACE,Placer,InnovAge,InnovAge,Full-Dual,4974.66,5292.0,5645.57,5826.06
07/2021-12/2021,2021,PACE,Placer,InnovAge,InnovAge,Non-Dual,7853.65,8362.23,8928.95,9601.43
07/2021-12/2021,2021,PACE,Riverside,InnovAge,InnovAge,Full-Dual,4420.81,4710.93,5034.23,5094.63
07/2021-12/2021,2021,PACE,Riverside,InnovAge,InnovAge,Non-Dual,7426.9,7917.03,8463.27,9686.31
07/2021-12/2021,2021,PACE,Sacramento,InnovAge,InnovAge,Full-Dual,4974.66,5292.0,5645.57,5826.06
07/2021-12/2021,2021,PACE,Sacramento,InnovAge,InnovAge,Non-Dual,7853.65,8362.23,8928.95,9601.43
07/2021-12/2021,2021,PACE,San Bernardino,InnovAge,InnovAge,Full-Dual,4420.81,4710.93,5034.23,5094.63
07/2021-12/2021,2021,PACE,San Bernardino,InnovAge,InnovAge,Non-Dual,7426.9,7917.03,8463.27,9686.31
07/2021-12/2021,2021,PACE,San Joaquin,InnovAge,InnovAge,Full-Dual,4974.66,5292.0,5645.57,5826.06
07/2021-12/2021,2021,PACE,San Joaquin,InnovAge,InnovAge,Non-Dual,7853.65,8362.23,8928.95,9601.43
07/2021-12/2021,2021,PACE,Sutter,InnovAge,InnovAge,Full-Dual,4974.66,5292.0,5645.57,5826.06
07/2021-12/2021,2021,PACE,Sutter,InnovAge,InnovAge,Non-Dual,7853.65,8362.23,8928.95,9601.43
07/2021-12/2021,2021,PACE,Yuba,InnovAge,InnovAge,Full-Dual,4974.66,5292.0,5645.57,5826.06
07/2021-12/2021,2021,PACE,Yuba,InnovAge,InnovAge,Non-Dual,7853.65,8362.23,8928.95,9601.43
07/2021-12/2021,2021,PACE,Fresno,Innovative Integrated Health,Innovative Integrated Health,Full-Dual,3960.99,4206.17,4479.28,5362.29
07/2021-12/2021,2021,PACE,Fresno,Innovative Integrated Health,Innovative Integrated Health,Non-Dual,5925.24,6300.27,6718.1,8631.92
07/2021-12/2021,2021,PACE,Orange,Innovative Integrated Health,Innovative Integrated Health,Full-Dual,4230.22,4500.81,4802.36,5347.24
07/2021-12/2021,2021,PACE,Orange,Innovative Integrated Health,Innovative Integrated Health,Non-Dual,7068.53,7531.51,8047.59,9373.33
07/2021-12/2021,2021,PACE,Los Angeles,LA Coast,LA Coast,Full-Dual,4522.49,4810.47,5131.31,5642.46
07/2021-12/2021,2021,PACE,Los Angeles,LA Coast,LA Coast,Non-Dual,7779.7,8284.88,8847.85,8573.35
07/2021-12/2021,2021,PACE,Riverside,Neighborhood Healthcare,Neighborhood Healthcare,Full-Dual,4506.36,4804.85,5137.59,5094.63
07/2021-12/2021,2021,PACE,Riverside,Neighborhood Healthcare,Neighborhood Healthcare,Non-Dual,7365.16,7857.92,8407.27,9686.31
07/2021-12/2021,2021,PACE,San Bernardino,Neighborhood Healthcare,Neighborhood Healthcare,Full-Dual,4506.36,4804.85,5137.59,5094.63
07/2021-12/2021,2021,PACE,San Bernardino,Neighborhood Healthcare,Neighborhood Healthcare,Non-Dual,7365.16,7857.92,8407.27,9686.31
07/2021-12/2021,2021,PACE,San Francisco,North East Medical Services,North East Medical Services,Full-Dual,7674.05,8149.85,8679.85,8380.11
07/2021-12/2021,2021,PACE,San Francisco,North East Medical Services,North East Medical Services,Non-Dual,9361.34,9963.92,10635.36,12390.56
07/2021-12/2021,2021,PACE,Alameda,On Lok Lifeways,On Lok Lifeways,Full-Dual,5834.62,6203.1,6613.6,6378.61
07/2021-12/2021,2021,PACE,Alameda,On Lok Lifeways,On Lok Lifeways,Non-Dual,7228.82,7702.7,8230.82,10461.37
07/2021-12/2021,2021,PACE,San Francisco,On Lok Lifeways,On Lok Lifeways,Full-Dual,7450.54,7912.48,8427.03,8380.11
07/2021-12/2021,2021,PACE,San Francisco,On Lok Lifeways,On Lok Lifeways,Non-Dual,9088.79,9673.82,10325.7,12390.56
07/2021-12/2021,2021,PACE,Santa Clara,On Lok Lifeways,On Lok Lifeways,Full-Dual,5776.55,6143.09,6551.45,6087.32
07/2021-12/2021,2021,PACE,Santa Clara,On Lok Lifeways,On Lok Lifeways,Non-Dual,7589.54,8086.74,8640.85,9350.87
