Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
01/2024-12/2024,2024,PACE,Tulare,Family Health Care Network (FHCN),Family Health Care Network (FHCN),Non-Dual - UIS State-Only,6143.76,6471.11,6827.28,7338.64
01/2024-12/2024,2024,PACE,Tulare,Family Health Care Network (FHCN),Family Health Care Network (FHCN),Full-Dual - SIS,4779.75,5028.63,5299.37,5196.11
01/2024-12/2024,2024,PACE,Tulare,Family Health Care Network (FHCN),Family Health Care Network (FHCN),Non-Dual - SIS,7069.92,7446.62,7856.48,8470.41
01/2024-12/2024,2024,PACE,San Bernardino,High Desert PACE,High Desert PACE,Full-Dual - UIS Federally Eligible,201.91,212.64,224.32,270.46
01/2024-12/2024,2024,PACE,San Bernardino,High Desert PACE,High Desert PACE,Non-Dual - UIS Federally Eligible,1733.81,1827.7,1929.86,2019.44
01/2024-12/2024,2024,PACE,San Bernardino,High Desert PACE,High Desert PACE,Full-Dual - UIS State-Only,4845.84,5103.41,5383.58,6443.71
01/2024-12/2024,2024,PACE,San Bernardino,High Desert PACE,High Desert PACE,Non-Dual - UIS State-Only,6522.43,6875.64,7259.96,7548.62
01/2024-12/2024,2024,PACE,San Bernardino,High Desert PACE,High Desert PACE,Full-Dual - SIS,4389.35,4622.65,4876.43,5845.22
01/2024-12/2024,2024,PACE,San Bernardino,High Desert PACE,High Desert PACE,Non-Dual - SIS,7505.67,7912.12,8354.38,8714.29
01/2024-12/2024,2024,PACE,Los Angeles,High Desert PACE,High Desert PACE,Full-Dual - UIS Federally Eligible,201.91,212.64,224.32,270.46
01/2024-12/2024,2024,PACE,Los Angeles,High Desert PACE,High Desert PACE,Non-Dual - UIS Federally Eligible,1733.81,1827.7,1929.86,2019.44
01/2024-12/2024,2024,PACE,Los Angeles,High Desert PACE,High Desert PACE,Full-Dual - UIS State-Only,4845.84,5103.41,5383.58,6443.71
01/2024-12/2024,2024,PACE,Los Angeles,High Desert PACE,High Desert PACE,Non-Dual - UIS State-Only,6522.43,6875.64,7259.96,7548.62
01/2024-12/2024,2024,PACE,Los Angeles,High Desert PACE,High Desert PACE,Full-Dual - SIS,4389.35,4622.65,4876.43,5845.22
01/2024-12/2024,2024,PACE,Los Angeles,High Desert PACE,High Desert PACE,Non-Dual - SIS,7505.67,7912.12,8354.38,8714.29
01/2024-12/2024,2024,PACE,Merced,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - UIS Federally Eligible,243.29,255.84,269.49,268.71
01/2024-12/2024,2024,PACE,Merced,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - UIS Federally Eligible,1734.72,1827.29,1928.01,2407.67
01/2024-12/2024,2024,PACE,Merced,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - UIS State-Only,5839.06,6140.22,6467.79,6420.13
01/2024-12/2024,2024,PACE,Merced,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - UIS State-Only,6525.86,6874.09,7252.98,9020.26
01/2024-12/2024,2024,PACE,Merced,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - SIS,5289.0,5561.79,5858.5,5815.88
01/2024-12/2024,2024,PACE,Merced,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - SIS,7509.62,7910.35,8346.35,10395.56
01/2025-12/2025,2025,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS Federal,141.37,148.65,156.58,196.18
01/2025-12/2025,2025,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS Federal,770.16,810.51,854.39,1045.74
01/2025-12/2025,2025,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS State-Only,4570.85,4806.49,5062.67,6343.2
01/2025-12/2025,2025,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS State-Only,6231.29,6557.77,6912.8,8461.03
01/2025-12/2025,2025,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - SIS,4712.22,4955.14,5219.25,6539.38
01/2025-12/2025,2025,PACE,Los Angeles,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - SIS,7001.45,7368.29,7767.2,9506.77
01/2025-12/2025,2025,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS Federal,151.09,159.07,167.75,185.62
01/2025-12/2025,2025,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS Federal,852.18,897.5,946.79,1195.88
01/2025-12/2025,2025,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS State-Only,4885.21,5143.24,5423.87,6001.64
01/2025-12/2025,2025,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS State-Only,6894.88,7261.57,7660.4,9675.79
01/2025-12/2025,2025,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - SIS,5036.3,5302.31,5591.62,6187.26
01/2025-12/2025,2025,PACE,Orange,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - SIS,7747.06,8159.07,8607.19,10871.67
01/2025-12/2025,2025,PACE,San Bernardino,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS Federal,147.17,154.99,163.51,170.39
01/2025-12/2025,2025,PACE,San Bernardino,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS Federal,839.57,884.78,933.97,1203.8
01/2025-12/2025,2025,PACE,San Bernardino,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS State-Only,4758.43,5011.48,5286.75,5509.3
01/2025-12/2025,2025,PACE,San Bernardino,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS State-Only,6792.92,7158.69,7556.64,9739.83
01/2025-12/2025,2025,PACE,San Bernardino,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - SIS,4905.6,5166.48,5450.26,5679.69
01/2025-12/2025,2025,PACE,San Bernardino,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - SIS,7632.49,8043.47,8490.61,10943.63
01/2025-12/2025,2025,PACE,Riverside,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS Federal,147.17,154.99,163.51,170.39
01/2025-12/2025,2025,PACE,Riverside,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS Federal,839.57,884.78,933.97,1203.8
01/2025-12/2025,2025,PACE,Riverside,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - UIS State-Only,4758.43,5011.48,5286.75,5509.3
01/2025-12/2025,2025,PACE,Riverside,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - UIS State-Only,6792.92,7158.69,7556.64,9739.83
01/2025-12/2025,2025,PACE,Riverside,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Full-Dual - SIS,4905.6,5166.48,5450.26,5679.69
01/2025-12/2025,2025,PACE,Riverside,AltaMed Health Services Corporation,AltaMed Health Services Corporation,Non-Dual - SIS,7632.49,8043.47,8490.61,10943.63
01/2025-12/2025,2025,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Full-Dual - UIS Federal,142.43,149.88,157.97,196.18
01/2025-12/2025,2025,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Non-Dual - UIS Federal,835.53,879.94,928.24,1045.74
01/2025-12/2025,2025,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Full-Dual - UIS State-Only,4605.37,4846.03,5107.71,6343.2
01/2025-12/2025,2025,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Non-Dual - UIS State-Only,6760.17,7119.48,7510.28,8461.03
01/2025-12/2025,2025,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Full-Dual - SIS,4747.81,4995.9,5265.68,6539.38
01/2025-12/2025,2025,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.","Brandman Centers for Senior Care, Inc.",Non-Dual - SIS,7595.7,7999.41,8438.51,9506.77
01/2025-12/2025,2025,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Full-Dual - UIS Federal,123.04,129.65,185.62,129.65
01/2025-12/2025,2025,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Non-Dual - UIS Federal,936.08,987.1,1195.88,987.1
01/2025-12/2025,2025,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Full-Dual - UIS State-Only,3781.67,3978.22,4191.93,6001.64
01/2025-12/2025,2025,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Non-Dual - UIS State-Only,7194.21,7573.74,7986.5,9675.79
01/2025-12/2025,2025,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Full-Dual - SIS,3898.63,4101.26,4321.58,6187.26
01/2025-12/2025,2025,PACE,Orange,Orange County Health Authority,Orange County Health Authority,Non-Dual - SIS,8083.38,8509.82,8973.6,10871.67
01/2025-12/2025,2025,PACE,Alameda,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Full-Dual - UIS Federal,180.14,189.68,200.05,236.66
01/2025-12/2025,2025,PACE,Alameda,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Non-Dual - UIS Federal,798.63,841.26,887.63,1325.57
01/2025-12/2025,2025,PACE,Alameda,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Full-Dual - UIS State-Only,5824.61,6132.87,6468.14,7652.03
01/2025-12/2025,2025,PACE,Alameda,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Non-Dual - UIS State-Only,6461.63,6806.57,7181.77,10725.11
01/2025-12/2025,2025,PACE,Alameda,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Full-Dual - SIS,6004.75,6322.55,6668.18,7888.69
01/2025-12/2025,2025,PACE,Alameda,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Non-Dual - SIS,7260.26,7647.83,8069.4,12050.68
01/2025-12/2025,2025,PACE,Contra Costa,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Full-Dual - UIS Federal,186.63,196.47,207.17,219.95
01/2025-12/2025,2025,PACE,Contra Costa,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Non-Dual - UIS Federal,780.54,822.16,867.44,1310.82
01/2025-12/2025,2025,PACE,Contra Costa,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Full-Dual - UIS State-Only,6034.31,6352.42,6698.37,7111.74
01/2025-12/2025,2025,PACE,Contra Costa,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Non-Dual - UIS State-Only,6315.29,6652.06,7018.36,10605.74
01/2025-12/2025,2025,PACE,Contra Costa,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Full-Dual - SIS,6220.93,6548.88,6905.54,7331.69
01/2025-12/2025,2025,PACE,Contra Costa,Coalition Center for Elders' Independence,Coalition Center for Elders' Independence,Non-Dual - SIS,7095.83,7474.22,7885.79,11916.56
01/2025-12/2025,2025,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - UIS Federal,167.73,176.55,186.13,195.14
01/2025-12/2025,2025,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - UIS Federal,1046.43,1102.21,1162.89,1130.25
01/2025-12/2025,2025,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - UIS State-Only,5423.31,5708.32,6018.27,6309.55
01/2025-12/2025,2025,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - UIS State-Only,8466.55,8917.89,9408.8,9144.76
01/2025-12/2025,2025,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - SIS,5591.04,5884.87,6204.4,6504.69
01/2025-12/2025,2025,PACE,San Joaquin,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - SIS,9512.98,10020.1,10571.68,10275.01
01/2025-12/2025,2025,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - UIS Federal,167.73,176.55,186.13,195.14
01/2025-12/2025,2025,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - UIS Federal,1046.43,1102.21,1162.89,1130.25
01/2025-12/2025,2025,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - UIS State-Only,5423.31,5708.32,6018.27,6309.55
01/2025-12/2025,2025,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - UIS State-Only,8466.55,8917.89,9408.8,9144.76
01/2025-12/2025,2025,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Full-Dual - SIS,5591.04,5884.87,6204.4,6504.69
01/2025-12/2025,2025,PACE,Stanislaus,Golden Valley Health Centers,Golden Valley Health Centers,Non-Dual - SIS,9512.98,10020.1,10571.68,10275.01
01/2025-12/2025,2025,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Full-Dual - UIS Federal,142.1,149.49,157.54,196.18
01/2025-12/2025,2025,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Non-Dual - UIS Federal,897.16,944.58,996.15,1045.74
01/2025-12/2025,2025,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Full-Dual - UIS State-Only,4594.42,4833.58,5093.63,6343.2
01/2025-12/2025,2025,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Non-Dual - UIS State-Only,7258.81,7642.5,8059.78,8461.03
01/2025-12/2025,2025,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Full-Dual - SIS,4736.52,4983.08,5251.17,6539.38
01/2025-12/2025,2025,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC","ConcertoHealth PACE of Los Angeles, LLC",Non-Dual - SIS,8155.96,8587.07,9055.93,9506.77
01/2025-12/2025,2025,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Full-Dual - UIS Federal,122.87,129.3,136.29,184.65
01/2025-12/2025,2025,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Non-Dual - UIS Federal,874.6,921.06,971.59,1107.18
01/2025-12/2025,2025,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Full-Dual - UIS State-Only,3972.7,4180.58,4406.64,5970.47
01/2025-12/2025,2025,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Non-Dual - UIS State-Only,7076.34,7452.24,7861.08,8958.07
01/2025-12/2025,2025,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Full-Dual - SIS,4095.57,4309.88,4542.92,6155.12
01/2025-12/2025,2025,PACE,San Diego,"Family Health Centers of San Diego, Inc","Family Health Centers of San Diego, Inc",Non-Dual - SIS,7950.94,8373.3,8832.67,10065.25
01/2025-12/2025,2025,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Full-Dual - UIS Federal,147.95,155.61,163.93,184.65
01/2025-12/2025,2025,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Non-Dual - UIS Federal,956.25,1006.69,1061.54,1107.18
01/2025-12/2025,2025,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Full-Dual - UIS State-Only,4783.74,5031.28,5300.42,5970.47
01/2025-12/2025,2025,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Non-Dual - UIS State-Only,7736.91,8145.02,8588.86,8958.07
01/2025-12/2025,2025,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Full-Dual - SIS,4931.69,5186.88,5464.35,6155.12
01/2025-12/2025,2025,PACE,San Diego,"Gary & Mary West Senior Services, Inc.","Gary & Mary West Senior Services, Inc.",Non-Dual - SIS,8693.16,9151.71,9650.4,10065.25
01/2025-12/2025,2025,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS Federal,136.85,143.89,151.56,175.77
01/2025-12/2025,2025,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS Federal,707.09,744.12,784.39,1036.16
01/2025-12/2025,2025,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS State-Only,4424.69,4652.56,4900.3,5683.25
01/2025-12/2025,2025,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS State-Only,5721.03,6020.62,6346.41,8383.52
01/2025-12/2025,2025,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - SIS,4561.53,4796.45,5051.85,5859.02
01/2025-12/2025,2025,PACE,Fresno,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - SIS,6428.12,6764.74,7130.79,9419.68
01/2025-12/2025,2025,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS Federal,141.21,148.55,156.52,185.62
01/2025-12/2025,2025,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS Federal,877.89,924.18,974.53,1195.88
01/2025-12/2025,2025,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS State-Only,4565.86,4803.06,5060.97,6001.64
01/2025-12/2025,2025,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS State-Only,7102.93,7477.48,7884.82,9675.79
01/2025-12/2025,2025,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - SIS,4707.08,4951.61,5217.49,6187.26
01/2025-12/2025,2025,PACE,Orange,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - SIS,7980.82,8401.66,8859.34,10871.67
01/2025-12/2025,2025,PACE,San Joaquin,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS Federal,181.86,191.54,202.06,195.14
01/2025-12/2025,2025,PACE,San Joaquin,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS Federal,1064.6,1122.64,1185.79,1130.25
01/2025-12/2025,2025,PACE,San Joaquin,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS State-Only,5880.25,6193.03,6533.27,6309.55
01/2025-12/2025,2025,PACE,San Joaquin,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS State-Only,8613.59,9083.15,9594.11,9144.76
01/2025-12/2025,2025,PACE,San Joaquin,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - SIS,6062.11,6384.57,6735.33,6504.69
01/2025-12/2025,2025,PACE,San Joaquin,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - SIS,9678.19,10205.78,10779.9,10275.01
01/2025-12/2025,2025,PACE,Tulare,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS Federal,134.61,141.59,149.18,174.66
01/2025-12/2025,2025,PACE,Tulare,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS Federal,779.53,820.52,865.1,1177.37
01/2025-12/2025,2025,PACE,Tulare,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS State-Only,4352.28,4578.08,4823.59,5647.45
01/2025-12/2025,2025,PACE,Tulare,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS State-Only,6307.07,6638.77,6999.48,9525.97
01/2025-12/2025,2025,PACE,Tulare,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - SIS,4486.89,4719.67,4972.77,5822.11
01/2025-12/2025,2025,PACE,Tulare,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - SIS,7086.6,7459.29,7864.59,10703.34
01/2025-12/2025,2025,PACE,Kern,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS Federal,134.61,141.59,149.18,174.66
01/2025-12/2025,2025,PACE,Kern,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS Federal,779.53,820.52,865.1,1177.37
01/2025-12/2025,2025,PACE,Kern,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - UIS State-Only,4352.28,4578.08,4823.59,5647.45
01/2025-12/2025,2025,PACE,Kern,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - UIS State-Only,6307.07,6638.77,6999.48,9525.97
01/2025-12/2025,2025,PACE,Kern,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Full-Dual - SIS,4486.89,4719.67,4972.77,5822.11
01/2025-12/2025,2025,PACE,Kern,"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Non-Dual - SIS,7086.6,7459.29,7864.59,10703.34
01/2025-12/2025,2025,PACE,Sacramento,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS Federal,186.94,196.75,207.42,199.94
01/2025-12/2025,2025,PACE,Sacramento,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - UIS Federal,1054.86,1111.13,1172.35,1164.4
01/2025-12/2025,2025,PACE,Sacramento,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS State-Only,6044.24,6361.48,6706.47,6464.7
01/2025-12/2025,2025,PACE,Sacramento,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - UIS State-Only,8534.74,8990.09,9485.36,9421.08
01/2025-12/2025,2025,PACE,Sacramento,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - SIS,6231.17,6558.23,6913.89,6664.64
01/2025-12/2025,2025,PACE,Sacramento,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - SIS,9589.6,10101.22,10657.71,10585.48
01/2025-12/2025,2025,PACE,San Joaquin,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS Federal,186.94,196.75,207.42,199.94
01/2025-12/2025,2025,PACE,San Joaquin,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - UIS Federal,1054.86,1111.13,1172.35,1164.4
01/2025-12/2025,2025,PACE,San Joaquin,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS State-Only,6044.24,6361.48,6706.47,6464.7
01/2025-12/2025,2025,PACE,San Joaquin,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - UIS State-Only,8534.74,8990.09,9485.36,9421.08
01/2025-12/2025,2025,PACE,San Joaquin,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - SIS,6231.17,6558.23,6913.89,6664.64
01/2025-12/2025,2025,PACE,San Joaquin,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - SIS,9589.6,10101.22,10657.71,10585.48
01/2025-12/2025,2025,PACE,Sutter,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS Federal,186.94,196.75,207.42,199.94
01/2025-12/2025,2025,PACE,Sutter,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - UIS Federal,1054.86,1111.13,1172.35,1164.4
01/2025-12/2025,2025,PACE,Sutter,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS State-Only,6044.24,6361.48,6706.47,6464.7
01/2025-12/2025,2025,PACE,Sutter,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - UIS State-Only,8534.74,8990.09,9485.36,9421.08
01/2025-12/2025,2025,PACE,Sutter,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - SIS,6231.17,6558.23,6913.89,6664.64
01/2025-12/2025,2025,PACE,Sutter,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - SIS,9589.6,10101.22,10657.71,10585.48
01/2025-12/2025,2025,PACE,Placer,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS Federal,186.94,196.75,207.42,199.94
01/2025-12/2025,2025,PACE,Placer,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - UIS Federal,1054.86,1111.13,1172.35,1164.4
01/2025-12/2025,2025,PACE,Placer,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS State-Only,6044.24,6361.48,6706.47,6464.7
01/2025-12/2025,2025,PACE,Placer,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - UIS State-Only,8534.74,8990.09,9485.36,9421.08
01/2025-12/2025,2025,PACE,Placer,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - SIS,6231.17,6558.23,6913.89,6664.64
01/2025-12/2025,2025,PACE,Placer,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - SIS,9589.6,10101.22,10657.71,10585.48
01/2025-12/2025,2025,PACE,Yuba,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS Federal,186.94,196.75,207.42,199.94
01/2025-12/2025,2025,PACE,Yuba,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - UIS Federal,1054.86,1111.13,1172.35,1164.4
01/2025-12/2025,2025,PACE,Yuba,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS State-Only,6044.24,6361.48,6706.47,6464.7
01/2025-12/2025,2025,PACE,Yuba,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - UIS State-Only,8534.74,8990.09,9485.36,9421.08
01/2025-12/2025,2025,PACE,Yuba,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - SIS,6231.17,6558.23,6913.89,6664.64
01/2025-12/2025,2025,PACE,Yuba,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Non-Dual - SIS,9589.6,10101.22,10657.71,10585.48
01/2025-12/2025,2025,PACE,El Dorado,"InnovAge California PACE-Sacramento, LLC","InnovAge California PACE-Sacramento, LLC",Full-Dual - UIS Federal,186.94,196.75,207.42,199.94
