Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 0-6,3666.05,3769.13,3875.93
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 7-20,2689.21,2764.82,2843.16
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Anthem Blue Cross,Child,65.38,67.92,70.62
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Anthem Blue Cross,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Anthem Blue Cross,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Anthem Blue Cross,Maternity,7094.08,7311.48,7537.1
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Anthem Blue Cross,SPD,734.72,752.24,770.5
1/21-12/21,2021,Two-Plan,Madera,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,140.92,145.62,150.54
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,CalViva Health,Adult,257.67,264.67,272.0
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,CalViva Health,Adult Expansion,320.66,328.81,337.34
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,CalViva Health,Behavioral Health Treatment 0-6,3650.91,3753.56,3859.91
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,CalViva Health,Behavioral Health Treatment 7-20,2649.93,2724.43,2801.63
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,CalViva Health,Child,70.67,73.4,76.3
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,CalViva Health,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,CalViva Health,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,CalViva Health,Maternity,7094.08,7311.48,7537.1
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,CalViva Health,SPD,927.82,949.93,972.99
1/21-12/21,2021,Two-Plan,Madera,CalViva Health,CalViva Health,SPD Dual,142.44,147.29,152.38
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,Adult,297.33,305.78,314.64
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,Adult Expansion,385.07,395.37,406.15
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,Behavioral Health Treatment 0-6,2642.42,2716.71,2793.69
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,Behavioral Health Treatment 7-20,1868.34,1920.87,1975.3
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,Child,83.52,86.86,90.4
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,Maternity,6775.06,6982.68,7198.15
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,SPD,963.79,986.96,1011.14
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,SPD Dual,138.59,143.56,148.79
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,Health Homes Non-Dual,190.29,196.62,203.52
1/21-12/21,2021,Two-Plan,Riverside,Inland Empire Health Plan,Inland Empire Health Plan,Health Homes Dual,61.89,63.82,65.91
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,Adult,192.22,197.83,203.71
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,Adult Expansion,262.57,269.79,277.36
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 0-6,2745.93,2823.13,2903.13
1/21-12/21,2021,Two-Plan,Riverside,Molina Healthcare,Molina Healthcare,Behavioral Health Treatment 7-20,2039.09,2096.43,2155.83
