Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,ACA Optional Expansion - UIS Federally Eligible,209.1,,223.81
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,SPD - UIS Federally Eligible,594.11,,632.12
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,SPD/Full-Dual - UIS Federally Eligible,78.3,,84.8
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,LTC - UIS Federally Eligible,1061.08,,1127.36
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,LTC/Full-Dual - UIS Federally Eligible,70.39,,76.0
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,Maternity - UIS Federally Eligible,11722.29,,12240.24
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,Child - UIS State-Only,63.91,,69.65
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,Adult - UIS State-Only,154.18,,165.34
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,ACA Optional Expansion - UIS State-Only,194.13,,207.51
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,SPD - UIS State-Only,475.65,,504.74
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,SPD/Full-Dual - UIS State-Only,229.33,,241.39
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,LTC - UIS State-Only,11924.33,,12349.99
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Kaiser Permanente,LTC/Full-Dual - UIS State-Only,8726.13,,9031.45
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,Child - SIS,111.64,,120.7
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,Adult - SIS,204.56,,219.14
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,ACA Optional Expansion - SIS,241.19,,257.85
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,SPD - SIS,792.72,,840.52
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,SPD/Full-Dual - SIS,199.77,,212.65
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,LTC - SIS,8147.36,,8475.17
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,LTC/Full-Dual - SIS,7361.43,,7625.21
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,Maternity - SIS,8023.79,,8378.3
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,Child - UIS Federally Eligible,32.15,,35.25
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,Adult - UIS Federally Eligible,155.95,,166.41
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,ACA Optional Expansion - UIS Federally Eligible,143.78,,153.52
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,SPD - UIS Federally Eligible,463.79,,492.52
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,SPD/Full-Dual - UIS Federally Eligible,60.22,,64.78
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,LTC - UIS Federally Eligible,1156.96,,1226.88
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,LTC/Full-Dual - UIS Federally Eligible,113.55,,121.07
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,Maternity - UIS Federally Eligible,8023.79,,8378.3
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,Child - UIS State-Only,53.19,,57.6
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,Adult - UIS State-Only,125.73,,134.31
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,ACA Optional Expansion - UIS State-Only,151.93,,162.11
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,SPD - UIS State-Only,399.63,,423.96
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,SPD/Full-Dual - UIS State-Only,190.84,,201.74
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,LTC - UIS State-Only,6922.54,,7176.39
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley,Community Health Plan Imperial Valley,LTC/Full-Dual - UIS State-Only,6524.42,,6756.25
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,Child - SIS,111.64,,120.7
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,Adult - SIS,204.56,,219.14
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,ACA Optional Expansion - SIS,241.19,,257.85
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,SPD - SIS,792.72,,840.52
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,SPD/Full-Dual - SIS,199.77,,212.65
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,LTC - SIS,8147.36,,8475.17
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,LTC/Full-Dual - SIS,7361.43,,7625.21
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,Maternity - SIS,8023.79,,8378.3
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,Child - UIS Federally Eligible,32.15,,35.25
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,Adult - UIS Federally Eligible,155.95,,166.41
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,ACA Optional Expansion - UIS Federally Eligible,143.78,,153.52
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,SPD - UIS Federally Eligible,463.79,,492.52
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,SPD/Full-Dual - UIS Federally Eligible,60.22,,64.78
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,LTC - UIS Federally Eligible,1156.96,,1226.88
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,LTC/Full-Dual - UIS Federally Eligible,113.55,,121.07
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,Maternity - UIS Federally Eligible,8023.79,,8378.3
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,Child - UIS State-Only,53.19,,57.6
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,Adult - UIS State-Only,125.73,,134.31
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,ACA Optional Expansion - UIS State-Only,151.93,,162.11
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,SPD - UIS State-Only,399.63,,423.96
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,SPD/Full-Dual - UIS State-Only,190.84,,201.74
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,LTC - UIS State-Only,6922.54,,7176.39
1/24-12/24,2024,Single Plan,Imperial,Kaiser Permanente,Kaiser Permanente,LTC/Full-Dual - UIS State-Only,6524.42,,6756.25
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Child - SIS,170.45,,185.37
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Adult - SIS,336.24,,361.21
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,ACA Optional Expansion - SIS,428.49,,458.43
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD - SIS,1491.64,,1579.31
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD/Full-Dual - SIS,709.18,,743.71
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,LTC - SIS,1491.64,,1579.31
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,LTC/Full-Dual - SIS,709.18,,743.71
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Maternity - SIS,10239.86,,10691.51
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Child - UIS Federally Eligible,37.82,,41.94
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Adult - UIS Federally Eligible,140.87,,151.27
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,ACA Optional Expansion - UIS Federally Eligible,168.6,,180.7
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD - UIS Federally Eligible,445.19,,474.16
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD/Full-Dual - UIS Federally Eligible,135.47,,145.55
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,LTC - UIS Federally Eligible,445.19,,474.16
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,LTC/Full-Dual - UIS Federally Eligible,135.47,,145.55
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Maternity - UIS Federally Eligible,10239.86,,10691.51
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Child - UIS State-Only,104.94,,114.2
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Adult - UIS State-Only,190.91,,205.18
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,ACA Optional Expansion - UIS State-Only,273.8,,292.26
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD - UIS State-Only,868.94,,918.64
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD/Full-Dual - UIS State-Only,557.15,,583.78
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,LTC - UIS State-Only,868.94,,918.64
1/25-12/25,2025,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,LTC/Full-Dual - UIS State-Only,557.15,,583.78
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,Child - SIS,194.84,,211.28
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,Adult - SIS,358.84,,385.47
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,ACA Optional Expansion - SIS,427.08,,457.77
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,SPD - SIS,1011.29,,1073.72
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,SPD/Full-Dual - SIS,454.73,,480.49
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,LTC - SIS,1011.29,,1073.72
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,LTC/Full-Dual - SIS,454.73,,480.49
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,Maternity - SIS,10239.86,,10691.51
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,Child - UIS Federally Eligible,37.82,,41.94
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,Adult - UIS Federally Eligible,140.87,,151.27
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,ACA Optional Expansion - UIS Federally Eligible,168.6,,180.7
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,SPD - UIS Federally Eligible,445.19,,474.16
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,SPD/Full-Dual - UIS Federally Eligible,135.47,,145.55
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,LTC - UIS Federally Eligible,445.19,,474.16
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,LTC/Full-Dual - UIS Federally Eligible,135.47,,145.55
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,Maternity - UIS Federally Eligible,10239.86,,10691.51
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,Child - UIS State-Only,104.94,,114.2
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,Adult - UIS State-Only,192.7,,207.04
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,ACA Optional Expansion - UIS State-Only,273.41,,291.86
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,SPD - UIS State-Only,868.94,,918.64
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,SPD/Full-Dual - UIS State-Only,557.15,,583.78
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,LTC - UIS State-Only,868.94,,918.64
1/25-12/25,2025,Single Plan,Alameda,Kaiser Permanente,Kaiser Permanente,LTC/Full-Dual - UIS State-Only,557.15,,583.78
