Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Glenn,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Inyo,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Mariposa,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Mono,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Tehama,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Tuolumne,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,California Health and Wellness,Child,70.78,73.93,77.28
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,California Health and Wellness,Adult,301.19,310.12,319.49
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,California Health and Wellness,Adult Expansion,386.59,397.55,409.04
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,California Health and Wellness,SPD,1085.7,1112.46,1140.39
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,California Health and Wellness,SPD Dual,182.43,189.11,196.13
1/21-12/21,2021,Regional,Yuba,CA Health & Wellness,California Health and Wellness,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,Kaiser Permanente,Child,64.98,67.65,70.48
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,Kaiser Permanente,Adult,259.89,267.35,275.17
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,Kaiser Permanente,Adult Expansion,345.46,354.94,364.87
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,Kaiser Permanente,SPD,810.52,830.32,850.97
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,Kaiser Permanente,SPD Dual,118.8,123.16,127.76
1/21-12/21,2021,Regional,Amador,Kaiser Foundation HP,Kaiser Permanente,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,Kaiser Permanente,Child,64.98,67.65,70.48
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,Kaiser Permanente,Adult,259.89,267.35,275.17
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,Kaiser Permanente,Adult Expansion,345.46,354.94,364.87
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,Kaiser Permanente,SPD,810.52,830.32,850.97
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,Kaiser Permanente,SPD Dual,118.8,123.16,127.76
1/21-12/21,2021,Regional,El Dorado,Kaiser Foundation HP,Kaiser Permanente,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,Kaiser Permanente,Child,64.98,67.65,70.48
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,Kaiser Permanente,Adult,259.89,267.35,275.17
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,Kaiser Permanente,Adult Expansion,345.46,354.94,364.87
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,Kaiser Permanente,SPD,810.52,830.32,850.97
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,Kaiser Permanente,SPD Dual,118.8,123.16,127.76
1/21-12/21,2021,Regional,Placer,Kaiser Foundation HP,Kaiser Permanente,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,San Benito,Anthem Blue Cross,Anthem Blue Cross,Child,58.08,60.48,63.03
