Year,Plan,Region,Reporting Unit,AQFS
2020,Anthem,Region 2,Anthem - Region 2,47.22
2020,Anthem,Sacramento,Anthem - Sacramento,55.56
2020,Anthem,San Benito,Anthem - San Benito,40.56
2020,Anthem,San Francisco,Anthem - San Francisco,60.0
2020,Anthem,Santa Clara,Anthem - Santa Clara,54.44
2020,Anthem,Tulare,Anthem - Tulare,61.11
2020,Blue Shield,San Diego,Blue Shield - San Diego,66.67
2020,CalOptima,Orange,CalOptima - Orange,83.89
2020,CalViva,Fresno,CalViva - Fresno,58.33
2020,CalViva,Kings,CalViva - Kings,67.78
2020,CalViva,Madera,CalViva - Madera,76.67
2020,CCAH,Merced,CCAH - Merced,58.89
2020,CCAH,Monterey/Santa Cruz,CCAH - Monterey/Santa Cruz,78.89
2020,CCHP,Contra Costa,CCHP - Contra Costa,82.78
2020,CenCal,San Luis Obispo,CenCal - San Luis Obispo,80.0
2020,CenCal,Santa Barbara,CenCal - Santa Barbara,80.0
2020,CH&W,Imperial,CH&W - Imperial,70.0
2020,CH&W,Region 1,CH&W - Region 1,51.11
2020,CH&W,Region 2,CH&W - Region 2,49.44
2020,CHG,San Diego,CHG - San Diego,82.22
2020,GCHP,Ventura,GCHP - Ventura,70.56
2020,Health Net,Kern,Health Net - Kern,42.78
2020,Health Net,Los Angeles,Health Net - Los Angeles,60.0
2020,Health Net,Sacramento,Health Net - Sacramento,59.44
2020,Health Net,San Diego,Health Net - San Diego,63.89
2020,Health Net,San Joaquin,Health Net - San Joaquin,49.44
2020,Health Net,Stanislaus,Health Net - Stanislaus,50.0
2020,Health Net,Tulare,Health Net - Tulare,70.0
2020,HPSJ,San Joaquin,HPSJ - San Joaquin,59.44
2020,HPSJ,Stanislaus,HPSJ - Stanislaus,54.44
2020,HPSM,San Mateo,HPSM - San Mateo,75.56
2020,IEHP,Riverside/San Bernardino,IEHP - Riverside/San Bernardino,65.0
2020,Kaiser,KP North,Kaiser - KP North,94.44
2020,Kaiser,San Diego,Kaiser - San Diego,93.89
2020,Kern,Kern,Kern - Kern,37.22
2020,LA Care,Los Angeles,LA Care - Los Angeles,72.22
2020,Molina,Imperial,Molina - Imperial,70.56
2020,Molina,Riverside/San Bernardino,Molina - Riverside/San Bernardino,57.22
2020,Molina,Sacramento,Molina - Sacramento,49.44
2020,Molina,San Diego,Molina - San Diego,76.67
2020,Partnership,Northeast,Partnership - Northeast,52.78
2020,Partnership,Northwest,Partnership - Northwest,55.0
2020,Partnership,Southeast,Partnership - Southeast,80.56
2020,Partnership,Southwest,Partnership - Southwest,75.56
2020,SCFHP,Santa Clara,SCFHP - Santa Clara,77.78
2020,SFHP,San Francisco,SFHP - San Francisco,87.78
2020,United,San Diego,United - San Diego,56.88
2021,AAH,Alameda,AAH - Alameda,62.63
2021,Aetna,Sacramento,Aetna - Sacramento,26.0
2021,Aetna,San Diego,Aetna - San Diego,27.5
2021,Anthem,Alameda,Anthem - Alameda,50.53
2021,Anthem,Contra Costa,Anthem - Contra Costa,44.38
2021,Anthem,Fresno,Anthem - Fresno,42.11
2021,Anthem,Kings,Anthem - Kings,56.25
2021,Anthem,Madera,Anthem - Madera,56.88
