Month,Measure Category,Measure Type,Population Type,Count
202304,Eligibility,Member Months,Dual,"1,639,160"
202304,New Enrollments,New Enrollments,Dual,0
202304,State Fair Hearings,State Fair Hearings,Dual,71
202304,Utilization,Emergency Room Visits,Dual,"85,390"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"13,042"
202304,Utilization,Inpatient Admissions,Dual,"69,576"
202304,Utilization,Mild to Moderate Mental Health Visits,Dual,"58,452"
202304,Utilization,Outpatient Visits,Dual,"3,277,536"
202304,Utilization,Prescriptions,Dual,"651,271"
202304,Eligibility,Member Months,Invalid,0
202304,New Enrollments,New Enrollments,Invalid,0
202304,State Fair Hearings,State Fair Hearings,Invalid,0
202304,Utilization,Emergency Room Visits,Invalid,0
202304,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202304,Utilization,Inpatient Admissions,Invalid,0
202304,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202304,Utilization,Outpatient Visits,Invalid,0
202304,Utilization,Prescriptions,Invalid,0
202304,Eligibility,Member Months,MO-ACA,"4,672,321"
202304,New Enrollments,New Enrollments,MO-ACA,0
202304,State Fair Hearings,State Fair Hearings,MO-ACA,64
202304,Utilization,Emergency Room Visits,MO-ACA,"201,509"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"17,655"
202304,Utilization,Inpatient Admissions,MO-ACA,"40,078"
202304,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"218,402"
202304,Utilization,Outpatient Visits,MO-ACA,"3,857,854"
202304,Utilization,Prescriptions,MO-ACA,"3,731,439"
202304,Eligibility,Member Months,MO-Other,"5,770,698"
202304,New Enrollments,New Enrollments,MO-Other,0
202304,State Fair Hearings,State Fair Hearings,MO-Other,22
202304,Utilization,Emergency Room Visits,MO-Other,"240,501"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"10,349"
202304,Utilization,Inpatient Admissions,MO-Other,"36,487"
202304,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"171,029"
202304,Utilization,Outpatient Visits,MO-Other,"4,421,738"
202304,Utilization,Prescriptions,MO-Other,"2,524,775"
202304,Eligibility,Member Months,MO-OTLIC,"1,260,676"
202304,New Enrollments,New Enrollments,MO-OTLIC,0
202304,State Fair Hearings,State Fair Hearings,MO-OTLIC,3
202304,Utilization,Emergency Room Visits,MO-OTLIC,"31,874"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,901
202304,Utilization,Inpatient Admissions,MO-OTLIC,"3,379"
202304,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"34,385"
202304,Utilization,Outpatient Visits,MO-OTLIC,"740,097"
202304,Utilization,Prescriptions,MO-OTLIC,"307,173"
202304,Eligibility,Member Months,MO-SPD,"693,600"
202304,New Enrollments,New Enrollments,MO-SPD,0
202304,State Fair Hearings,State Fair Hearings,MO-SPD,63
202304,Utilization,Emergency Room Visits,MO-SPD,"57,935"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"9,546"
202304,Utilization,Inpatient Admissions,MO-SPD,"21,863"
202304,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"40,075"
202304,Utilization,Outpatient Visits,MO-SPD,"2,009,562"
202304,Utilization,Prescriptions,MO-SPD,"1,720,762"
202305,Eligibility,Member Months,Dual,"1,646,234"
202305,New Enrollments,New Enrollments,Dual,0
202305,State Fair Hearings,State Fair Hearings,Dual,84
202305,Utilization,Emergency Room Visits,Dual,"88,933"
202305,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"13,355"
202305,Utilization,Inpatient Admissions,Dual,"72,429"
202305,Utilization,Mild to Moderate Mental Health Visits,Dual,"61,640"
202305,Utilization,Outpatient Visits,Dual,"3,484,332"
202305,Utilization,Prescriptions,Dual,"708,069"
202305,Eligibility,Member Months,Invalid,0
202305,New Enrollments,New Enrollments,Invalid,0
202305,State Fair Hearings,State Fair Hearings,Invalid,0
202305,Utilization,Emergency Room Visits,Invalid,0
202305,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202305,Utilization,Inpatient Admissions,Invalid,0
202305,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202305,Utilization,Outpatient Visits,Invalid,0
202305,Utilization,Prescriptions,Invalid,0
202305,Eligibility,Member Months,MO-ACA,"4,706,447"
202305,New Enrollments,New Enrollments,MO-ACA,0
202305,State Fair Hearings,State Fair Hearings,MO-ACA,69
202305,Utilization,Emergency Room Visits,MO-ACA,"211,924"
202305,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"18,369"
202305,Utilization,Inpatient Admissions,MO-ACA,"42,191"
202305,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"245,715"
202305,Utilization,Outpatient Visits,MO-ACA,"4,249,201"
202305,Utilization,Prescriptions,MO-ACA,"4,034,997"
202305,Eligibility,Member Months,MO-Other,"5,798,466"
202305,New Enrollments,New Enrollments,MO-Other,0
202305,State Fair Hearings,State Fair Hearings,MO-Other,45
202305,Utilization,Emergency Room Visits,MO-Other,"260,456"
202305,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"10,664"
202305,Utilization,Inpatient Admissions,MO-Other,"38,036"
202305,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"193,054"
202305,Utilization,Outpatient Visits,MO-Other,"4,847,912"
202305,Utilization,Prescriptions,MO-Other,"2,777,629"
202305,Eligibility,Member Months,MO-OTLIC,"1,258,714"
202305,New Enrollments,New Enrollments,MO-OTLIC,0
202305,State Fair Hearings,State Fair Hearings,MO-OTLIC,4
202305,Utilization,Emergency Room Visits,MO-OTLIC,"34,968"
202305,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,873
202305,Utilization,Inpatient Admissions,MO-OTLIC,"3,293"
202305,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"38,035"
202305,Utilization,Outpatient Visits,MO-OTLIC,"793,233"
202305,Utilization,Prescriptions,MO-OTLIC,"340,061"
202305,Eligibility,Member Months,MO-SPD,"694,894"
202305,New Enrollments,New Enrollments,MO-SPD,0
202305,State Fair Hearings,State Fair Hearings,MO-SPD,69
202305,Utilization,Emergency Room Visits,MO-SPD,"60,052"
202305,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"9,799"
202305,Utilization,Inpatient Admissions,MO-SPD,"22,452"
202305,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"43,739"
202305,Utilization,Outpatient Visits,MO-SPD,"2,144,646"
202305,Utilization,Prescriptions,MO-SPD,"1,859,849"
202306,Eligibility,Member Months,Dual,"1,653,044"
202306,New Enrollments,New Enrollments,Dual,0
202306,State Fair Hearings,State Fair Hearings,Dual,40
202306,Utilization,Emergency Room Visits,Dual,"86,581"
202306,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"13,524"
202306,Utilization,Inpatient Admissions,Dual,"73,897"
202306,Utilization,Mild to Moderate Mental Health Visits,Dual,"58,972"
202306,Utilization,Outpatient Visits,Dual,"3,526,730"
202306,Utilization,Prescriptions,Dual,"691,195"
202306,Eligibility,Member Months,Invalid,0
202306,New Enrollments,New Enrollments,Invalid,0
202306,State Fair Hearings,State Fair Hearings,Invalid,0
202306,Utilization,Emergency Room Visits,Invalid,0
202306,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202306,Utilization,Inpatient Admissions,Invalid,0
202306,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202306,Utilization,Outpatient Visits,Invalid,0
202306,Utilization,Prescriptions,Invalid,0
202306,Eligibility,Member Months,MO-ACA,"4,735,607"
202306,New Enrollments,New Enrollments,MO-ACA,0
202306,State Fair Hearings,State Fair Hearings,MO-ACA,80
202306,Utilization,Emergency Room Visits,MO-ACA,"205,835"
202306,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"17,975"
202306,Utilization,Inpatient Admissions,MO-ACA,"40,384"
202306,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"236,633"
202306,Utilization,Outpatient Visits,MO-ACA,"4,025,093"
202306,Utilization,Prescriptions,MO-ACA,"3,920,009"
202306,Eligibility,Member Months,MO-Other,"5,816,668"
202306,New Enrollments,New Enrollments,MO-Other,0
202306,State Fair Hearings,State Fair Hearings,MO-Other,39
202306,Utilization,Emergency Room Visits,MO-Other,"227,876"
202306,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"10,160"
202306,Utilization,Inpatient Admissions,MO-Other,"34,661"
202306,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"179,333"
202306,Utilization,Outpatient Visits,MO-Other,"4,207,359"
