Source,Target,Edge_Count,Shared_Patients
Female Pelvic Medicine and Reconstructive Surgery,Anesthesiologist Assistant,2,27
Maternal & Fetal Medicine,Psychiatry & Neurology,2,27
Maternal & Fetal Medicine,Physician Assistant,2,72
Maternal & Fetal Medicine,Optometrist,2,31
Critical Care Medicine,Surgery,1,11
Female Pelvic Medicine and Reconstructive Surgery,Preventive Medicine,1,12
Female Pelvic Medicine and Reconstructive Surgery,Durable Medical Equipment & Medical Supplies,1,12
Critical Care Medicine,Podiatrist,1,11
Critical Care Medicine,Nurse Practitioner,1,15
Female Pelvic Medicine and Reconstructive Surgery,Thoracic Surgery (Cardiothoracic Vascular Surgery),1,12
Female Pelvic Medicine and Reconstructive Surgery,Neurological Surgery,1,15
Gynecologic Oncology,Chiropractor,1,11
Reproductive Endocrinology,Optometrist,1,13
Obstetrics & Gynecology,"Emergency Medical Technician, Paramedic",1,12
Gynecologic Oncology,Orthopaedic Surgery,1,14
Maternal & Fetal Medicine,Hospitalist,1,15
Obstetrics & Gynecology,Massage Therapist,1,20
Obstetrics & Gynecology,Military Health Care Provider,1,11
Obstetrics,Clinical Nurse Specialist,1,11
Obstetrics,Allergy & Immunology,1,11
Maternal & Fetal Medicine,Urology,1,11
Maternal & Fetal Medicine,Registered Nurse,1,24
Obstetrics & Gynecology,Orthotist,1,12
Gynecology,Speech-Language Pathologist,1,17
Gynecologic Oncology,Otolaryngology,1,11
Gynecology,"Specialist/Technologist, Other",1,15
Gynecology,Specialist/Technologist,1,13
Gynecology,"Sleep Specialist, PhD",1,13
Gynecology,Radiologic Technologist,1,13
Gynecology,Occupational Therapist,1,13
Gynecology,Anesthesiologist Assistant,1,12
Gynecologic Oncology,Phlebology,1,12
Critical Care Medicine,Anesthesiology,1,30
