PlayerID,ShortName,Team,Position,Position Title,Height_in,Weight_lbs,PhotoUrl
19884,D.Dawson Jr.,DEN,CB,Cornerback,61,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19884.png
22080,M.Ojemudia,DEN,CB,Cornerback,73,199,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22080.png
20111,K.Toliver II,DEN,CB,Cornerback,74,199,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20111.png
17328,B.Callahan,DEN,CB,Cornerback,69,188,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17328.png
19048,N.Hairston,DEN,CB,Cornerback,72,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19048.png
22086,E.Bassey,DEN,CB,Cornerback,69,182,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22086.png
17651,D.Bausby,DEN,CB,Cornerback,74,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17651.png
22427,P.Motley,DEN,CB,Cornerback,72,180,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22427.png
15183,D.Trufant,DET,CB,Cornerback,72,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15183.png
20903,A.Oruwariye,DET,CB,Cornerback,74,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20903.png
17037,J.Coleman,DET,CB,Cornerback,61,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17037.png
17006,D.Roberts,DET,CB,Cornerback,72,182,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17006.png
22044,J.Okudah,DET,CB,Cornerback,73,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22044.png
11579,T.Brock Sr.,DET,CB,Cornerback,72,188,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/11579.png
18661,T.McRae,DET,CB,Cornerback,61,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18661.png
18529,J.Hawkins,DET,CB,Cornerback,61,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18529.png
20281,M.Ford,DET,CB,Cornerback,72,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20281.png
21201,A.Myres,DET,CB,Cornerback,61,192,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21201.png
18925,K.King,GB,CB,Cornerback,75,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18925.png
19839,J.Alexander,GB,CB,Cornerback,61,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19839.png
21116,K.Hollman,GB,CB,Cornerback,72,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21116.png
18004,K.Russell,GB,CB,Cornerback,61,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18004.png
19994,P.Nickerson,GB,CB,Cornerback,61,182,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19994.png
19856,J.Jackson,GB,CB,Cornerback,72,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19856.png
3942,T.Williams,GB,CB,Cornerback,61,191,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3942.png
20178,C.Sullivan,GB,CB,Cornerback,61,189,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20178.png
22069,S.Samuels,GB,CB,Cornerback,74,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22069.png
21418,K.Ento,GB,CB,Cornerback,73,187,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21418.png
16283,B.Roby,HOU,CB,Cornerback,61,194,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16283.png
18903,G.Conley,HOU,CB,Cornerback,72,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18903.png
17955,V.Hargreaves III,HOU,CB,Cornerback,61,204,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17955.png
18330,B.Williams,HOU,CB,Cornerback,72,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18330.png
16297,P.Gaines,HOU,CB,Cornerback,72,193,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16297.png
20032,C.Armstrong,HOU,CB,Cornerback,72,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20032.png
20758,M.Fields II,HOU,CB,Cornerback,61,180,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20758.png
20840,L.Johnson Jr.,HOU,CB,Cornerback,74,213,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20840.png
22061,J.Reid,HOU,CB,Cornerback,61,184,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22061.png
20070,K.Crossen,HOU,CB,Cornerback,61,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20070.png
19948,N.Nelson,IND,CB,Cornerback,61,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19948.png
21530,A.Chesley,IND,CB,Cornerback,72,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21530.png
19287,K.Moore II,IND,CB,Cornerback,69,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19287.png
21001,R.Ya-Sin,IND,CB,Cornerback,72,192,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21001.png
15151,X.Rhodes,IND,CB,Cornerback,73,218,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15151.png
22139,I.Rodgers,IND,CB,Cornerback,61,170,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22139.png
20028,T.Smith,IND,CB,Cornerback,61,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20028.png
20604,A.Chachere,IND,CB,Cornerback,72,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20604.png
16312,T.Carrie,IND,CB,Cornerback,72,204,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16312.png
20961,M.Tell III,IND,CB,Cornerback,74,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20961.png
