PlayerID,ShortName,Team,Position,Position Title,Height_in,Weight_lbs,PhotoUrl,target
12822,P.McPhee,BAL,OLB,Outside Linebacker,75,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/12822.png,0
21908,C.Rivers,BAL,OLB,Outside Linebacker,74,262,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,0
18064,M.Judon,BAL,OLB,Outside Linebacker,75,261,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18064.png,0
21218,T.Dodson,BUF,OLB,Outside Linebacker,72,237,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21218.png,0
15186,A.Klein,BUF,OLB,Outside Linebacker,73,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15186.png,0
19037,M.Milano,BUF,OLB,Outside Linebacker,72,223,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19037.png,0
13181,M.Addison,BUF,OLB,Outside Linebacker,75,260,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13181.png,0
14225,T.Whitehead,CAR,OLB,Outside Linebacker,73,233,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/14225.png,0
21052,B.Burns,CAR,OLB,Outside Linebacker,77,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21052.png,0
20877,C.Miller,CAR,OLB,Outside Linebacker,75,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20877.png,0
16558,A.Taylor,CAR,OLB,Outside Linebacker,73,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16558.png,0
18100,D.Bond,CHI,OLB,Outside Linebacker,73,236,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18100.png,0
14949,B.Mingo,CHI,OLB,Outside Linebacker,77,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/14949.png,0
16323,K.Mack,CHI,OLB,Outside Linebacker,75,269,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16323.png,0
17246,J.Vaughters,CHI,OLB,Outside Linebacker,73,256,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17246.png,0
13393,R.Quinn,CHI,OLB,Outside Linebacker,76,257,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13393.png,0
21890,T.Gipson,CHI,OLB,Outside Linebacker,75,261,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21890.png,0
19074,J.Evans,CIN,OLB,Outside Linebacker,75,242,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19074.png,0
20994,M.Wilson,CLE,OLB,Outside Linebacker,73,233,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20994.png,0
19101,E.Lee,CLE,OLB,Outside Linebacker,74,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19101.png,0
13480,M.Smith,CLE,OLB,Outside Linebacker,72,229,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13480.png,0
20029,T.Young,CLE,OLB,Outside Linebacker,76,258,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20029.png,0
16492,J.Thomas,DAL,OLB,Outside Linebacker,73,233,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16492.png,0
11276,S.Lee,DAL,OLB,Outside Linebacker,74,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/11276.png,0
19838,L.Vander Esch,DAL,OLB,Outside Linebacker,76,256,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19838.png,0
