Rating Period ,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Nevada,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Placer,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Plumas,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,SPD,"$1,085.70 ","$1,112.46 ","$1,140.39 "
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,SPD Dual,$182.43 ,$189.11 ,$196.13 
1/21-12/21,2021,Regional,Sierra,CA Health & Wellness,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,Child,$70.78 ,$73.93 ,$77.28 
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,Adult,$301.19 ,$310.12 ,$319.49 
1/21-12/21,2021,Regional,Sutter,CA Health & Wellness,Adult Expansion,$386.59 ,$397.55 ,$409.04 
