Rating Period,Calendar Year,Model,County,Health Plan Name,Category of Aid, Lower Bound , Upper Bound 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,SPD/Full-Dual - UIS Federally Eligible,$78.30 ,$84.80 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,LTC - UIS Federally Eligible,"$1,061.08 ","$1,127.36 "
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,LTC/Full-Dual - UIS Federally Eligible,$70.39 ,$76.00 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Maternity - UIS Federally Eligible,"$11,722.29 ","$12,240.24 "
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Child - UIS State-Only,$63.91 ,$69.65 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,Adult - UIS State-Only,$154.18 ,$165.34 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,ACA Optional Expansion - UIS State-Only,$194.13 ,$207.51 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,SPD - UIS State-Only,$475.65 ,$504.74 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,SPD/Full-Dual - UIS State-Only,$229.33 ,$241.39 
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,LTC - UIS State-Only,"$11,924.33 ","$12,349.99 "
1/24-12/24,2024,Single Plan,Contra Costa,Kaiser Permanente,LTC/Full-Dual - UIS State-Only,"$8,726.13 ","$9,031.45 "
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,Child - SIS,$111.64 ,$120.70 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,Adult - SIS,$204.56 ,$219.14 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,ACA Optional Expansion - SIS,$241.19 ,$257.85 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,SPD - SIS,$792.72 ,$840.52 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,SPD/Full-Dual - SIS,$199.77 ,$212.65 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,LTC - SIS,"$8,147.36 ","$8,475.17 "
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,LTC/Full-Dual - SIS,"$7,361.43 ","$7,625.21 "
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,Maternity - SIS,"$8,023.79 ","$8,378.30 "
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,Child - UIS Federally Eligible,$32.15 ,$35.25 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,Adult - UIS Federally Eligible,$155.95 ,$166.41 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,ACA Optional Expansion - UIS Federally Eligible,$143.78 ,$153.52 
1/24-12/24,2024,Single Plan,Imperial,Community Health Plan Imperial Valley ,SPD - UIS Federally Eligible,$463.79 ,$492.52 
