Rating Period ,Calendar Year,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,COHS,Mendocino,Partnership Health Plan,SPD Dual,277.98,284.47,291.2
1/21-12/21,2021,COHS,Mendocino,Partnership Health Plan,WCM,2219.1,2272.03,2326.86
1/21-12/21,2021,COHS,Mendocino,Partnership Health Plan,Behavioral Health Treatment 0-6,2622.72,2690.2,2759.81
1/21-12/21,2021,COHS,Mendocino,Partnership Health Plan,Behavioral Health Treatment 7-20,2333.11,2393.14,2455.06
1/21-12/21,2021,COHS,Mendocino,Partnership Health Plan,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Mendocino,Partnership Health Plan,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,Adult Expansion,365.16,374.7,384.62
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,Adult,369.4,379.5,390
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,Child,77.17,79.96,82.88
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,LTC,10849.37,10993.42,11141.3
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,LTC Dual,6878.26,6957.06,7037.71
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,Maternity,9043.76,9301.5,9567.97
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,SPD,1209.77,1238.25,1267.77
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,SPD Dual,237.94,243.7,249.69
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,WCM,1687.38,1726.57,1767.15
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,Behavioral Health Treatment 0-6,3101.7,3182.27,3265.41
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,Behavioral Health Treatment 7-20,2470.32,2534.48,2600.7
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Merced,Central CA Alliance for Health,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,Adult Expansion,448.05,459.91,472.23
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,Adult,362.55,372.56,382.96
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,Child,86.56,89.76,93.11
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,LTC,10007.06,10135.2,10266.62
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,LTC Dual,7663.16,7748.84,7836.47
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,Maternity,11749.55,12081.47,12424.49
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,SPD,1238.1,1266.89,1296.71
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,SPD Dual,277.98,284.47,291.2
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,WCM,2219.1,2272.03,2326.86
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,Behavioral Health Treatment 0-6,2622.72,2690.2,2759.81
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,Behavioral Health Treatment 7-20,2333.11,2393.14,2455.06
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Modoc,Partnership Health Plan,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,Adult Expansion,421.91,432.73,443.97
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,Adult,345.06,354.39,364.09
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,Child,82.53,85.46,88.52
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,LTC,11969.84,12126.83,12287.94
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,LTC Dual,8479.38,8575.18,8673.19
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,Maternity,9835.33,10115.6,10405.37
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,SPD,1239.52,1267.54,1296.59
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,SPD Dual,248.68,254.34,260.21
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,WCM,2004.66,2053.38,2103.83
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,Behavioral Health Treatment 0-6,3817.42,3916.57,4018.9
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,Behavioral Health Treatment 7-20,2256.09,2314.68,2375.16
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Monterey,Central CA Alliance for Health,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,Adult Expansion,459.61,471.73,484.32
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,Adult,350.69,360.37,370.45
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,Child,96.56,100.05,103.7
1/21-12/21,2021,COHS,Napa,Partnership Health Plan,LTC,8846.39,8960.19,9076.92
