Rate Period,Calendar,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,LTC - SIS,"$11,107.13 ","$11,262.92 ","$11,423.24 "
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,LTC/Full-Dual - SIS,"$7,825.75 ","$7,922.72 ","$8,022.25 "
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,Maternity - SIS,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,Child - UIS Federally Eligible,$27.72 ,$29.23 ,$30.82 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,Adult - UIS Federally Eligible,$141.75 ,$146.63 ,$151.74 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,ACA Optional Expansion - UIS Federally Eligible,$248.06 ,$256.09 ,$264.47 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,SPD - UIS Federally Eligible,$780.99 ,$804.81 ,$829.63 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,SPD/Full-Dual - UIS Federally Eligible,$114.14 ,$118.06 ,$122.18 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,LTC - UIS Federally Eligible,"$1,325.12 ","$1,365.03 ","$1,406.57 "
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,LTC/Full-Dual - UIS Federally Eligible,$161.37 ,$166.16 ,$171.18 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,Maternity - UIS Federally Eligible,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,Child - UIS State-Only,$71.08 ,$74.07 ,$77.23 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,Adult - UIS State-Only,$154.16 ,$159.52 ,$165.14 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,ACA Optional Expansion - UIS State-Only,$320.18 ,$329.31 ,$338.84 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,SPD - UIS State-Only,"$1,072.52 ","$1,099.95 ","$1,128.48 "
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,SPD/Full-Dual - UIS State-Only,$334.25 ,$341.68 ,$349.42 
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,LTC - UIS State-Only,"$9,786.89 ","$9,902.92 ","$10,021.84 "
1/23-12/23,2023,GMC,San Diego,Molina Healthcare,LTC/Full-Dual - UIS State-Only,"$7,664.39 ","$7,756.56 ","$7,851.08 "
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,Child - SIS,$91.71 ,$95.92 ,$100.37 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,Adult - SIS,$234.51 ,$242.84 ,$251.58 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,ACA Optional Expansion - SIS,$311.25 ,$321.52 ,$332.27 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,SPD - SIS,$994.97 ,"$1,022.21 ","$1,050.59 "
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,SPD/Full-Dual - SIS,$304.32 ,$312.03 ,$320.09 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,LTC - SIS,"$11,647.30 ","$11,813.83 ","$11,985.27 "
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,LTC/Full-Dual - SIS,"$7,906.77 ","$8,003.61 ","$8,102.97 "
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,Maternity - SIS,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,Child - UIS Federally Eligible,$25.11 ,$26.55 ,$28.09 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,Adult - UIS Federally Eligible,$172.85 ,$178.65 ,$184.71 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,ACA Optional Expansion - UIS Federally Eligible,$375.40 ,$387.16 ,$399.42 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,SPD - UIS Federally Eligible,$771.38 ,$794.81 ,$819.22 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,SPD/Full-Dual - UIS Federally Eligible,$117.79 ,$121.81 ,$126.03 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,LTC - UIS Federally Eligible,"$1,489.35 ","$1,533.89 ","$1,580.25 "
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,LTC/Full-Dual - UIS Federally Eligible,$157.22 ,$161.92 ,$166.84 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,Maternity - UIS Federally Eligible,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,Child - UIS State-Only,$48.10 ,$50.33 ,$52.67 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,Adult - UIS State-Only,$149.60 ,$154.58 ,$159.79 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,ACA Optional Expansion - UIS State-Only,$449.97 ,$461.70 ,$473.91 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,SPD - UIS State-Only,$838.10 ,$859.45 ,$881.65 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,SPD/Full-Dual - UIS State-Only,$277.90 ,$284.35 ,$291.07 
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,LTC - UIS State-Only,"$10,166.01 ","$10,288.24 ","$10,413.57 "
1/23-12/23,2023,GMC,San Diego,Aetna Better Health,LTC/Full-Dual - UIS State-Only,"$7,749.56 ","$7,841.70 ","$7,936.15 "
1/23-12/23,2023,GMC,San Diego,Health Net of California,Child - SIS,$87.68 ,$92.05 ,$96.68 
1/23-12/23,2023,GMC,San Diego,Health Net of California,Adult - SIS,$208.10 ,$215.69 ,$223.64 
1/23-12/23,2023,GMC,San Diego,Health Net of California,ACA Optional Expansion - SIS,$242.55 ,$251.22 ,$260.29 
1/23-12/23,2023,GMC,San Diego,Health Net of California,SPD - SIS,$677.63 ,$701.35 ,$726.09 
1/23-12/23,2023,GMC,San Diego,Health Net of California,SPD/Full-Dual - SIS,$294.05 ,$301.46 ,$309.20 
1/23-12/23,2023,GMC,San Diego,Health Net of California,LTC - SIS,"$12,046.22 ","$12,234.14 ","$12,427.97 "
1/23-12/23,2023,GMC,San Diego,Health Net of California,LTC/Full-Dual - SIS,"$7,732.99 ","$7,821.21 ","$7,911.58 "
1/23-12/23,2023,GMC,San Diego,Health Net of California,Maternity - SIS,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Health Net of California,Child - UIS Federally Eligible,$32.76 ,$34.38 ,$36.10 
1/23-12/23,2023,GMC,San Diego,Health Net of California,Adult - UIS Federally Eligible,$135.34 ,$140.12 ,$145.13 
1/23-12/23,2023,GMC,San Diego,Health Net of California,ACA Optional Expansion - UIS Federally Eligible,$223.09 ,$230.57 ,$238.38 
1/23-12/23,2023,GMC,San Diego,Health Net of California,SPD - UIS Federally Eligible,$629.33 ,$649.32 ,$670.16 
1/23-12/23,2023,GMC,San Diego,Health Net of California,SPD/Full-Dual - UIS Federally Eligible,$101.47 ,$105.08 ,$108.88 
1/23-12/23,2023,GMC,San Diego,Health Net of California,LTC - UIS Federally Eligible,"$1,983.64 ","$2,045.27 ","$2,109.48 "
1/23-12/23,2023,GMC,San Diego,Health Net of California,LTC/Full-Dual - UIS Federally Eligible,$86.18 ,$89.10 ,$92.16 
1/23-12/23,2023,GMC,San Diego,Health Net of California,Maternity - UIS Federally Eligible,"$7,395.42 ","$7,556.66 ","$7,723.19 "
1/23-12/23,2023,GMC,San Diego,Health Net of California,Child - UIS State-Only,$49.22 ,$51.52 ,$53.96 
1/23-12/23,2023,GMC,San Diego,Health Net of California,Adult - UIS State-Only,$139.66 ,$144.12 ,$148.80 
1/23-12/23,2023,GMC,San Diego,Health Net of California,ACA Optional Expansion - UIS State-Only,$262.54 ,$270.28 ,$278.37 
1/23-12/23,2023,GMC,San Diego,Health Net of California,SPD - UIS State-Only,$866.88 ,$885.82 ,$905.49 
1/23-12/23,2023,GMC,San Diego,Health Net of California,SPD/Full-Dual - UIS State-Only,$293.68 ,$300.12 ,$306.82 
1/23-12/23,2023,GMC,San Diego,Health Net of California,LTC - UIS State-Only,"$10,068.91 ","$10,195.39 ","$10,325.23 "
1/23-12/23,2023,GMC,San Diego,Health Net of California,LTC/Full-Dual - UIS State-Only,"$7,646.77 ","$7,732.07 ","$7,819.38 "
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,Child - SIS,$90.91 ,-,$99.46 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,Adult - SIS,$261.01 ,-,$279.57 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,ACA Optional Expansion - SIS,$314.32 ,-,$335.92 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,SPD - SIS,$932.46 ,-,$988.26 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,SPD/Full-Dual - SIS,$285.32 ,-,$302.06 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,LTC - SIS,"$11,698.83 ",-,"$12,142.95 "
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,LTC/Full-Dual - SIS,"$8,533.57 ",-,"$8,835.41 "
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,Maternity - SIS,"$10,907.31 ",-,"$11,389.25 "
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,Child - UIS Federally Eligible,$30.16 ,-,$33.78 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,Adult - UIS Federally Eligible,$196.55 ,-,$210.31 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,ACA Optional Expansion - UIS Federally Eligible,$168.22 ,-,$179.91 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,SPD - UIS Federally Eligible,$527.84 ,-,$561.45 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,SPD/Full-Dual - UIS Federally Eligible,$69.94 ,-,$75.91 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,LTC - UIS Federally Eligible,$964.23 ,-,"$1,024.00 "
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,LTC/Full-Dual - UIS Federally Eligible,$26.14 ,-,$29.52 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,Maternity - UIS Federally Eligible,"$10,907.31 ",-,"$11,389.25 "
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,Child - UIS State-Only,$51.69 ,-,$56.08 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,Adult - UIS State-Only,$115.51 ,-,$123.79 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,ACA Optional Expansion - UIS State-Only,$133.27 ,-,$142.22 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,SPD - UIS State-Only,$342.58 ,-,$362.94 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,SPD/Full-Dual - UIS State-Only,$215.46 ,-,$226.52 
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,LTC - UIS State-Only,"$9,679.88 ",-,"$10,035.77 "
1/24-12/24,2024,GMC,Sacramento,Molina Healthcare,LTC/Full-Dual - UIS State-Only,"$8,217.27 ",-,"$8,504.98 "
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,Child - SIS,$119.10 ,-,$129.96 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,Adult - SIS,$293.65 ,-,$314.82 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,ACA Optional Expansion - SIS,$339.85 ,-,$363.33 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,SPD - SIS,"$1,158.33 ",-,"$1,225.17 "
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,SPD/Full-Dual - SIS,$388.08 ,-,$409.65 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,LTC - SIS,"$10,719.18 ",-,"$11,141.40 "
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,LTC/Full-Dual - SIS,"$8,393.55 ",-,"$8,697.20 "
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,Maternity - SIS,"$7,954.46 ",-,"$8,305.96 "
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,Child - UIS Federally Eligible,$38.78 ,-,$42.88 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,Adult - UIS Federally Eligible,$169.94 ,-,$181.98 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,ACA Optional Expansion - UIS Federally Eligible,$181.16 ,-,$193.65 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,SPD - UIS Federally Eligible,$545.29 ,-,$579.91 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,SPD/Full-Dual - UIS Federally Eligible,$92.98 ,-,$100.01 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,LTC - UIS Federally Eligible,"$1,088.22 ",-,"$1,156.00 "
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,LTC/Full-Dual - UIS Federally Eligible,$242.74 ,-,$257.31 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,Maternity - UIS Federally Eligible,"$7,954.46 ",-,"$8,305.96 "
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,Child - UIS State-Only,$76.60 ,-,$83.22 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,Adult - UIS State-Only,$157.24 ,-,$168.58 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,ACA Optional Expansion - UIS State-Only,$222.88 ,-,$237.01 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,SPD - UIS State-Only,$662.04 ,-,$698.92 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,SPD/Full-Dual - UIS State-Only,$321.43 ,-,$337.31 
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,LTC - UIS State-Only,"$9,819.00 ",-,"$10,171.54 "
1/24-12/24,2024,GMC,San Diego,Molina Healthcare,LTC/Full-Dual - UIS State-Only,"$9,152.02 ",-,"$9,470.19 "
1/24-12/24,2024,GMC,Sacramento,Health Net of California,Child - SIS,$99.52 ,-,$108.80 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,Adult - SIS,$284.37 ,-,$304.60 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,ACA Optional Expansion - SIS,$334.93 ,-,$358.10 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,SPD - SIS,$991.04 ,-,"$1,051.01 "
1/24-12/24,2024,GMC,Sacramento,Health Net of California,SPD/Full-Dual - SIS,$254.59 ,-,$270.23 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,LTC - SIS,"$11,698.83 ",-,"$12,142.95 "
1/24-12/24,2024,GMC,Sacramento,Health Net of California,LTC/Full-Dual - SIS,"$9,005.62 ",-,"$9,323.57 "
1/24-12/24,2024,GMC,Sacramento,Health Net of California,Maternity - SIS,"$10,907.31 ",-,"$11,389.25 "
1/24-12/24,2024,GMC,Sacramento,Health Net of California,Child - UIS Federally Eligible,$33.37 ,-,$37.37 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,Adult - UIS Federally Eligible,$199.56 ,-,$213.53 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,ACA Optional Expansion - UIS Federally Eligible,$242.84 ,-,$259.71 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,SPD - UIS Federally Eligible,$527.84 ,-,$561.45 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,SPD/Full-Dual - UIS Federally Eligible,$69.94 ,-,$75.91 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,LTC - UIS Federally Eligible,$964.23 ,-,"$1,024.00 "
1/24-12/24,2024,GMC,Sacramento,Health Net of California,LTC/Full-Dual - UIS Federally Eligible,$26.14 ,-,$29.52 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,Maternity - UIS Federally Eligible,"$10,907.31 ",-,"$11,389.25 "
1/24-12/24,2024,GMC,Sacramento,Health Net of California,Child - UIS State-Only,$56.72 ,-,$61.54 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,Adult - UIS State-Only,$117.27 ,-,$125.68 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,ACA Optional Expansion - UIS State-Only,$191.21 ,-,$204.08 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,SPD - UIS State-Only,$342.58 ,-,$362.94 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,SPD/Full-Dual - UIS State-Only,$215.46 ,-,$226.52 
1/24-12/24,2024,GMC,Sacramento,Health Net of California,LTC - UIS State-Only,"$9,679.88 ",-,"$10,035.77 "
1/24-12/24,2024,GMC,Sacramento,Health Net of California,LTC/Full-Dual - UIS State-Only,"$8,217.27 ",-,"$8,504.98 "
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,Child - SIS,$115.58 ,-,$126.32 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,Adult - SIS,$311.54 ,-,$333.73 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,ACA Optional Expansion - SIS,$372.38 ,-,$398.23 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,SPD - SIS,"$1,458.84 ",-,"$1,540.55 "
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,SPD/Full-Dual - SIS,$381.21 ,-,$402.43 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,LTC - SIS,"$10,719.18 ",-,"$11,141.40 "
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,LTC/Full-Dual - SIS,"$8,323.10 ",-,"$8,624.35 "
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,Maternity - SIS,"$7,954.46 ",-,"$8,305.96 "
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,Child - UIS Federally Eligible,$36.77 ,-,$40.66 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,Adult - UIS Federally Eligible,$178.45 ,-,$191.08 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,ACA Optional Expansion - UIS Federally Eligible,$225.20 ,-,$240.73 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,SPD - UIS Federally Eligible,$617.78 ,-,$657.00 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,SPD/Full-Dual - UIS Federally Eligible,$92.98 ,-,$100.01 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,LTC - UIS Federally Eligible,"$1,088.22 ",-,"$1,156.00 "
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,LTC/Full-Dual - UIS Federally Eligible,$242.74 ,-,$257.31 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,Maternity - UIS Federally Eligible,"$7,954.46 ",-,"$8,305.96 "
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,Child - UIS State-Only,$72.93 ,-,$79.22 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,Adult - UIS State-Only,$164.85 ,-,$176.74 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,ACA Optional Expansion - UIS State-Only,$267.92 ,-,$285.17 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,SPD - UIS State-Only,$727.81 ,-,$768.79 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,SPD/Full-Dual - UIS State-Only,$321.43 ,-,$337.31 
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,LTC - UIS State-Only,"$9,819.00 ",-,"$10,171.54 "
1/24-12/24,2024,GMC,San Diego,Blue Shield of California,LTC/Full-Dual - UIS State-Only,"$9,152.02 ",-,"$9,470.19 "
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,Child - SIS,$129.14 ,-,$140.40 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,Adult - SIS,$336.41 ,-,$360.36 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,ACA Optional Expansion - SIS,$358.83 ,-,$383.80 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,SPD - SIS,$801.02 ,-,$850.39 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,SPD/Full-Dual - SIS,$220.75 ,-,$235.18 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,LTC - SIS,"$11,698.83 ",-,"$12,142.95 "
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,LTC/Full-Dual - SIS,"$8,653.31 ",-,"$8,959.24 "
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,Maternity - SIS,"$10,907.31 ",-,"$11,389.25 "
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,Child - UIS Federally Eligible,$32.80 ,-,$36.73 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,Adult - UIS Federally Eligible,$217.78 ,-,$233.03 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,ACA Optional Expansion - UIS Federally Eligible,$157.09 ,-,$168.00 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,SPD - UIS Federally Eligible,$527.84 ,-,$561.45 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,SPD/Full-Dual - UIS Federally Eligible,$69.94 ,-,$75.91 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,LTC - UIS Federally Eligible,$964.23 ,-,"$1,024.00 "
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,LTC/Full-Dual - UIS Federally Eligible,$26.14 ,-,$29.52 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,Maternity - UIS Federally Eligible,"$10,907.31 ",-,"$11,389.25 "
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,Child - UIS State-Only,$55.82 ,-,$60.57 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,Adult - UIS State-Only,$127.92 ,-,$137.09 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,ACA Optional Expansion - UIS State-Only,$124.63 ,-,$132.99 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,SPD - UIS State-Only,$342.58 ,-,$362.94 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,SPD/Full-Dual - UIS State-Only,$215.46 ,-,$226.52 
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,LTC - UIS State-Only,"$9,679.88 ",-,"$10,035.77 "
1/24-12/24,2024,GMC,Sacramento,Kaiser Permanente,LTC/Full-Dual - UIS State-Only,"$8,217.27 ",-,"$8,504.98 "
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,Child - SIS,$102.53 ,-,$112.03 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,Adult - SIS,$285.03 ,-,$305.31 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,ACA Optional Expansion - SIS,$341.61 ,-,$365.28 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,SPD - SIS,$934.52 ,-,$991.37 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,SPD/Full-Dual - SIS,$231.70 ,-,$246.47 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,LTC - SIS,"$11,698.83 ",-,"$12,142.95 "
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,LTC/Full-Dual - SIS,"$8,046.62 ",-,"$8,331.84 "
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,Maternity - SIS,"$10,907.31 ",-,"$11,389.25 "
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,Child - UIS Federally Eligible,$33.67 ,-,$37.71 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,Adult - UIS Federally Eligible,$191.55 ,-,$204.96 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,ACA Optional Expansion - UIS Federally Eligible,$223.86 ,-,$239.40 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,SPD - UIS Federally Eligible,$527.84 ,-,$561.45 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,SPD/Full-Dual - UIS Federally Eligible,$69.94 ,-,$75.91 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,LTC - UIS Federally Eligible,$964.23 ,-,"$1,024.00 "
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,LTC/Full-Dual - UIS Federally Eligible,$26.14 ,-,$29.52 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,Maternity - UIS Federally Eligible,"$10,907.31 ",-,"$11,389.25 "
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,Child - UIS State-Only,$57.18 ,-,$62.05 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,Adult - UIS State-Only,$112.59 ,-,$120.66 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,ACA Optional Expansion - UIS State-Only,$176.47 ,-,$188.34 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,SPD - UIS State-Only,$342.58 ,-,$362.94 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,SPD/Full-Dual - UIS State-Only,$215.46 ,-,$226.52 
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,LTC - UIS State-Only,"$9,679.88 ",-,"$10,035.77 "
1/24-12/24,2024,GMC,Sacramento,Anthem Blue Cross,LTC/Full-Dual - UIS State-Only,"$8,217.27 ",-,"$8,504.98 "
1/24-12/24,2024,GMC,San Diego,Community Health Group,Child - SIS,$119.77 ,-,$130.84 
1/24-12/24,2024,GMC,San Diego,Community Health Group,Adult - SIS,$334.14 ,-,$358.24 
1/24-12/24,2024,GMC,San Diego,Community Health Group,ACA Optional Expansion - SIS,$376.00 ,-,$402.21 
1/24-12/24,2024,GMC,San Diego,Community Health Group,SPD - SIS,"$1,120.70 ",-,"$1,186.83 "
1/24-12/24,2024,GMC,San Diego,Community Health Group,SPD/Full-Dual - SIS,$345.85 ,-,$365.70 
1/24-12/24,2024,GMC,San Diego,Community Health Group,LTC - SIS,"$10,719.18 ",-,"$11,141.40 "
1/24-12/24,2024,GMC,San Diego,Community Health Group,LTC/Full-Dual - SIS,"$8,460.34 ",-,"$8,766.27 "
1/24-12/24,2024,GMC,San Diego,Community Health Group,Maternity - SIS,"$7,954.46 ",-,"$8,305.96 "
1/24-12/24,2024,GMC,San Diego,Community Health Group,Child - UIS Federally Eligible,$40.01 ,-,$44.25 
1/24-12/24,2024,GMC,San Diego,Community Health Group,Adult - UIS Federally Eligible,$176.58 ,-,$189.09 
1/24-12/24,2024,GMC,San Diego,Community Health Group,ACA Optional Expansion - UIS Federally Eligible,$231.12 ,-,$247.06 
1/24-12/24,2024,GMC,San Diego,Community Health Group,SPD - UIS Federally Eligible,$657.67 ,-,$699.43 
1/24-12/24,2024,GMC,San Diego,Community Health Group,SPD/Full-Dual - UIS Federally Eligible,$92.98 ,-,$100.01 
1/24-12/24,2024,GMC,San Diego,Community Health Group,LTC - UIS Federally Eligible,"$1,088.22 ",-,"$1,156.00 "
1/24-12/24,2024,GMC,San Diego,Community Health Group,LTC/Full-Dual - UIS Federally Eligible,$242.74 ,-,$257.31 
1/24-12/24,2024,GMC,San Diego,Community Health Group,Maternity - UIS Federally Eligible,"$7,954.46 ",-,"$8,305.96 "
1/24-12/24,2024,GMC,San Diego,Community Health Group,Child - UIS State-Only,$78.85 ,-,$85.66 
1/24-12/24,2024,GMC,San Diego,Community Health Group,Adult - UIS State-Only,$163.18 ,-,$174.95 
1/24-12/24,2024,GMC,San Diego,Community Health Group,ACA Optional Expansion - UIS State-Only,$273.98 ,-,$291.64 
1/24-12/24,2024,GMC,San Diego,Community Health Group,SPD - UIS State-Only,$764.01 ,-,$807.25 
1/24-12/24,2024,GMC,San Diego,Community Health Group,SPD/Full-Dual - UIS State-Only,$321.43 ,-,$337.31 
