Rate Period,Calendar,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Maternity,"$8,990.40 ","$9,265.88 ","$9,551.78 "
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Adult Expansion,$356.10 ,$366.71 ,$377.82 
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,SPD,$744.23 ,$763.87 ,$784.37 
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,SPD Dual,$126.20 ,$130.94 ,$135.94 
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Health Homes Non-Dual,$332.14 ,$336.87 ,$352.93 
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Health Homes Dual,$81.47 ,$84.68 ,$88.20 
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Adult,$294.97 ,$303.78 ,$313.03 
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Behavioral Health Treatment 0-6,"$2,996.98 ","$3,081.25 ","$3,168.56 "
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Behavioral Health Treatment 7-20,"$2,079.82 ","$2,138.30 ","$2,198.89 "
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Child,$89.96 ,$93.75 ,$97.76 
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Maternity,"$7,512.15 ","$7,742.39 ","$7,981.33 "
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Adult Expansion,$364.75 ,$375.02 ,$385.77 
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,SPD,$775.51 ,$794.61 ,$814.54 
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,SPD Dual,$121.49 ,$126.03 ,$130.82 
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Health Homes Non-Dual,$435.56 ,$441.22 ,$463.58 
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Health Homes Dual,$120.71 ,$125.65 ,$131.07 
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,Sacramento,Kaiser Foundation Health Plan,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,San Diego,Kaiser Foundation Health Plan,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Adult,$253.47 ,$261.61 ,$270.16 
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Behavioral Health Treatment 0-6,"$3,272.86 ","$3,364.89 ","$3,460.23 "
01/21-12/21,2021,GMC,Sacramento,Molina Healthcare,Behavioral Health Treatment 7-20,"$2,302.20 ","$2,366.93 ","$2,434.00 "
