Rating Period,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Adult,281.84,290.25,299.07
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Adult Expansion,342.31,351.99,362.13
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Behavioral Health Treatment 0-6,"4,316.67","4,438.05","4,563.80"
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Behavioral Health Treatment 7-20,"3,098.25","3,185.36","3,275.62"
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Child,75.47,78.69,82.11
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Health Homes Non-Dual,312.68,317.06,332.88
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Health Homes Dual,69.01,71.55,74.32
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,Maternity,"6,837.85","7,047.39","7,264.85"
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,SPD,927.2,950.84,975.51
1/21-12/21,2021,Two-Plan,Kern,Kern Health Systems,SPD Dual,184.49,190.91,197.66
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Adult,218,224.51,231.33
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Adult Expansion,283.36,291.55,300.14
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Behavioral Health Treatment 0-6,"3,424.21","3,520.49","3,620.24"
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Behavioral Health Treatment 7-20,"2,571.64","2,643.95","2,718.86"
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Child,65.56,68.33,71.26
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,Maternity,"8,025.62","8,271.54","8,526.76"
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,SPD,675.04,691.27,708.21
1/21-12/21,2021,Two-Plan,Kings,Anthem Blue Cross,SPD Dual,134.13,138.94,144
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,Adult,259.96,267.56,275.53
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,Adult Expansion,346.55,356.46,366.82
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,Behavioral Health Treatment 0-6,"3,369.92","3,464.67","3,562.84"
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,Behavioral Health Treatment 7-20,"2,518.18","2,588.99","2,662.35"
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,Child,69.76,72.71,75.83
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,Maternity,"8,025.62","8,271.54","8,526.76"
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,SPD,765.61,783.65,802.47
1/21-12/21,2021,Two-Plan,Kings,CalViva Health,SPD Dual,142.41,147.52,152.9
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Homes Non-Dual,382.76,387.99,407.1
1/21-12/21,2021,Two-Plan,Los Angeles,Health Net of California,Health Homes Dual,92.85,96.15,99.77
