Rating Period,Calendar Year,Model,County,PACE Organization,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
01/2023-12/2023,2023,PACE,Tulare,Bakersfield,Full-Dual - UIS State-Only,"$5,256.10 ","$5,507.21 ","$5,780.04 ","$6,088.95 "
01/2023-12/2023,2023,PACE,Tulare,Bakersfield,Non-Dual - UIS State-Only,"$6,329.46 ","$6,640.84 ","$6,979.21 ","$10,133.48 "
01/2023-12/2023,2023,PACE,Tulare,Bakersfield,Full-Dual - SIS,"$4,504.02 ","$4,719.20 ","$4,952.99 ","$5,228.51 "
01/2023-12/2023,2023,PACE,Tulare,Bakersfield,Non-Dual - SIS,"$6,454.03 ","$6,771.55 ","$7,116.58 ","$10,282.33 "
01/2023-12/2023,2023,PACE,Los Angeles,LA Coast,Full-Dual - UIS Federally Eligible,$189.46 ,$198.53 ,$208.40 ,$227.95 
01/2023-12/2023,2023,PACE,Los Angeles,LA Coast,Non-Dual - UIS Federally Eligible,"$1,345.93 ","$1,412.60 ","$1,485.05 ","$1,652.34 "
01/2023-12/2023,2023,PACE,Los Angeles,LA Coast,Full-Dual - UIS State-Only,"$6,125.76 ","$6,419.29 ","$6,738.20 ","$7,365.24 "
01/2023-12/2023,2023,PACE,Los Angeles,LA Coast,Non-Dual - UIS State-Only,"$7,626.93 ","$8,004.74 ","$8,415.31 ","$9,245.23 "
01/2023-12/2023,2023,PACE,Los Angeles,LA Coast,Full-Dual - SIS,"$5,252.64 ","$5,504.32 ","$5,777.78 ","$6,329.53 "
01/2023-12/2023,2023,PACE,Los Angeles,LA Coast,Non-Dual - SIS,"$7,660.56 ","$8,040.04 ","$8,452.42 ","$9,373.82 "
01/2023-12/2023,2023,PACE,San Joaquin,Central Valley,Full-Dual - UIS Federally Eligible,$192.03 ,$201.24 ,$211.26 ,$206.34 
01/2023-12/2023,2023,PACE,San Joaquin,Central Valley,Non-Dual - UIS Federally Eligible,"$1,333.49 ","$1,399.37 ","$1,470.95 ","$1,749.91 "
01/2023-12/2023,2023,PACE,San Joaquin,Central Valley,Full-Dual - UIS State-Only,"$6,208.85 ","$6,506.92 ","$6,830.77 ","$6,673.28 "
01/2023-12/2023,2023,PACE,San Joaquin,Central Valley,Non-Dual - UIS State-Only,"$7,556.46 ","$7,929.75 ","$8,335.39 ","$9,832.84 "
01/2023-12/2023,2023,PACE,San Joaquin,Central Valley,Full-Dual - SIS,"$5,311.76 ","$5,566.76 ","$5,843.81 ","$5,729.44 "
01/2023-12/2023,2023,PACE,San Joaquin,Central Valley,Non-Dual - SIS,"$7,213.56 ","$7,569.91 ","$7,957.15 ","$9,992.77 "
01/2023-12/2023,2023,PACE,Stanislaus,Central Valley,Full-Dual - UIS Federally Eligible,$192.03 ,$201.24 ,$211.26 ,$206.34 
01/2023-12/2023,2023,PACE,Stanislaus,Central Valley,Non-Dual - UIS Federally Eligible,"$1,333.49 ","$1,399.37 ","$1,470.95 ","$1,749.91 "
01/2023-12/2023,2023,PACE,Stanislaus,Central Valley,Full-Dual - UIS State-Only,"$6,208.85 ","$6,506.92 ","$6,830.77 ","$6,673.28 "
01/2023-12/2023,2023,PACE,Stanislaus,Central Valley,Non-Dual - UIS State-Only,"$7,556.46 ","$7,929.75 ","$8,335.39 ","$9,832.84 "
01/2023-12/2023,2023,PACE,Stanislaus,Central Valley,Full-Dual - SIS,"$5,311.76 ","$5,566.76 ","$5,843.81 ","$5,729.44 "
01/2023-12/2023,2023,PACE,Stanislaus,Central Valley,Non-Dual - SIS,"$7,213.56 ","$7,569.91 ","$7,957.15 ","$9,992.77 "
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,Full-Dual - UIS Federally Eligible,$183.51 ,$192.40 ,$202.06 ,$216.06 
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,Non-Dual - UIS Federally Eligible,"$1,356.13 ","$1,423.52 ","$1,496.77 ","$1,643.55 "
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,Full-Dual - UIS State-Only,"$5,933.54 ","$6,220.91 ","$6,533.14 ","$6,981.37 "
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,Non-Dual - UIS State-Only,"$7,684.71 ","$8,066.63 ","$8,481.68 ","$9,153.50 "
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,Full-Dual - SIS,"$5,097.54 ","$5,344.42 ","$5,612.67 ","$6,004.63 "
01/2023-12/2023,2023,PACE,Sacramento,InnovAge,Non-Dual - SIS,"$7,848.99 ","$8,239.07 ","$8,662.99 ","$9,434.07 "
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Full-Dual - UIS Federally Eligible,$165.42 ,$173.36 ,$181.99 ,$191.89 
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Non-Dual - UIS Federally Eligible,"$1,169.83 ","$1,227.97 ","$1,291.15 ","$1,582.74 "
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Full-Dual - UIS State-Only,"$5,348.51 ","$5,605.26 ","$5,884.23 ","$6,207.61 "
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Non-Dual - UIS State-Only,"$6,629.02 ","$6,958.48 ","$7,316.52 ","$8,872.41 "
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Full-Dual - SIS,"$4,580.48 ","$4,800.37 ","$5,039.27 ","$5,332.02 "
01/2023-12/2023,2023,PACE,Fresno,Sequoia,Non-Dual - SIS,"$6,780.19 ","$7,117.16 ","$7,483.36 ","$8,985.69 "
01/2023-12/2023,2023,PACE,Kings,Sequoia,Full-Dual - UIS Federally Eligible,$165.42 ,$173.36 ,$181.99 ,$191.89 
01/2023-12/2023,2023,PACE,Kings,Sequoia,Non-Dual - UIS Federally Eligible,"$1,169.83 ","$1,227.97 ","$1,291.15 ","$1,582.74 "
01/2023-12/2023,2023,PACE,Kings,Sequoia,Full-Dual - UIS State-Only,"$5,348.51 ","$5,605.26 ","$5,884.23 ","$6,207.61 "
01/2023-12/2023,2023,PACE,Kings,Sequoia,Non-Dual - UIS State-Only,"$6,629.02 ","$6,958.48 ","$7,316.52 ","$8,872.41 "
01/2023-12/2023,2023,PACE,Kings,Sequoia,Full-Dual - SIS,"$4,580.48 ","$4,800.37 ","$5,039.27 ","$5,332.02 "
01/2023-12/2023,2023,PACE,Kings,Sequoia,Non-Dual - SIS,"$6,780.19 ","$7,117.16 ","$7,483.36 ","$8,985.69 "
01/2023-12/2023,2023,PACE,Madera,Sequoia,Full-Dual - UIS Federally Eligible,$165.42 ,$173.36 ,$181.99 ,$191.89 
01/2023-12/2023,2023,PACE,Madera,Sequoia,Non-Dual - UIS Federally Eligible,"$1,169.83 ","$1,227.97 ","$1,291.15 ","$1,582.74 "
01/2023-12/2023,2023,PACE,Madera,Sequoia,Full-Dual - UIS State-Only,"$5,348.51 ","$5,605.26 ","$5,884.23 ","$6,207.61 "
01/2023-12/2023,2023,PACE,Madera,Sequoia,Non-Dual - UIS State-Only,"$6,629.02 ","$6,958.48 ","$7,316.52 ","$8,872.41 "
01/2023-12/2023,2023,PACE,Madera,Sequoia,Full-Dual - SIS,"$4,580.48 ","$4,800.37 ","$5,039.27 ","$5,332.02 "
01/2023-12/2023,2023,PACE,Madera,Sequoia,Non-Dual - SIS,"$6,780.19 ","$7,117.16 ","$7,483.36 ","$8,985.69 "
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Full-Dual - UIS Federally Eligible,$165.42 ,$173.36 ,$181.99 ,$191.89 
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Non-Dual - UIS Federally Eligible,"$1,169.83 ","$1,227.97 ","$1,291.15 ","$1,582.74 "
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Full-Dual - UIS State-Only,"$5,348.51 ","$5,605.26 ","$5,884.23 ","$6,207.61 "
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Non-Dual - UIS State-Only,"$6,629.02 ","$6,958.48 ","$7,316.52 ","$8,872.41 "
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Full-Dual - SIS,"$4,580.48 ","$4,800.37 ","$5,039.27 ","$5,332.02 "
01/2023-12/2023,2023,PACE,Tulare,Sequoia,Non-Dual - SIS,"$6,780.19 ","$7,117.16 ","$7,483.36 ","$8,985.69 "
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,Full-Dual - UIS Federally Eligible,$298.94 ,$312.94 ,$328.15 ,$310.59 
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,Non-Dual - UIS Federally Eligible,"$1,585.50 ","$1,663.46 ","$1,748.17 ","$2,287.82 "
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,Full-Dual - UIS State-Only,"$9,665.86 ","$10,118.49 ","$10,610.20 ","$10,034.55 "
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,Non-Dual - UIS State-Only,"$8,984.53 ","$9,426.29 ","$9,906.32 ","$12,419.82 "
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,Full-Dual - SIS,"$8,304.01 ","$8,692.86 ","$9,115.29 ","$8,622.89 "
01/2023-12/2023,2023,PACE,San Francisco,North East Medical Services,Non-Dual - SIS,"$8,953.63 ","$9,393.86 ","$9,872.25 ","$13,106.31 "
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,Full-Dual - UIS Federally Eligible,$145.76 ,$152.77 ,$160.40 ,$223.12 
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,Non-Dual - UIS Federally Eligible,"$1,194.42 ","$1,253.74 ","$1,318.20 ","$1,796.36 "
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,Full-Dual - UIS State-Only,"$4,712.86 ","$4,939.69 ","$5,186.15 ","$7,207.44 "
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,Non-Dual - UIS State-Only,"$6,768.40 ","$7,104.54 ","$7,469.83 ","$10,064.63 "
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,Full-Dual - SIS,"$4,046.47 ","$4,241.23 ","$4,452.84 ","$6,195.46 "
01/2023-12/2023,2023,PACE,Orange,AltaMed Senior Care,Non-Dual - SIS,"$6,658.62 ","$6,989.31 ","$7,348.67 ","$10,203.75 "
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Full-Dual - UIS Federally Eligible,$142.32 ,$149.34 ,$156.95 ,$192.00 
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Non-Dual - UIS Federally Eligible,"$1,246.77 ","$1,309.31 ","$1,377.28 ","$1,731.96 "
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Full-Dual - UIS State-Only,"$4,601.83 ","$4,828.51 ","$5,074.83 ","$6,208.73 "
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Non-Dual - UIS State-Only,"$7,065.05 ","$7,419.43 ","$7,804.57 ","$9,708.95 "
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Full-Dual - SIS,"$3,953.46 ","$4,148.21 ","$4,359.82 ","$5,331.72 "
01/2023-12/2023,2023,PACE,San Bernardino,Neighborhood Healthcare,Non-Dual - SIS,"$7,227.67 ","$7,590.21 ","$7,984.21 ","$9,837.06 "
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Full-Dual - UIS Federally Eligible,$142.32 ,$149.34 ,$156.95 ,$192.00 
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Non-Dual - UIS Federally Eligible,"$1,246.77 ","$1,309.31 ","$1,377.28 ","$1,731.96 "
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Full-Dual - UIS State-Only,"$4,601.83 ","$4,828.51 ","$5,074.83 ","$6,208.73 "
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Non-Dual - UIS State-Only,"$7,065.05 ","$7,419.43 ","$7,804.57 ","$9,708.95 "
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Full-Dual - SIS,"$3,953.46 ","$4,148.21 ","$4,359.82 ","$5,331.72 "
01/2023-12/2023,2023,PACE,Riverside,Neighborhood Healthcare,Non-Dual - SIS,"$7,227.67 ","$7,590.21 ","$7,984.21 ","$9,837.06 "
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Full-Dual - UIS Federally Eligible,$150.81 ,$158.10 ,$166.01 ,$223.12 
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Non-Dual - UIS Federally Eligible,"$1,311.83 ","$1,377.39 ","$1,448.64 ","$1,796.36 "
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Full-Dual - UIS State-Only,"$4,876.14 ","$5,111.75 ","$5,367.74 ","$7,207.44 "
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Non-Dual - UIS State-Only,"$7,433.69 ","$7,805.20 ","$8,208.93 ","$10,064.63 "
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Full-Dual - SIS,"$4,189.13 ","$4,391.53 ","$4,611.46 ","$6,195.46 "
01/2023-12/2023,2023,PACE,Orange,Innovative Integrated Health,Non-Dual - SIS,"$7,604.80 ","$7,984.85 ","$8,397.89 ","$10,203.75 "
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,Full-Dual - UIS Federally Eligible,$193.72 ,$203.00 ,$213.09 ,$227.95 
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,Non-Dual - UIS Federally Eligible,"$1,376.21 ","$1,444.38 ","$1,518.47 ","$1,652.34 "
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,Full-Dual - UIS State-Only,"$6,263.59 ","$6,563.72 ","$6,889.81 ","$7,365.24 "
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,Non-Dual - UIS State-Only,"$7,798.53 ","$8,184.85 ","$8,604.65 ","$9,245.23 "
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,Full-Dual - SIS,"$5,381.09 ","$5,638.94 ","$5,919.08 ","$6,329.53 "
01/2023-12/2023,2023,PACE,Los Angeles,ConcertoHealth PACE,Non-Dual - SIS,"$7,978.04 ","$8,373.24 ","$8,802.71 ","$9,373.82 "
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Full-Dual - UIS Federally Eligible,$180.99 ,$189.79 ,$199.35 ,$242.68 
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Non-Dual - UIS Federally Eligible,"$1,321.21 ","$1,387.00 ","$1,458.49 ","$2,023.20 "
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Full-Dual - UIS State-Only,"$5,852.00 ","$6,136.51 ","$6,445.66 ","$7,844.85 "
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Non-Dual - UIS State-Only,"$7,486.87 ","$7,859.67 ","$8,264.80 ","$11,347.31 "
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Full-Dual - SIS,"$5,027.49 ","$5,271.92 ","$5,537.51 ","$6,738.24 "
01/2023-12/2023,2023,PACE,Napa,Providence PACE,Non-Dual - SIS,"$7,659.21 ","$8,040.58 ","$8,455.04 ","$11,491.20 "
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Full-Dual - UIS Federally Eligible,$180.99 ,$189.79 ,$199.35 ,$242.68 
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Non-Dual - UIS Federally Eligible,"$1,321.21 ","$1,387.00 ","$1,458.49 ","$2,023.20 "
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Full-Dual - UIS State-Only,"$5,852.00 ","$6,136.51 ","$6,445.66 ","$7,844.85 "
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Non-Dual - UIS State-Only,"$7,486.87 ","$7,859.67 ","$8,264.80 ","$11,347.31 "
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Full-Dual - SIS,"$5,027.49 ","$5,271.92 ","$5,537.51 ","$6,738.24 "
01/2023-12/2023,2023,PACE,Solano,Providence PACE,Non-Dual - SIS,"$7,659.21 ","$8,040.58 ","$8,455.04 ","$11,491.20 "
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Full-Dual - UIS Federally Eligible,$180.99 ,$189.79 ,$199.35 ,$242.68 
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Non-Dual - UIS Federally Eligible,"$1,321.21 ","$1,387.00 ","$1,458.49 ","$2,023.20 "
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Full-Dual - UIS State-Only,"$5,852.00 ","$6,136.51 ","$6,445.66 ","$7,844.85 "
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Non-Dual - UIS State-Only,"$7,486.87 ","$7,859.67 ","$8,264.80 ","$11,347.31 "
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Full-Dual - SIS,"$5,027.49 ","$5,271.92 ","$5,537.51 ","$6,738.24 "
01/2023-12/2023,2023,PACE,Sonoma,Providence PACE,Non-Dual - SIS,"$7,659.21 ","$8,040.58 ","$8,455.04 ","$11,491.20 "
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,Full-Dual - UIS Federally Eligible,$202.06 ,$212.08 ,$222.97 ,$242.68 
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,Non-Dual - UIS Federally Eligible,"$1,476.52 ","$1,551.70 ","$1,633.43 ","$2,023.20 "
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,Full-Dual - UIS State-Only,"$6,533.19 ","$6,857.25 ","$7,209.48 ","$7,844.85 "
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,Non-Dual - UIS State-Only,"$8,366.94 ","$8,792.96 ","$9,256.11 ","$11,347.31 "
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,Full-Dual - SIS,"$5,612.71 ","$5,891.11 ","$6,193.71 ","$6,738.24 "
01/2023-12/2023,2023,PACE,Sonoma,AgeWell PACE,Non-Dual - SIS,"$8,559.53 ","$8,995.36 ","$9,469.17 ","$11,491.20 "
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,Full-Dual - UIS Federally Eligible,$202.06 ,$212.08 ,$222.97 ,$242.68 
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,Non-Dual - UIS Federally Eligible,"$1,476.52 ","$1,551.70 ","$1,633.43 ","$2,023.20 "
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,Full-Dual - UIS State-Only,"$6,533.19 ","$6,857.25 ","$7,209.48 ","$7,844.85 "
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,Non-Dual - UIS State-Only,"$8,366.94 ","$8,792.96 ","$9,256.11 ","$11,347.31 "
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,Full-Dual - SIS,"$5,612.71 ","$5,891.11 ","$6,193.71 ","$6,738.24 "
01/2023-12/2023,2023,PACE,Marin,AgeWell PACE,Non-Dual - SIS,"$8,559.53 ","$8,995.36 ","$9,469.17 ","$11,491.20 "
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,Full-Dual - UIS Federally Eligible,$186.65 ,$195.96 ,$206.07 ,$278.23 
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,Non-Dual - UIS Federally Eligible,"$1,352.41 ","$1,421.75 ","$1,497.14 ","$2,115.58 "
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,Full-Dual - UIS State-Only,"$4,479.69 ","$4,703.01 ","$4,945.79 ","$6,628.98 "
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,Non-Dual - UIS State-Only,"$5,087.64 ","$5,348.47 ","$5,632.09 ","$7,908.61 "
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,Full-Dual - SIS,"$4,057.69 ","$4,259.98 ","$4,479.88 ","$6,013.77 "
01/2024-12/2024,2024,PACE,Los Angeles,AltaMed Health Services Corporation,Non-Dual - SIS,"$5,854.60 ","$6,154.74 ","$6,481.12 ","$9,130.24 "
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,Full-Dual - UIS Federally Eligible,$180.43 ,$189.43 ,$199.21 ,$265.42 
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,Non-Dual - UIS Federally Eligible,"$1,489.47 ","$1,565.68 ","$1,648.55 ","$2,436.64 "
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,Full-Dual - UIS State-Only,"$4,330.40 ","$4,546.33 ","$4,781.07 ","$6,318.93 "
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,Non-Dual - UIS State-Only,"$5,603.25 ","$5,889.95 ","$6,201.71 ","$9,121.96 "
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,Full-Dual - SIS,"$3,922.47 ","$4,118.05 ","$4,330.68 ","$5,733.86 "
01/2024-12/2024,2024,PACE,Orange,AltaMed Health Services Corporation,Non-Dual - SIS,"$6,447.93 ","$6,777.85 ","$7,136.60 ","$10,522.89 "
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.",Full-Dual - UIS Federally Eligible,$197.83 ,$207.85 ,$218.75 ,$278.23 
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.",Non-Dual - UIS Federally Eligible,"$1,547.68 ","$1,628.46 ","$1,716.32 ","$2,115.58 "
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.",Full-Dual - UIS State-Only,"$4,747.82 ","$4,988.40 ","$5,249.96 ","$6,628.98 "
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.",Non-Dual - UIS State-Only,"$5,822.23 ","$6,126.12 ","$6,456.62 ","$7,908.61 "
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.",Full-Dual - SIS,"$4,300.57 ","$4,518.48 ","$4,755.40 ","$6,013.77 "
01/2024-12/2024,2024,PACE,Los Angeles,"Brandman Centers for Senior Care, Inc.",Non-Dual - SIS,"$6,699.92 ","$7,049.62 ","$7,429.95 ","$9,130.24 "
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Full-Dual - UIS Federally Eligible,$168.38 ,$176.78 ,$185.91 ,$265.42 
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Non-Dual - UIS Federally Eligible,"$1,584.27 ","$1,665.19 ","$1,753.19 ","$2,436.64 "
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Full-Dual - UIS State-Only,"$4,041.13 ","$4,242.68 ","$4,461.80 ","$6,318.93 "
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Non-Dual - UIS State-Only,"$5,959.87 ","$6,264.29 ","$6,595.32 ","$9,121.96 "
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Full-Dual - SIS,"$3,660.44 ","$3,843.01 ","$4,041.49 ","$5,733.86 "
01/2024-12/2024,2024,PACE,Orange,Orange County Health Authority,Non-Dual - SIS,"$6,858.31 ","$7,208.62 ","$7,589.55 ","$10,522.89 "
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Full-Dual - UIS Federally Eligible,$262.54 ,$276.30 ,$291.27 ,$319.18 
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Non-Dual - UIS Federally Eligible,"$1,711.72 ","$1,802.62 ","$1,901.50 ","$2,442.92 "
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Full-Dual - UIS State-Only,"$6,300.90 ","$6,631.22 ","$6,990.45 ","$7,629.09 "
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Non-Dual - UIS State-Only,"$6,439.32 ","$6,781.30 ","$7,153.27 ","$9,144.05 "
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Full-Dual - SIS,"$5,707.34 ","$6,006.54 ","$6,331.93 ","$6,913.14 "
01/2024-12/2024,2024,PACE,Alameda,Coalition Center for Elders Independence,Non-Dual - SIS,"$7,410.03 ","$7,803.57 ","$8,231.61 ","$10,546.89 "
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Full-Dual - UIS Federally Eligible,$265.55 ,$279.46 ,$294.59 ,$288.41 
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Non-Dual - UIS Federally Eligible,"$1,687.70 ","$1,777.44 ","$1,875.05 ","$2,448.98 "
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Full-Dual - UIS State-Only,"$6,373.17 ","$6,707.01 ","$7,070.07 ","$6,856.46 "
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Non-Dual - UIS State-Only,"$6,348.98 ","$6,686.57 ","$7,053.77 ","$9,156.46 "
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Full-Dual - SIS,"$5,772.80 ","$6,075.19 ","$6,404.05 ","$6,225.89 "
01/2024-12/2024,2024,PACE,Contra Costa,Coalition Center for Elders Independence,Non-Dual - SIS,"$7,306.08 ","$7,694.56 ","$8,117.12 ","$10,599.40 "
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Full-Dual - UIS Federally Eligible,$239.45 ,$251.56 ,$264.73 ,$268.71 
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Non-Dual - UIS Federally Eligible,"$1,703.85 ","$1,792.81 ","$1,889.56 ","$2,407.67 "
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Full-Dual - UIS State-Only,"$5,746.81 ","$6,037.50 ","$6,353.56 ","$6,420.13 "
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Non-Dual - UIS State-Only,"$6,409.72 ","$6,744.38 ","$7,108.35 ","$9,020.26 "
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Full-Dual - SIS,"$5,205.45 ","$5,468.75 ","$5,755.04 ","$5,815.88 "
01/2024-12/2024,2024,PACE,San Joaquin,Golden Valley Health Centers,Non-Dual - SIS,"$7,375.97 ","$7,761.08 ","$8,179.91 ","$10,395.56 "
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Full-Dual - UIS Federally Eligible,$239.45 ,$251.56 ,$264.73 ,$268.71 
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Non-Dual - UIS Federally Eligible,"$1,703.85 ","$1,792.81 ","$1,889.56 ","$2,407.67 "
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Full-Dual - UIS State-Only,"$5,746.81 ","$6,037.50 ","$6,353.56 ","$6,420.13 "
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Non-Dual - UIS State-Only,"$6,409.72 ","$6,744.38 ","$7,108.35 ","$9,020.26 "
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Full-Dual - SIS,"$5,205.45 ","$5,468.75 ","$5,755.04 ","$5,815.88 "
01/2024-12/2024,2024,PACE,Stanislaus,Golden Valley Health Centers,Non-Dual - SIS,"$7,375.97 ","$7,761.08 ","$8,179.91 ","$10,395.56 "
01/2024-12/2024,2024,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC",Full-Dual - UIS Federally Eligible,$235.95 ,$247.94 ,$260.99 ,$278.23 
01/2024-12/2024,2024,PACE,Los Angeles,"ConcertoHealth PACE of Los Angeles, LLC",Non-Dual - UIS Federally Eligible,"$1,767.83 ","$1,860.27 ","$1,960.81 ","$2,115.58 "
