Rating Period,Calendar Year,Model,County,PACE Organization,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
01/2021-6/2021,2021,PACE,Alameda,On Lok Lifeways,Non-Dual,"$7,228.82 ","$7,702.70 ","$8,230.82 ","$10,484.38 "
01/2021-6/2021,2021,PACE,San Francisco,On Lok Lifeways,Full-Dual,"$7,450.54 ","$7,912.48 ","$8,427.03 ","$8,390.06 "
01/2021-6/2021,2021,PACE,San Francisco,On Lok Lifeways,Non-Dual,"$9,088.79 ","$9,673.82 ","$10,325.70 ","$12,413.46 "
01/2021-6/2021,2021,PACE,Santa Clara,On Lok Lifeways,Full-Dual,"$5,776.55 ","$6,143.09 ","$6,551.45 ","$6,101.44 "
01/2021-6/2021,2021,PACE,Santa Clara,On Lok Lifeways,Non-Dual,"$7,589.54 ","$8,086.74 ","$8,640.85 ","$9,377.88 "
01/2021-6/2021,2021,PACE,Los Angeles,Pacific PACE,Full-Dual,"$4,489.07 ","$4,774.92 ","$5,093.39 ","$5,661.31 "
01/2021-6/2021,2021,PACE,Los Angeles,Pacific PACE,Non-Dual,"$7,722.24 ","$8,223.69 ","$8,782.50 ","$8,612.26 "
01/2021-6/2021,2021,PACE,Humboldt,Redwood Coast,Full-Dual,"$4,976.43 ","$5,286.24 ","$5,631.36 ","$6,368.48 "
01/2021-6/2021,2021,PACE,Humboldt,Redwood Coast,Non-Dual,"$7,666.41 ","$8,154.82 ","$8,699.00 ","$10,501.71 "
01/2021-6/2021,2021,PACE,San Diego,San Diego PACE,Full-Dual,"$4,341.52 ","$4,616.31 ","$4,922.45 ","$5,409.63 "
01/2021-6/2021,2021,PACE,San Diego,San Diego PACE,Non-Dual,"$6,458.62 ","$6,875.02 ","$7,339.02 ","$8,914.41 "
01/2021-6/2021,2021,PACE,Fresno,Sequoia,Full-Dual,"$4,607.95 ","$4,895.65 ","$5,216.15 ","$5,348.65 "
01/2021-6/2021,2021,PACE,Fresno,Sequoia,Non-Dual,"$6,973.96 ","$7,418.40 ","$7,913.61 ","$8,779.30 "
01/2021-6/2021,2021,PACE,Kings,Sequoia,Full-Dual,"$4,607.95 ","$4,895.65 ","$5,216.15 ","$5,348.65 "
01/2021-6/2021,2021,PACE,Kings,Sequoia,Non-Dual,"$6,973.96 ","$7,418.40 ","$7,913.61 ","$8,779.30 "
01/2021-6/2021,2021,PACE,Madera,Sequoia,Full-Dual,"$4,607.95 ","$4,895.65 ","$5,216.15 ","$5,348.65 "
01/2021-6/2021,2021,PACE,Madera,Sequoia,Non-Dual,"$6,973.96 ","$7,418.40 ","$7,913.61 ","$8,779.30 "
01/2021-6/2021,2021,PACE,Tulare,Sequoia,Full-Dual,"$4,607.95 ","$4,895.65 ","$5,216.15 ","$5,348.65 "
01/2021-6/2021,2021,PACE,Tulare,Sequoia,Non-Dual,"$6,973.96 ","$7,418.40 ","$7,913.61 ","$8,779.30 "
01/2021-6/2021,2021,PACE,San Diego,St. Paul's PACE,Full-Dual,"$3,769.25 ","$4,011.84 ","$4,282.16 ","$5,409.63 "
01/2021-6/2021,2021,PACE,San Diego,St. Paul's PACE,Non-Dual,"$5,544.30 ","$5,907.14 ","$6,311.50 ","$8,914.41 "
01/2021-6/2021,2021,PACE,San Joaquin,Stockton PACE,Full-Dual,"$5,276.14 ","$5,607.37 ","$5,976.38 ","$5,772.77 "
01/2021-6/2021,2021,PACE,San Joaquin,Stockton PACE,Non-Dual,"$8,083.37 ","$8,600.74 ","$9,177.21 ","$9,506.62 "
01/2021-6/2021,2021,PACE,Stanislaus,Stockton PACE,Full-Dual,"$5,276.14 ","$5,607.37 ","$5,976.38 ","$5,772.77 "
01/2021-6/2021,2021,PACE,Stanislaus,Stockton PACE,Non-Dual,"$8,083.37 ","$8,600.74 ","$9,177.21 ","$9,506.62 "
01/2021-6/2021,2021,PACE,Sacramento,Sutter Senior Care,Full-Dual,"$5,199.43 ","$5,526.25 ","$5,890.34 ","$6,143.16 "
01/2021-6/2021,2021,PACE,Sacramento,Sutter Senior Care,Non-Dual,"$7,940.49 ","$8,449.18 ","$9,015.99 ","$9,766.62 "
07/2021-12/2021,2021,PACE,Los Angeles,AltaMed Senior Care,Full-Dual,"$4,024.70 ","$4,276.74 ","$4,557.53 ","$5,642.46 "
07/2021-12/2021,2021,PACE,Los Angeles,AltaMed Senior Care,Non-Dual,"$5,967.92 ","$6,348.96 ","$6,773.52 ","$8,573.35 "
07/2021-12/2021,2021,PACE,Orange,AltaMed Senior Care,Full-Dual,"$4,052.43 ","$4,309.35 ","$4,595.58 ","$5,347.24 "
07/2021-12/2021,2021,PACE,Orange,AltaMed Senior Care,Non-Dual,"$6,760.63 ","$7,197.81 ","$7,684.97 ","$9,373.33 "
07/2021-12/2021,2021,PACE,Kern,Bakersfield,Full-Dual,"$4,649.56 ","$4,940.29 ","$5,264.16 ","$5,237.67 "
07/2021-12/2021,2021,PACE,Kern,Bakersfield,Non-Dual,"$7,050.98 ","$7,500.85 ","$8,002.10 ","$9,696.95 "
07/2021-12/2021,2021,PACE,Tulare,Bakersfield,Full-Dual,"$4,649.56 ","$4,940.29 ","$5,264.16 ","$5,237.67 "
07/2021-12/2021,2021,PACE,Tulare,Bakersfield,Non-Dual,"$7,050.98 ","$7,500.85 ","$8,002.10 ","$9,696.95 "
07/2021-12/2021,2021,PACE,Los Angeles,Brandman Centers For Senior Care,Full-Dual,"$4,154.83 ","$4,419.40 ","$4,714.16 ","$5,642.46 "
07/2021-12/2021,2021,PACE,Los Angeles,Brandman Centers For Senior Care,Non-Dual,"$6,652.72 ","$7,084.69 ","$7,566.06 ","$8,573.35 "
07/2021-12/2021,2021,PACE,Orange,CalOptima,Full-Dual,"$3,749.00 ","$3,989.85 ","$4,258.22 ","$5,347.24 "
07/2021-12/2021,2021,PACE,Orange,CalOptima,Non-Dual,"$7,018.81 ","$7,477.65 ","$7,989.00 ","$9,373.33 "
07/2021-12/2021,2021,PACE,Alameda,Center For Elders Independence (CEI),Full-Dual,"$5,746.96 ","$6,121.52 ","$6,538.90 ","$6,378.61 "
07/2021-12/2021,2021,PACE,Alameda,Center For Elders Independence (CEI),Non-Dual,"$7,959.14 ","$8,481.40 ","$9,063.43 ","$10,461.37 "
