2025 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H4506 ,Wellcare ,"SELECTCARE OF TEXAS, INC. ",Centene Corporation ,22%,20%,10%,8%,15%
H4513 ,Cigna Healthcare ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",The Cigna Group ,27%,29%,13%,Not Available ,15%
H4514 ,UnitedHealthcare ,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4523 ,Aetna Medicare ,AETNA HEALTH INC. (TX) ,CVS Health Corporation ,18%,30%,16%,11%,10%
H4527 ,UnitedHealthcare ,"PHYSICIANS HEALTH CHOICE OF TEXAS, LLC ","UnitedHealth Group, Inc. ",12%,16%,18%,Not Available ,10%
H4537 ,Wellcare ,"WELLCARE HEALTH INSURANCE COMPANY OF OKLAHOMA, INC ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4544 ,Peoples Health ,"PEOPLES HEALTH, INC. ","UnitedHealth Group, Inc. ",16%,36%,11%,4%,11%
H4604 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE ROCKIES, INC. ","UnitedHealth Group, Inc. ",19%,13%,16%,7%,14%
H4605 ,Regence BlueCross BlueShield of Utah ,REGENCE BLUECROSS BLUESHIELD OF UTAH ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4618 ,"Sonder Health Plans, Inc. ","SONDER HEALTH PLANS, INC. ","Avian Health Holdings, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4620 ,Essence Healthcare ,"ESSENCE HEALTHCARE OF OHIO, INC. ",Lumeris Group Holdings Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4623 ,Humana ,"HUMANA REGIONAL HEALTH PLAN, INC. ",Humana Inc. ,5%,12%,6%,4%,6%
H4624 ,Zing Health ,"ZING HEALTH OF MICHIGAN, INC. ","Zing Health Consolidator, Inc ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4647 ,UCLA Health Medicare Advantage Plan ,"NEW CENTURY HEALTH PLAN, INC. ",The Regents of the University of California ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4661 ,Wellcare ,CELTIC INSURANCE COMPANY ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4676 ,Troy Medicare ,"TROY HEALTH, INC. ","Troy Holdings, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4694 ,Anthem HealthKeepers ,"HEALTHKEEPERS, INC. ","Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4704 ,Anthem Blue Cross Life and Health Insurance Compan ,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY ,"Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4711 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF NEBRASKA, INC. ",CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4733 ,Community Health Group ,COMMUNITY HEALTH GROUP ,Community Health Group ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4739 ,First Choice VIP Care (HMO-D-SNP) ,"SELECT HEALTH OF SOUTH CAROLINA, INC. ","Independence Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4754 ,PacificSource Medicare ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4801 ,"Blue Cross and Blue Shield of OK, TX ",GHS INSURANCE COMPANY ,Health Care Service Corporation ,21%,22%,28%,19%,19%
H4808 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF COLORADO INC ,"Devoted Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4835 ,Aetna Medicare ,AETNA BETTER HEALTH OF OKLAHOMA INC. ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4847 ,Wellcare ,"WELLCARE OF SOUTH CAROLINA, INC. ",Centene Corporation ,15%,13%,17%,9%,11%
H4868 ,Wellcare ,NEW YORK QUALITY HEALTHCARE CORPORATION ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4869 ,Gold Kidney Health Plan ,GOLD KIDNEY OF ARIZONA ,Gold Kidney Health Plan ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4875 ,Priority Health Medicare ,PRIORITY HEALTH ,Corewell Health ,11%,5%,24%,7%,5%
H4882 ,HealthPartners ,"HEALTHPARTNERS, INC. ","HealthPartners, Inc. ",14%,20%,22%,7%,7%
H4909 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",15%,17%,16%,Not Available ,13%
H4931 ,Banner Medicare Advantage ,BANNER - UNIVERSITY CARE ADVANTAGE ,Banner Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4937 ,Blue Shield of California ,CALIFORNIA PHYSICIANS' SERVICE ,California Physicians' Service ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4943 ,Baylor Scott & White Health Plan ,Scott & White Care Plans ,Baylor Scott & White Holdings ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4961 ,Alignment Health Plan ,ALIGNMENT HEALTH PLAN ,"Alignment Healthcare USA, LLC ",27%,49%,14%,6%,17%
H4982 ,Aetna Medicare ,AETNA BETTER HEALTH OF CALIFORNIA INC. ,CVS Health Corporation ,28%,44%,Not Available ,Not Available ,12%
H5008 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",12%,30%,9%,Not Available ,11%
H5009 ,Regence BlueShield ,REGENCE BLUESHIELD ,"Cambia Health Solutions, Inc. ",13%,28%,32%,4%,4%
H5010 ,Asuris Northwest Health ,ASURIS NORTHWEST HEALTH ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5015 ,Texas Independence Health Plan ,"TEXAS INDEPENDENCE HEALTH PLAN, INC. ",Regency ISNP Holdings LLC ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5042 ,CDPHP Medicare Advantage ,"CDPHP UNIVERSAL BENEFITS, INC. ","Capital District Physicians' Health Plan, Inc. ",5%,12%,20%,8%,5%
H5050 ,Kaiser Permanente ,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON ,"Kaiser Foundation Health Plan, Inc. ",21%,27%,15%,Not Available ,13%
H5087 ,Wellcare ,"WELLCARE OF CALIFORNIA, INC. ",Centene Corporation ,24%,22%,14%,Not Available ,21%
H5106 ,Highmark Blue Cross Blue Shield ,HIGHMARK SENIOR SOLUTIONS COMPANY ,Highmark Health ,12%,14%,25%,Not Available ,11%
H5117 ,Wellcare by Allwell ,"LOUISIANA HEALTHCARE CONNECTIONS, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5141 ,Clover Health ,CLOVER INSURANCE COMPANY ,"Clover Health Holdings, Inc. ",24%,40%,14%,Not Available ,14%
H5163 ,Verda Health Plan of Texas ,VERDA HEALTH PLAN OF TEXAS INC ,"Verda Healthcare, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5178 ,Humana ,"HUMANA HEALTH PLAN, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5190 ,Wellcare by Allwell ,"SUNSHINE STATE HEALTH PLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5209 ,My Choice Wisconsin ,"Molina Healthcare of Wisconsin, Inc. ","Molina Healthcare, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5211 ,"Security Health Plan of Wisconsin, Inc. ","SECURITY HEALTH PLAN OF WISCONSIN, INC. ","Marshfield Clinic Health System, Inc. ",10%,10%,33%,Not Available ,7%
H5215 ,Network Health Medicare Advantage Plans ,NETWORK HEALTH INSURANCE CORPORATION ,"Network Health, Inc. ",10%,24%,17%,6%,6%
H5216 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,15%,22%,18%,11%,14%
H5232 ,Paramount Elite Medicare Plans ,PARAMOUNT INSURANCE COMPANY ,MEDICAL MUTUAL OF OHIO ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5244 ,SCAN Health Plan New Mexico ,SCAN HEALTH PLAN NEW MEXICO ,SCAN Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5253 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",11%,23%,18%,7%,7%
H5256 ,Medical Associates Clinic Health Plan of Wisconsin ,MEDICAL ASSOCIATES CLINIC HEALTH PLAN ,"Medical Associates Clinic, P.C. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5262 ,Quartz Medicare Advantage ,QUARTZ HEALTH PLAN CORPORATION ,University of Wisconsin Hospitals and Clincs Autho ,15%,21%,34%,Not Available ,8%
H5264 ,"Dean Health Plan, Inc. ","DEAN HEALTH PLAN, INC. ",Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5273 ,CarePartners of Connecticut ,"CAREPARTNERS OF CONNECTICUT, INC. ","Point32Health, Inc. ",20%,30%,10%,8%,15%
H5294 ,Wellcare by Allwell ,"SUPERIOR HEALTHPLAN, INC. ",Centene Corporation ,Not Available ,32%,13%,Not Available ,16%
H5296 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC. ","Alignment Healthcare USA, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5299 ,Devoted Health ,DEVOTED HEALTH PLAN OF NORTH CAROLINA INC ,"Devoted Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5302 ,Aetna Medicare ,AETNA HEALTH INC. (GA) ,CVS Health Corporation ,17%,24%,11%,Not Available ,11%
H5309 ,Aetna Medicare ,AETNA HEALTH OF CALIFORNIA INC. ,CVS Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5322 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",17%,27%,10%,Not Available ,10%
H5325 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF KANSAS, INC. ",CVS Health Corporation ,11%,21%,9%,Not Available ,15%
H5361 ,AmeriHealth ,AMERIHEALTH INSURANCE COMPANY OF NEW JERSEY ,"Independence Health Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5374 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF NORTH CAROLINA, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5377 ,Humana ,"HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC. ",Humana Inc. ,14%,7%,19%,Not Available ,11%
H5386 ,Sharp Health Plan ,SHARP HEALTH PLAN ,Sharp Healthcare ,26%,23%,18%,9%,16%
H5398 ,Wellcare by Allwell ,CENTENE VENTURE COMPANY KANSAS ,Centene Corporation ,22%,26%,18%,Not Available ,Not Available
H5410 ,Cigna Healthcare ,"HEALTHSPRING OF FLORIDA, INC. ",The Cigna Group ,Not Available ,30%,21%,Not Available ,16%
H5420 ,UnitedHealthcare ,"Preferred Care Network, Inc. ","UnitedHealth Group, Inc. ",Not Available ,26%,8%,Not Available ,13%
H5422 ,Anthem Blue Cross and Blue Shield ,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA ,"Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5425 ,SCAN Health Plan ,SCAN HEALTH PLAN ,SCAN Group ,18%,34%,17%,9%,13%
H5427 ,"Freedom Health, Inc. ","FREEDOM HEALTH, INC. ","Elevance Health, Inc. ",16%,24%,9%,6%,8%
H5431 ,"HealthSun Health Plans, Inc. ","HEALTHSUN HEALTH PLANS, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5433 ,CalOptima Health OneCare ,ORANGE COUNTY HEALTH AUTHORITY ,Orange County Health Authority ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5434 ,Florida Blue ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",Guidewell Mutual Holding Corporation ,12%,29%,22%,Not Available ,10%
H5435 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",15%,11%,34%,5%,9%
H5439 ,Wellcare by Health Net ,HEALTH NET LIFE INSURANCE COMPANY ,Centene Corporation ,23%,33%,32%,9%,17%
H5447 ,Community First ,"COMMUNITY FIRST HEALTH PLANS, INC. ",Bexar County Hospital District ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5453 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF GEORGIA INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5454 ,Clear Spring Health ,"CLEAR SPRING HEALTH OF ILLINOIS, INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5471 ,"Simply Healthcare Plans, Inc. ","SIMPLY HEALTHCARE PLANS, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5472 ,Alignment Health Plan ,ALIGNMENT HEALTH INSURANCE COMPANY OF ARIZONA INC ,"Alignment Healthcare USA, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5475 ,Wellcare ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",Centene Corporation ,26%,37%,20%,Not Available ,19%
H5496 ,"Imperial Health Plan of California, Inc. ","IMPERIAL HEALTH PLAN OF CALIFORNIA, INC. ",Imperial Health Plan of California ,30%,46%,10%,Not Available ,24%
H5521 ,Aetna Medicare ,AETNA LIFE INSURANCE COMPANY ,CVS Health Corporation ,7%,7%,16%,11%,10%
H5522 ,Aetna Medicare ,AETNA LIFE INSURANCE COMPANY ,CVS Health Corporation ,14%,7%,24%,Not Available ,14%
H5525 ,Humana ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana Inc. ,11%,25%,22%,Not Available ,7%
H5526 ,Highmark Blue Cross Blue Shield or Highmark Blue S ,Highmark Western and Northeastern New York Inc. ,Highmark Health ,18%,4%,30%,11%,12%
H5528 ,EmblemHealth ,"EMBLEMHEALTH PLAN, INC. ","EmblemHealth, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5533 ,UPMC for Life ,"UPMC HEALTH NETWORK, INC. ",UPMC Health System ,11%,21%,23%,5%,5%
H5549 ,VNS Health Medicare ,VNS CHOICE ,Visiting Nurse Service of New York ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5577 ,MCS Classicare ,"MCS ADVANTAGE, INC. ","MHH Healthcare, L.P. ",10%,16%,13%,Not Available ,7%
H5580 ,Mercy Care Advantage ,MERCY CARE ,Mercy Care ,Not Available ,16%,10%,Not Available ,11%
H5587 ,BCBSAZ Health Choice ,"HEALTH CHOICE ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,15%,32%,11%,Not Available ,13%
H5590 ,Wellcare by Allwell ,"Bridgeway Health Solutions of Arizona, Inc. ",Centene Corporation ,21%,27%,5%,Not Available ,18%
H5591 ,Martin's Point Generations Advantage ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ","Martin's Point Health Care, Inc. ",13%,15%,22%,Not Available ,10%
H5593 ,Aetna Medicare ,AETNA HEALTH OF IOWA INC. ,CVS Health Corporation ,13%,20%,8%,Not Available ,10%
H5594 ,"Optimum HealthCare, Inc. ","OPTIMUM HEALTHCARE, INC. ","Elevance Health, Inc. ",22%,28%,9%,6%,10%
H5599 ,Wellcare by Fidelis Care ,NEW YORK QUALITY HEALTHCARE CORPORATION ,Centene Corporation ,24%,28%,11%,Not Available ,15%
H5608 ,Elevate Medicare Advantage ,"DENVER HEALTH MEDICAL PLAN, INC. ",Denver Health and Hospital Authority ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5619 ,Humana ,"ARCADIAN HEALTH PLAN, INC. ",Humana Inc. ,20%,29%,13%,8%,8%
H5628 ,Molina Healthcare of Utah & Idaho ,"MOLINA HEALTHCARE OF UTAH, INC. ","Molina Healthcare, Inc. ",21%,15%,16%,16%,21%
H5644 ,Network Health Medicare Advantage Plans ,NETWORK HEALTH INSURANCE CORPORATION ,"Network Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5649 ,Central Health Medicare Plan ,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC. ","Molina Healthcare, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5652 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5703 ,South Country Health Alliance ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5718 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF KENTUCKY INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5774 ,Triple S Advantage ,"TRIPLE S ADVANTAGE, INC. ",Guidewell Mutual Holding Corporation ,13%,15%,16%,15%,12%
H5779 ,Wellcare ,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC. ",Centene Corporation ,18%,25%,16%,Not Available ,16%
H5793 ,Aetna Medicare ,AETNA HEALTH INC. (CT) ,CVS Health Corporation ,Not Available ,18%,23%,20%,22%
H5810 ,Molina Healthcare of California ,MOLINA HEALTHCARE OF CALIFORNIA ,"Molina Healthcare, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5823 ,"Molina Healthcare of Washington, Inc. ","MOLINA HEALTHCARE OF WASHINGTON, INC. ","Molina Healthcare, Inc. ",24%,36%,15%,Not Available ,19%
H5826 ,Community Health Plan of WA Medicare Advantage ,COMMUNITY HEALTH PLAN OF WASHINGTON ,Community Health Plan of Washington ,18%,24%,9%,Not Available ,13%
H5828 ,Wellpoint ,"WELLPOINT TENNESSEE, INC. ","Elevance Health, Inc. ",26%,35%,17%,Not Available ,19%
H5843 ,Banner Medicare Advantage ,"BANNER HEALTH PLAN, INC. ",Banner Health ,20%,27%,14%,Not Available ,15%
H5852 ,AHF ,AIDS HEALTHCARE FOUNDATION ,AIDS Healthcare Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5854 ,Anthem Blue Cross and Blue Shield ,"ANTHEM HEALTH PLANS, INC. ","Elevance Health, Inc. ",17%,17%,11%,Not Available ,9%
H5859 ,CareOregon Advantage ,"HEALTH PLAN OF CAREOREGON, INC. ","CareOregon, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5883 ,Blue Care Network ,BLUE CARE NETWORK OF MICHIGAN ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,13%,11%,26%,4%,6%
H5900 ,Wellmark Advantage Health Plan ,"WELLMARK ADVANTAGE HEALTH PLAN, INC. ",Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,18%,12%,27%,Not Available ,12%
H5926 ,Molina Healthcare of Michigan ,"MOLINA HEALTHCARE OF MICHIGAN, INC. ","Molina Healthcare, Inc. ",25%,28%,27%,9%,14%
H5928 ,Blue Shield of California ,California Physicians' Service ,California Physicians' Service ,Not Available ,29%,26%,Not Available ,15%
H5932 ,Highmark Wholecare Medicare Assured ,"GATEWAY HEALTH PLAN, INC. ",Highmark Health ,14%,17%,10%,6%,12%
H5937 ,UCare ,UCARE MINNESOTA ,UCare Minnesota ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5938 ,Capital Health Plan ,CAPITAL HEALTH PLAN ,Guidewell Mutual Holding Corporation ,8%,18%,26%,Not Available ,6%
H5943 ,VillageHealth ,SCAN HEALTH PLAN ,SCAN Group ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5945 ,Prominence Health Plan ,PROMINENCE HEALTHFIRST ,"Universal Health Services, Inc. ",27%,16%,15%,9%,14%
H5959 ,Blue Cross and Blue Shield of Minnesota ,"BCBSM, Inc. ","Aware Integrated, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5965 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF WASHINGTON ,Centene Corporation ,23%,45%,10%,4%,Not Available
H5969 ,AlohaCare ,ALOHACARE ,AlohaCare ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5970 ,Humana ,HUMANA INSURANCE COMPANY OF NEW YORK ,Humana Inc. ,17%,31%,20%,Not Available ,12%
H5989 ,Healthfirst Medicare Plan ,"HEALTHFIRST HEALTH PLAN, INC. ","Healthfirst, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5991 ,EmblemHealth ,HEALTH INSURANCE PLAN OF GREATER NEW YORK ,"EmblemHealth, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5992 ,Senior Whole Health of New York ,"SENIOR WHOLE HEALTH OF NEW YORK, INC. ","Molina Healthcare, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5995 ,ATRIO Health Plans ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6018 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF PENNSYLVANIA I ,"Devoted Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6019 ,HEALTH PLAN OF SAN MATEO ,SAN MATEO HEALTH COMMISSION ,Health Plan of San Mateo ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6078 ,Blue Medicare Advantage ,"Group Retiree Health Solutions, Inc. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6130 ,Fenyx Health ,FENYX HEALTH INSURANCE COMPANY ,"Fenyx Health Holdings, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6154 ,Medica ,MEDICA HEALTH PLANS ,Medica Holding Company ,5%,0%,15%,Not Available ,4%
H6158 ,Arkansas Blue Medicare ,"USABLE HMO, INC. ",USAble Mutual Insurance Company ,11%,11%,17%,Not Available ,9%
H6170 ,Champion Heath Plan ,CHAMPION HEALTH PLAN OF CALIFORNIA INC ,"Champion Health Plans-USA, LLC. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6200 ,Essence Healthcare ,"ESSENCE HEALTHCARE PPO, INC. ",Lumeris Group Holdings Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6202 ,NextBlue of North Dakota ,NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6237 ,Regence BlueCross BlueShield of Oregon ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,"Cambia Health Solutions, Inc. ",14%,34%,15%,6%,6%
H6248 ,Community Health Group ,COMMUNITY HEALTH GROUP ,Community Health Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6306 ,FirstMedicare Direct ,FIRSTCAROLINACARE INSURANCE COMPANY ,The Carle Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6316 ,Healthy Blue ,"MISSOURI CARE, INCORPORATED ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6322 ,McLaren Medicare ,"MCLAREN HEALTH PLAN, INC. ",McLaren Health Care Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6345 ,PruittHealth Premier ,"PRUITTHEALTH PREMIER NORTH CAROLINA, LLC ","UNICO Services, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6348 ,Wellcare by Allwell ,COORDINATED CARE CORPORATION ,Centene Corporation ,19%,41%,14%,Not Available ,18%
H6351 ,Liberty Medicare Advantage ,"LIBERTY ADVANTAGE, LLC ",Liberty Healthcare Insurance ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6378 ,AmeriHealth Caritas VIP Care (HMO-D-SNP) ,AMERIHEALTH CARITAS FLORIDA INC ,"Independence Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6379 ,Clear Spring Health ,"CLEAR SPRING HEALTH (CO), INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6396 ,CareSource ,"CARESOURCE OHIO, INC. ",CareSource ,19%,28%,15%,Not Available ,15%
H6399 ,Aetna Better Health of New Jersey ,AETNA BETTER HEALTH INC. (NJ) ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6453 ,Blue Cross and Blue Shield of Louisiana ,"HMO LOUISIANA, INC. ",Louisiana Health Service & Indemnity Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6474 ,Champion Health Plan ,RENAL PAYER SOLUTIONS INC ,"Champion Health Plans-USA, LLC. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6529 ,MyTruAdvantage ,"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC. ","SIHO Holding, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6545 ,Devoted Health ,"Devoted Health Insurance of Illinois, Inc. ","Devoted Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6550 ,Wellcare by Allwell ,"SUNFLOWER STATE HEALTH PLAN, INC. ",Centene Corporation ,21%,25%,11%,5%,15%
H6586 ,Devoted Health ,"DEVOTED HEALTH INSURANCE COMPANY OF ARIZONA, INC. ","Devoted Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6595 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",10%,19%,8%,Not Available ,7%
H6622 ,Humana ,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP ,Humana Inc. ,13%,26%,12%,11%,12%
H6652 ,American Health Advantage of Florida ,"AMERICAN HEALTH PLAN OF FL, INC. ",Mitchell Family Office ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
