2025 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5475 ,Local CCP ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",Wellcare ,Centene Corporation ,2,3,3,3,3,5,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5496 ,Local CCP ,"IMPERIAL HEALTH PLAN OF CALIFORNIA, INC. ","Imperial Health Plan of California, Inc. ",Imperial Health Plan of California ,4,4,Not enough data available ,2,4,4,2,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5521 ,Local CCP ,AETNA LIFE INSURANCE COMPANY ,Aetna Medicare ,CVS Health Corporation ,4,4,4,5,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5522 ,Local CCP ,AETNA LIFE INSURANCE COMPANY ,Aetna Medicare ,CVS Health Corporation ,3,4,4,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5525 ,Local CCP ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana ,Humana Inc. ,3,3,4,3,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5526 ,Local CCP ,Highmark Western and Northeastern New York Inc. ,Highmark Blue Cross Blue Shield or Highmark Blue S ,Highmark Health ,5,4,4,4,5,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5528 ,Local CCP ,"EMBLEMHEALTH PLAN, INC. ",EmblemHealth ,"EmblemHealth, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5533 ,Local CCP ,"UPMC HEALTH NETWORK, INC. ",UPMC for Life ,UPMC Health System ,4,4,5,4,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5549 ,Local CCP ,VNS CHOICE ,VNS Health Medicare ,Visiting Nurse Service of New York ,5,5,2,3,4,5,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5577 ,Local CCP ,"MCS ADVANTAGE, INC. ",MCS Classicare ,"MHH Healthcare, L.P. ",4,4,4,4,5,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5580 ,Local CCP ,MERCY CARE ,Mercy Care Advantage ,Mercy Care ,3,3,2,3,4,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5587 ,Local CCP ,"HEALTH CHOICE ARIZONA, INC. ",BCBSAZ Health Choice ,Blue Cross Blue Shield of Arizona ,2,3,2,3,2,2,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5590 ,Local CCP ,"Bridgeway Health Solutions of Arizona, Inc. ",Wellcare by Allwell ,Centene Corporation ,3,3,2,4,5,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5591 ,Local CCP ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ",Martin's Point Generations Advantage ,"Martin's Point Health Care, Inc. ",4,3,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5593 ,Local CCP ,AETNA HEALTH OF IOWA INC. ,Aetna Medicare ,CVS Health Corporation ,3,4,4,3,5,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5594 ,Local CCP ,"OPTIMUM HEALTHCARE, INC. ","Optimum HealthCare, Inc. ","Elevance Health, Inc. ",4,5,4,4,5,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5599 ,Local CCP ,NEW YORK QUALITY HEALTHCARE CORPORATION ,Wellcare by Fidelis Care ,Centene Corporation ,2,3,3,3,3,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5608 ,Local CCP ,"DENVER HEALTH MEDICAL PLAN, INC. ",Elevate Medicare Advantage ,Denver Health and Hospital Authority ,4,4,3,4,Not enough data available ,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5619 ,Local CCP ,"ARCADIAN HEALTH PLAN, INC. ",Humana ,Humana Inc. ,3,4,3,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5628 ,Local CCP ,"MOLINA HEALTHCARE OF UTAH, INC. ",Molina Healthcare of Utah & Idaho ,"Molina Healthcare, Inc. ",3,3,3,3,4,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5644 ,Local CCP ,NETWORK HEALTH INSURANCE CORPORATION ,Network Health Medicare Advantage Plans ,"Network Health, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5649 ,Local CCP ,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC. ",Central Health Medicare Plan ,"Molina Healthcare, Inc. ",4,3,1,3,4,4,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5652 ,Local CCP ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",5,4,4,5,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5703 ,Local CCP ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,South Country Health Alliance ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,4,Not enough data available ,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5718 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF KENTUCKY INC ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5774 ,Local CCP ,"TRIPLE S ADVANTAGE, INC. ",Triple S Advantage ,Guidewell Mutual Holding Corporation ,4,4,3,3,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5779 ,Local CCP ,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC. ",Wellcare ,Centene Corporation ,3,3,2,2,4,5,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5793 ,Local CCP ,AETNA HEALTH INC. (CT) ,Aetna Medicare ,CVS Health Corporation ,3,3,3,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5810 ,Local CCP ,MOLINA HEALTHCARE OF CALIFORNIA ,Molina Healthcare of California ,"Molina Healthcare, Inc. ",3,3,Not enough data available ,4,3,5,4,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5823 ,Local CCP ,"MOLINA HEALTHCARE OF WASHINGTON, INC. ","Molina Healthcare of Washington, Inc. ","Molina Healthcare, Inc. ",3,3,1,4,4,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5826 ,Local CCP ,COMMUNITY HEALTH PLAN OF WASHINGTON ,Community Health Plan of WA Medicare Advantage ,Community Health Plan of Washington ,4,3,2,4,2,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5828 ,Local CCP ,"WELLPOINT TENNESSEE, INC. ",Wellpoint ,"Elevance Health, Inc. ",2,3,3,3,5,5,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5843 ,Local CCP ,"BANNER HEALTH PLAN, INC. ",Banner Medicare Advantage ,Banner Health ,3,3,3,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5852 ,Local CCP ,AIDS HEALTHCARE FOUNDATION ,AHF ,AIDS Healthcare Foundation ,4,3,3,Not enough data available ,Not enough data available ,4,Not enough data available ,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5854 ,Local CCP ,"ANTHEM HEALTH PLANS, INC. ",Anthem Blue Cross and Blue Shield ,"Elevance Health, Inc. ",4,3,3,3,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5859 ,Local CCP ,"HEALTH PLAN OF CAREOREGON, INC. ",CareOregon Advantage ,"CareOregon, Inc. ",3,4,2,4,4,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5883 ,Local CCP ,BLUE CARE NETWORK OF MICHIGAN ,Blue Care Network ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,4,4,4,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5900 ,Local CCP ,"WELLMARK ADVANTAGE HEALTH PLAN, INC. ",Wellmark Advantage Health Plan ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,3,3,5,5,3,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5926 ,Local CCP ,"MOLINA HEALTHCARE OF MICHIGAN, INC. ",Molina Healthcare of Michigan ,"Molina Healthcare, Inc. ",3,3,2,4,4,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5928 ,Local CCP ,California Physicians' Service ,Blue Shield of California ,California Physicians' Service ,4,3,Not enough data available ,4,4,4,4,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5932 ,Local CCP ,"GATEWAY HEALTH PLAN, INC. ",Highmark Wholecare Medicare Assured ,Highmark Health ,3,3,5,4,4,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5937 ,Local CCP ,UCARE MINNESOTA ,UCare ,UCare Minnesota ,3,3,3,5,3,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5938 ,Local CCP ,CAPITAL HEALTH PLAN ,Capital Health Plan ,Guidewell Mutual Holding Corporation ,5,4,5,4,4,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5943 ,Local CCP ,SCAN HEALTH PLAN ,VillageHealth ,SCAN Group ,3,2,Not enough data available ,3,Not enough data available ,5,3,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5945 ,Local CCP ,PROMINENCE HEALTHFIRST ,Prominence Health Plan ,"Universal Health Services, Inc. ",4,4,3,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5959 ,Local CCP ,"BCBSM, Inc. ",Blue Cross and Blue Shield of Minnesota ,"Aware Integrated, Inc. ",4,3,4,5,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5965 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF WASHINGTON ,Wellcare ,Centene Corporation ,2,2,Not enough data available ,2,Not enough data available ,5,2,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5969 ,Local CCP ,ALOHACARE ,AlohaCare ,AlohaCare ,2,2,3,3,Not enough data available ,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5970 ,Local CCP ,HUMANA INSURANCE COMPANY OF NEW YORK ,Humana ,Humana Inc. ,3,3,4,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5989 ,Local CCP ,"HEALTHFIRST HEALTH PLAN, INC. ",Healthfirst Medicare Plan ,"Healthfirst, Inc. ",4,3,2,3,5,5,4,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5991 ,Local CCP ,HEALTH INSURANCE PLAN OF GREATER NEW YORK ,EmblemHealth ,"EmblemHealth, Inc. ",3,3,Not enough data available ,3,Not enough data available ,5,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5992 ,Local CCP ,"SENIOR WHOLE HEALTH OF NEW YORK, INC. ",Senior Whole Health of New York ,"Molina Healthcare, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,5,Not enough data available ,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5995 ,Local CCP ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,ATRIO Health Plans ,2,2,2,4,Not enough data available ,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6018 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF PENNSYLVANIA I ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6019 ,Local CCP ,SAN MATEO HEALTH COMMISSION ,HEALTH PLAN OF SAN MATEO ,Health Plan of San Mateo ,4,3,2,5,4,4,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6078 ,Local CCP ,"Group Retiree Health Solutions, Inc. ",Blue Medicare Advantage ,"Elevance Health, Inc. ",4,3,4,5,4,Not enough data available ,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6080 ,Demo ,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC. ",Meridian Medicare-Medicaid Plan (MMP) ,Centene Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6130 ,MSA ,FENYX HEALTH INSURANCE COMPANY ,Fenyx Health ,"Fenyx Health Holdings, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6154 ,Local CCP ,MEDICA HEALTH PLANS ,Medica ,Medica Holding Company ,3,3,4,4,Not enough data available ,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6158 ,Local CCP ,"USABLE HMO, INC. ",Arkansas Blue Medicare ,USAble Mutual Insurance Company ,3,3,4,4,3,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6170 ,Local CCP ,CHAMPION HEALTH PLAN OF CALIFORNIA INC ,Champion Heath Plan ,"Champion Health Plans-USA, LLC. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,3,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6200 ,Local CCP ,"ESSENCE HEALTHCARE PPO, INC. ",Essence Healthcare ,Lumeris Group Holdings Corporation ,5,3,4,4,Plan too new to be measured ,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6202 ,Local CCP ,NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY ,NextBlue of North Dakota ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,3,3,5,4,3,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6237 ,Local CCP ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,Regence BlueCross BlueShield of Oregon ,"Cambia Health Solutions, Inc. ",5,4,2,4,4,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6248 ,Local CCP ,COMMUNITY HEALTH GROUP ,Community Health Group ,Community Health Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,3,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6306 ,Local CCP ,FIRSTCAROLINACARE INSURANCE COMPANY ,FirstMedicare Direct ,The Carle Foundation ,5,4,5,5,3,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6316 ,Local CCP ,"MISSOURI CARE, INCORPORATED ",Healthy Blue ,"Elevance Health, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,5,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6322 ,Local CCP ,"MCLAREN HEALTH PLAN, INC. ",McLaren Medicare ,McLaren Health Care Corporation ,3,2,3,3,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6345 ,Local CCP ,"PRUITTHEALTH PREMIER NORTH CAROLINA, LLC ",PruittHealth Premier ,"UNICO Services, Inc. ",Not enough data available ,4,Not enough data available ,Not enough data available ,Not enough data available ,4,Not enough data available ,Not enough data available ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6348 ,Local CCP ,COORDINATED CARE CORPORATION ,Wellcare by Allwell ,Centene Corporation ,2,2,3,3,Not enough data available ,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6351 ,Local CCP ,"LIBERTY ADVANTAGE, LLC ",Liberty Medicare Advantage ,Liberty Healthcare Insurance ,Not enough data available ,Not enough data available ,Not enough data available ,5,Not enough data available ,3,4,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6378 ,Local CCP ,AMERIHEALTH CARITAS FLORIDA INC ,AmeriHealth Caritas VIP Care (HMO-D-SNP) ,"Independence Health Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6379 ,Local CCP ,"CLEAR SPRING HEALTH (CO), INC. ",Clear Spring Health ,Group 1001 ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,4,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6396 ,Local CCP ,"CARESOURCE OHIO, INC. ",CareSource ,CareSource ,3,4,3,3,5,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6399 ,Local CCP ,AETNA BETTER HEALTH INC. (NJ) ,Aetna Better Health of New Jersey ,CVS Health Corporation ,2,3,3,3,Not enough data available ,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6453 ,Local CCP ,"HMO LOUISIANA, INC. ",Blue Cross and Blue Shield of Louisiana ,Louisiana Health Service & Indemnity Company ,3,3,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6474 ,Local CCP ,RENAL PAYER SOLUTIONS INC ,Champion Health Plan ,"Champion Health Plans-USA, LLC. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,3,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6529 ,Local CCP ,"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC. ",MyTruAdvantage ,"SIHO Holding, Inc. ",4,Not enough data available ,5,Not enough data available ,Not enough data available ,3,Not enough data available ,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6545 ,Local CCP ,"Devoted Health Insurance of Illinois, Inc. ",Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,3,3,Plan too new to be measured ,4,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6550 ,Local CCP ,"SUNFLOWER STATE HEALTH PLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,2,3,3,3,Not enough data available ,5,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6586 ,Local CCP ,"DEVOTED HEALTH INSURANCE COMPANY OF ARIZONA, INC. ",Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6595 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",2,3,4,2,5,5,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6622 ,Local CCP ,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP ,Humana ,Humana Inc. ,3,4,4,3,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6652 ,Local CCP ,"AMERICAN HEALTH PLAN OF FL, INC. ",American Health Advantage of Florida ,Mitchell Family Office ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,3,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6672 ,Local CCP ,"CLEAR SPRING HEALTH (GA), INC. ",Clear Spring Health ,Group 1001 ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,4,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6706 ,Local CCP ,"UnitedHealthcare Benefits of Texas, Inc. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,5,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6713 ,Local CCP ,"WELLCARE OF ILLINOIS, INC. ",Wellcare ,Centene Corporation ,2,2,3,3,4,5,2,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6723 ,Local CCP ,MEDICAL MUTUAL OF OHIO ,Medical Mutual of Ohio ,MEDICAL MUTUAL OF OHIO ,4,3,5,4,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6727 ,Local CCP ,UNIVERSITY OF MICHIGAN HEALTH MEDICARE ,University of Michigan Health Plan ,University of Michigan Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6743 ,Local CCP ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,ATRIO Health Plans ,3,2,3,4,3,4,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6765 ,Local CCP ,AMERICAN HEALTH PLAN OF IOWA INC ,Iowa Health Advantage ,Mitchell Family Office ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,3,Plan too new to be measured ,Plan too new to be measured ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6776 ,Local CCP ,"ELDERSERVE HEALTH, INC. ",RiverSpring Health Plans ,RiverSpring Living Holding Corp. ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,4,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6813 ,Local CCP ,DEVOTED HEALTH INSURANCE COMPANY OF TEXAS INC ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6815 ,Local CCP ,"HEALTH NET HEALTH PLAN OF OREGON, INC. ",Wellcare by Health Net ,Centene Corporation ,3,3,2,3,4,5,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6830 ,Local CCP ,CENTENE VENTURE COMPANY KANSAS ,Wellcare by Allwell ,Centene Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,5,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6832 ,Local CCP ,"ALIGN SENIOR CARE MI, LLC ",Align Senior Care ,"Curana Health Holdings, LLC ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,4,Not enough data available ,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6847 ,Local CCP ,"Mass General Brigham Health Plan, Inc. ",Mass General Brigham Health Plan ,Mass General Brigham Incorporated ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6851 ,Local CCP ,"BOSTON MEDICAL CENTER HEALTH PLAN, INC. ",WellSense Health Plan ,"BMC Health System, Inc. ",1,3,1,Not enough data available ,Not enough data available ,4,Not enough data available ,Not enough data available ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6852 ,Local CCP ,DEVOTED HEALTH PLAN OF PENNSYLVANIA INC ,Devoted Health ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,4,Plan too new to be measured ,Plan too new to be measured ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
