2025 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
H0294 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",80%,74%,67%,50%,82%,96%,99%,33%,76%,88%,73%,51%,47%,62%,10%,88%,53%,58%,80,82,88,85,85,86,0.2,13%,Medicare shows only a Star Rating for this topic ,100%,98%,98%,100%,0.2,13%,Medicare shows only a Star Rating for this topic ,86,88,99,86%,90%,89%,87%,86%
H0302 ,Local CCP ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona (AZ Blue) ,Blue Cross Blue Shield of Arizona ,73%,82%,71%,53%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,56%,76%,88%,81%,57%,53%,84%,10%,87%,80%,77%,78,81,91,85,87,84,0.05,9%,Medicare shows only a Star Rating for this topic ,97%,98%,36%,63%,0.05,9%,Medicare shows only a Star Rating for this topic ,86,87,98,89%,92%,92%,94%,89%
H0321 ,Local CCP ,"ARIZONA PHYSICIANS IPA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",69%,72%,67%,54%,79%,94%,97%,34%,79%,87%,71%,63%,46%,57%,13%,84%,41%,64%,81,Not enough data available ,89,Not enough data available ,89,Not enough data available ,0.17,9%,Medicare shows only a Star Rating for this topic ,98%,98%,98%,100%,0.17,9%,Medicare shows only a Star Rating for this topic ,89,Not enough data available ,99,85%,85%,83%,86%,86%
H0332 ,Local CCP ,"KS PLAN ADMINISTRATORS, LLC ",KelseyCare Advantage ,"UnitedHealth Group, Inc. ",80%,80%,78%,58%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,77%,82%,86%,91%,62%,52%,90%,11%,88%,82%,57%,77,77,93,89,91,87,0.1,5%,Medicare shows only a Star Rating for this topic ,100%,100%,98%,98%,0.1,5%,Medicare shows only a Star Rating for this topic ,90,91,99,87%,90%,88%,93%,90%
H0336 ,Demo ,"HUMANA HEALTH PLAN, INC. ",Humana ,Humana Inc. ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0342 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Point32Health, Inc. ",Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,100%,100%,97%,98%,Not enough data available ,Not enough data available ,Medicare shows only a Star Rating for this topic ,Plan too small to be measured ,Plan too small to be measured ,98,85%,90%,87%,89%,90%
H0351 ,Local CCP ,"HEALTH NET OF ARIZONA, INC. ",Wellcare by Allwell ,Centene Corporation ,70%,69%,59%,44%,66%,99%,93%,62%,78%,88%,77%,50%,39%,77%,11%,80%,51%,57%,80,81,90,83,83,Not enough data available ,0.26,19%,Medicare shows only a Star Rating for this topic ,95%,100%,98%,100%,0.26,19%,Medicare shows only a Star Rating for this topic ,83,87,99,88%,90%,90%,85%,87%
H0354 ,Local CCP ,"CIGNA HEALTHCARE OF ARIZONA, INC. ",Cigna Healthcare ,The Cigna Group ,76%,78%,70%,52%,66%,98%,98%,54%,80%,85%,79%,53%,44%,87%,12%,89%,71%,70%,80,84,90,86,88,85,0.18,9%,Medicare shows only a Star Rating for this topic ,98%,97%,95%,97%,0.18,9%,Medicare shows only a Star Rating for this topic ,89,90,100,86%,90%,90%,93%,90%
H0363 ,Local CCP ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ",Longevity Health Plan ,"Longevity Health Founders, LLC ",Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,94%,100%,100%,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,92%,94%,Not enough data available ,Not enough data available ,Medicare shows only a Star Rating for this topic ,Plan too small to be measured ,Plan too small to be measured ,99,88%,91%,93%,100%,88%
H0421 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Not enough data available ,Not enough data available ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0423 ,Local CCP ,"METROPLUS HEALTH PLAN, INC. ",MetroPlus Health Plan ,New York City Health and Hospitals Corporation ,79%,75%,67%,60%,60%,91%,91%,Not enough data available ,79%,85%,86%,70%,Not enough data available ,83%,11%,86%,71%,57%,75,Not enough data available ,88,Not enough data available ,84,Not enough data available ,0.21,18%,Medicare shows only a Star Rating for this topic ,98%,95%,87%,92%,0.21,18%,Medicare shows only a Star Rating for this topic ,83,88,98,89%,89%,88%,99%,91%
H0432 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",73%,75%,58%,45%,78%,97%,100%,32%,82%,83%,71%,61%,41%,65%,12%,85%,43%,49%,85,87,91,87,88,86,0.14,27%,Medicare shows only a Star Rating for this topic ,99%,97%,98%,100%,0.14,27%,Medicare shows only a Star Rating for this topic ,90,91,99,81%,84%,83%,86%,84%
H0439 ,Local CCP ,"CIGNA HEALTHCARE OF GEORGIA, INC. ",Cigna Healthcare ,The Cigna Group ,72%,79%,68%,53%,70%,94%,94%,45%,71%,80%,73%,57%,42%,84%,10%,83%,57%,57%,84,87,90,88,88,88,0.15,22%,Medicare shows only a Star Rating for this topic ,99%,97%,95%,97%,0.15,22%,Medicare shows only a Star Rating for this topic ,88,90,99,84%,88%,87%,93%,83%
H0473 ,Local CCP ,HUMANA INSURANCE COMPANY OF KENTUCKY ,Humana ,Humana Inc. ,70%,74%,63%,51%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,38%,76%,85%,73%,62%,45%,85%,11%,84%,66%,53%,83,84,90,88,88,87,0.16,23%,Medicare shows only a Star Rating for this topic ,99%,97%,98%,97%,0.16,23%,Medicare shows only a Star Rating for this topic ,89,90,84,82%,88%,88%,79%,82%
H0480 ,Demo ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",MeridianComplete (Medicare-Medicaid Plan) ,Centene Corporation ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0504 ,Local CCP ,CALIFORNIA PHYSICIANS' SERVICE ,Blue Shield of California ,California Physicians' Service ,79%,79%,73%,53%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,55%,82%,86%,75%,57%,51%,72%,12%,86%,48%,62%,77,78,89,86,88,83,0.1,13%,Medicare shows only a Star Rating for this topic ,98%,98%,98%,97%,0.1,13%,Medicare shows only a Star Rating for this topic ,88,89,98,87%,91%,90%,92%,89%
H0523 ,Local CCP ,AETNA HEALTH OF CALIFORNIA INC. ,Aetna Medicare ,CVS Health Corporation ,73%,78%,69%,47%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,78%,97%,79%,55%,38%,77%,12%,83%,46%,50%,76,80,Not enough data available ,83,83,Not enough data available ,0.46,18%,Medicare shows only a Star Rating for this topic ,94%,92%,100%,97%,0.46,18%,Medicare shows only a Star Rating for this topic ,85,Not enough data available ,99,87%,91%,88%,95%,90%
H0524 ,Local CCP ,"KAISER FOUNDATION HP, INC. ",Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",87%,88%,83%,61%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,82%,86%,90%,85%,55%,45%,96%,12%,90%,89%,72%,79,80,92,86,88,85,0.05,1%,Medicare shows only a Star Rating for this topic ,99%,98%,98%,100%,0.05,1%,Medicare shows only a Star Rating for this topic ,93,93,100,90%,91%,90%,94%,91%
H0543 ,Local CCP ,UHC OF CALIFORNIA ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",78%,77%,70%,55%,85%,97%,99%,54%,82%,87%,77%,56%,46%,70%,12%,85%,50%,54%,75,78,89,85,86,83,0.18,13%,Medicare shows only a Star Rating for this topic ,99%,99%,98%,100%,0.18,13%,Medicare shows only a Star Rating for this topic ,87,87,99,87%,90%,89%,87%,89%
H0544 ,Local CCP ,BLUE CROSS OF CALIFORNIA ,Anthem Blue Cross ,"Elevance Health, Inc. ",68%,65%,68%,52%,51%,100%,96%,54%,70%,79%,69%,60%,43%,70%,11%,86%,42%,48%,74,79,87,Not enough data available ,84,Not enough data available ,0.38,23%,Medicare shows only a Star Rating for this topic ,95%,98%,100%,100%,0.38,23%,Medicare shows only a Star Rating for this topic ,85,Not enough data available ,98,85%,88%,86%,93%,89%
H0562 ,Local CCP ,"HEALTH NET OF CALIFORNIA, INC. ",Wellcare by Health Net ,Centene Corporation ,78%,78%,75%,55%,47%,99%,95%,50%,79%,88%,76%,64%,44%,73%,10%,85%,47%,55%,77,79,87,84,85,84,0.42,16%,Medicare shows only a Star Rating for this topic ,97%,94%,98%,100%,0.42,16%,Medicare shows only a Star Rating for this topic ,86,87,98,87%,88%,87%,95%,89%
H0571 ,Local CCP ,CHINESE COMMUNITY HEALTH PLAN ,CCHP (Chinese Community Health Plan) ,Chinese Hospital Association ,73%,82%,83%,52%,95%,87%,89%,Not enough data available ,70%,83%,68%,77%,32%,32%,9%,82%,32%,48%,71,75,86,82,84,82,0.04,7%,Medicare shows only a Star Rating for this topic ,Not enough data available ,Not enough data available ,86%,84%,0.04,7%,Medicare shows only a Star Rating for this topic ,85,83,98,90%,89%,86%,74%,90%
H0609 ,Local CCP ,"UnitedHealthcare Benefits of Texas, Inc. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",80%,85%,77%,54%,86%,98%,99%,45%,86%,91%,85%,57%,48%,69%,11%,87%,51%,60%,81,82,89,87,89,86,0.12,9%,Medicare shows only a Star Rating for this topic ,99%,98%,98%,100%,0.12,9%,Medicare shows only a Star Rating for this topic ,89,90,99,87%,91%,90%,89%,89%
H0624 ,Local CCP ,"UnitedHealthcare Benefits of Texas, Inc. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",66%,77%,67%,50%,83%,93%,98%,51%,80%,88%,77%,65%,44%,68%,12%,89%,63%,61%,77,78,Not enough data available ,Not enough data available ,84,Not enough data available ,0.2,21%,Medicare shows only a Star Rating for this topic ,100%,98%,98%,100%,0.2,21%,Medicare shows only a Star Rating for this topic ,86,Not enough data available ,99,87%,88%,89%,88%,86%
