Contract,PartC_FAC,PartD_FAC,Overall_FAC,PartC_CAI,PartD_CAI,Overall_CAI
H3170,3.0,3.0,4.0,-0.013699,-0.002688,0.003256
H3186,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H3192,6.0,4.0,7.0,0.059788,0.046282,0.058145
H3204,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H3219,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H3239,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3240,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3251,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H3256,8.0,6.0,9.0,0.10237,0.128476,0.145515
H3259,8.0,6.0,9.0,0.10237,0.128476,0.145515
H3274,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H3276,8.0,6.0,9.0,0.10237,0.128476,0.145515
H3288,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H3291,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3305,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H3312,6.0,4.0,7.0,0.059788,0.046282,0.058145
H3330,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3335,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3344,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H3347,6.0,3.0,8.0,0.059788,-0.002688,0.101257
H3351,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3359,6.0,3.0,8.0,0.059788,-0.002688,0.101257
H3362,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H3379,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H3384,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H3387,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3388,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H3404,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3407,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3418,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H3419,6.0,4.0,7.0,0.059788,0.046282,0.058145
H3443,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H3447,6.0,4.0,7.0,0.059788,0.046282,0.058145
H3449,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3467,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3499,6.0,5.0,7.0,0.059788,0.072332,0.058145
H3528,4.0,2.0,3.0,0.004022,-0.014987,-0.017803
H3533,6.0,4.0,7.0,0.059788,0.046282,0.058145
H3536,5.0,4.0,7.0,0.032302,0.046282,0.058145
H3551,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H3557,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H3561,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3597,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H3653,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3655,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H3660,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3664,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H3668,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3672,5.0,4.0,6.0,0.032302,0.046282,0.045683
H3706,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H3708,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3727,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3748,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H3755,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3777,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H3794,8.0,6.0,9.0,0.10237,0.128476,0.145515
H3800,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3805,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H3810,6.0,4.0,7.0,0.059788,0.046282,0.058145
H3811,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H3814,7.0,5.0,8.0,0.080451,0.072332,0.101257
H3815,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H3817,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3822,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H3828,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H3832,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H3864,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H3868,,,,,,
