FIPS,County,State,Total OB-GYNs,Connected OB-GYNs,Hub Providers,Isolated OB-GYNs,Mean Degree,Pct Connected,Pct Isolated,Pct Hub,Subspecialties,Total Births,Morbidity Births,Morbidity Rate Raw,OB-GYN per 10K Births,Mean Betweenness,Mean Shared Patients,Morbidity Rate (%)
48339,"Montgomery County, TX",TX,85,16,2,69,0.98,18.8,81.2,2.4,7,7347,33.0,0.004491629236423,115.7,4e-06,15.5,0.45
48355,"Nueces County, TX",TX,48,16,2,32,3.62,33.3,66.7,4.2,5,4738,15.0,0.0031658927817644,101.3,0.0,80.5,0.32
48367,"Parker County, TX",TX,8,2,0,6,0.25,25.0,75.0,0.0,1,1538,0.0,0.0,52.0,0.0,3.2,0.0
48375,"Potter County, TX",TX,38,13,1,25,1.37,34.2,65.8,2.6,5,1886,24.0,0.0127253446447507,201.5,1e-05,19.8,1.27
48381,"Randall County, TX",TX,4,2,0,2,0.75,50.0,50.0,0.0,2,1640,21.0,0.0128048780487804,24.4,0.0,10.2,1.28
48423,"Smith County, TX",TX,54,16,3,38,2.13,29.6,70.4,5.6,4,3160,22.0,0.0069620253164556,170.9,5e-06,35.5,0.7
48439,"Tarrant County, TX",TX,349,56,3,293,0.97,16.0,84.0,0.9,7,28745,245.0,0.0085232214298138,121.4,7e-05,17.9,0.85
48441,"Taylor County, TX",TX,20,10,0,10,1.55,50.0,50.0,0.0,3,2037,22.0,0.0108001963672066,98.2,0.0,29.5,1.08
48451,"Tom Green County, TX",TX,17,12,3,5,6.82,70.6,29.4,17.6,2,1556,17.0,0.0109254498714652,109.2,0.0,119.1,1.09
48453,"Travis County, TX",TX,315,33,2,282,0.4,10.5,89.5,0.6,8,15992,114.0,0.007128564282141,197.0,0.0,7.0,0.71
48479,"Webb County, TX",TX,19,6,0,13,1.16,31.6,68.4,0.0,2,5189,0.0,0.0,36.6,0.000884,18.2,0.0
48485,"Wichita County, TX",TX,20,10,0,10,1.3,50.0,50.0,0.0,3,1631,0.0,0.0,122.6,3e-06,27.3,0.0
48491,"Williamson County, TX",TX,88,10,0,78,0.35,11.4,88.6,0.0,6,6535,47.0,0.0071920428462127,134.7,0.0,5.1,0.72
49005,"Cache County, UT",UT,17,2,0,15,0.12,11.8,88.2,0.0,1,2286,34.0,0.0148731408573928,74.4,0.0,2.2,1.49
49011,"Davis County, UT",UT,36,5,0,31,0.14,13.9,86.1,0.0,3,5698,115.0,0.0201825201825201,63.2,0.0,1.7,2.02
49035,"Salt Lake County, UT",UT,198,6,1,192,0.53,3.0,97.0,0.5,6,17612,339.0,0.0192482398364751,112.4,0.0,11.1,1.92
49049,"Utah County, UT",UT,73,9,1,64,0.56,12.3,87.7,1.4,6,11971,184.0,0.0153704786567538,61.0,0.0,8.7,1.54
49053,"Washington County, UT",UT,26,8,1,18,1.38,30.8,69.2,3.8,4,2210,13.0,0.0058823529411764,117.6,0.0,20.8,0.59
49057,"Weber County, UT",UT,33,3,0,30,0.15,9.1,90.9,0.0,2,3876,54.0,0.0139318885448916,85.1,0.0,2.4,1.39
50007,"Chittenden County, VT",VT,78,10,2,68,1.49,12.8,87.2,2.6,7,1552,52.0,0.0335051546391752,502.6,1.2e-05,22.1,3.35
51013,"Arlington County, VA",VA,61,7,0,54,0.21,11.5,88.5,0.0,8,3225,0.0,0.0,189.2,0.0,2.9,0.0
51041,"Chesterfield County, VA",VA,88,22,4,66,2.39,25.0,75.0,4.5,6,3885,17.0,0.0043758043758043,226.5,0.000798,42.2,0.44
51059,"Fairfax County, VA",VA,318,25,2,293,0.42,7.9,92.1,0.6,8,14525,32.0,0.0022030981067125,218.9,2e-06,7.9,0.22
51087,"Henrico County, VA",VA,61,14,2,47,1.07,23.0,77.0,3.3,7,3903,37.0,0.0094798872662054,156.3,2.3e-05,17.2,0.95
51107,"Loudoun County, VA",VA,58,2,0,56,0.05,3.4,96.6,0.0,4,5335,24.0,0.0044985941893158,108.7,0.0,0.6,0.45
51153,"Prince William County, VA",VA,40,3,0,37,0.12,7.5,92.5,0.0,4,6845,49.0,0.0071585098612125,58.4,0.0,1.8,0.72
51177,"Spotsylvania County, VA",VA,2,0,0,2,0.0,0.0,100.0,0.0,1,1542,11.0,0.0071335927367055,13.0,0.0,0.0,0.71
