ID,Neighborhood,Total Jobs,Total Jobs Change,Number of jobs in NAICS sector 22 (Utilities),Change Utilities,Number of jobs in NAICS sector 23 (Construction),Change Construction,Number of jobs in NAICS sector 31-33 (Manufacturing),Change Manufacturing,Number of jobs in NAICS sector 42 (Wholesale Trade),Change Wholesale Trade,Number of jobs in NAICS sector 44-45 (Retail Trade),Change Retail Trade,Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Change Transportation and Warehousing,Number of jobs in NAICS sector 51 (Information),Change Information,Number of jobs in NAICS sector 52 (Finance and Insurance),Change Finance and Insurance,Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),Change Real Estate and Leasing,"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Change Professional Services,Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Change Management,Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Change Waste Management,Number of jobs in NAICS sector 61 (Educational Services),Change Educational Services,Number of jobs in NAICS sector 62 (Health Care and Social Assistance),Change Health Care,"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Change Arts and Rec,Number of jobs in NAICS sector 72 (Accommodation and Food Services),Change Accomodation and Food Service,Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Change Other Services
96,Sherman Oaks,48459,-9038,140,3,1185,-47,1627,-114,1423,-85,3460,-346,722,-58,10673,-3522,1941,58,1208,-85,4931,-444,631,-38,2703,-270,3421,-753,6695,-402,1784,-696,4156,-1746,1759,-493
97,Silverlake,22299,-4208,92,2,449,-18,882,-62,798,-48,1673,-167,454,-36,4350,-1436,778,23,472,-33,2150,-194,279,-17,1333,-133,1719,-378,2863,-172,803,-313,2350,-987,854,-239
98,South Carthay,4828,-869,13,0,79,-3,128,-9,155,-9,402,-40,88,-7,803,-265,184,6,139,-10,602,-54,76,-5,277,-28,330,-73,679,-41,176,-69,482,-202,215,-60
99,South Park,9194,-1341,41,1,377,-15,1039,-73,537,-32,1046,-105,448,-36,210,-69,187,6,174,-12,359,-32,111,-7,986,-99,535,-118,1418,-85,159,-62,1173,-493,394,-110
100,St Elmo Village,1486,-250,3,0,36,-1,63,-4,68,-4,206,-21,41,-3,76,-25,44,1,34,-2,105,-9,21,-1,131,-13,91,-20,213,-13,37,-14,229,-96,88,-25
101,Studio City,12750,-2573,34,1,235,-9,378,-26,335,-20,782,-78,174,-14,3665,-1209,502,15,297,-21,1265,-114,151,-9,695,-70,784,-172,1463,-88,505,-197,1048,-440,437,-122
102,Sun Valley,24217,-3559,123,2,1205,-48,2215,-155,1005,-60,2744,-274,755,-60,1485,-490,688,21,527,-37,1236,-111,256,-15,1705,-171,1619,-356,4670,-280,501,-195,2534,-1064,949,-266
103,Sunland,11278,-1663,113,2,500,-20,733,-51,413,-25,1021,-102,252,-20,993,-328,388,12,213,-15,783,-70,118,-7,697,-70,900,-198,2542,-153,297,-116,952,-400,363,-102
104,Sylmar,36719,-5306,381,8,2130,-85,4153,-291,1616,-97,3922,-392,1052,-84,2121,-700,1048,31,588,-41,1915,-172,416,-25,2533,-253,3354,-738,5988,-359,780,-304,3438,-1444,1284,-360
105,Tarzana,11834,-1830,36,1,467,-19,519,-36,443,-27,1051,-105,206,-16,1301,-429,543,16,332,-23,1185,-107,154,-9,776,-78,905,-199,2151,-129,356,-139,979,-411,430,-120
